date	rating
11-Aug-1963	1486
18-Aug-1963	1474
29-Aug-1976	1461
1-Sep-1976	1470
5-Sep-1976	1459
16-Sep-1976	1470
19-Sep-1976	1486
26-Sep-1976	1479
29-Sep-1976	1492
2-Oct-1976	1496
13-Oct-1976	1483
17-Oct-1976	1471
24-Oct-1976	1461
27-Oct-1976	1459
16-Oct-1977	1472
30-Oct-1977	1493
2-Nov-1977	1477
6-Nov-1977	1463
9-Nov-1977	1452
13-Nov-1977	1451
16-Nov-1977	1443
20-Nov-1977	1453
27-Nov-1977	1458
1-Dec-1977	1479
11-Dec-1977	1469
15-Dec-1977	1481
18-Dec-1977	1498
29-Jan-1978	1522
1-Feb-1978	1543
11-Feb-1978	1559
15-Feb-1978	1579
19-Feb-1978	1609
26-Mar-1978	1595
29-Mar-1978	1611
6-Apr-1978	1596
9-Apr-1978	1614
12-Apr-1978	1612
16-Apr-1978	1598
23-Apr-1978	1606
30-Apr-1978	1620
4-May-1978	1627
7-May-1978	1610
11-May-1978	1597
14-May-1978	1585
21-May-1978	1595
24-May-1978	1604
28-May-1978	1611
4-Jun-1978	1607
17-Jun-1978	1623
24-Jun-1978	1636
2-Jul-1978	1650
6-Jul-1978	1642
9-Jul-1978	1625
13-Jul-1978	1625
16-Jul-1978	1601
19-Jul-1978	1577
23-Jul-1978	1570
23-Sep-1979	1552
30-Sep-1979	1550
3-Oct-1979	1559
7-Oct-1979	1559
10-Oct-1979	1569
14-Oct-1979	1560
21-Oct-1979	1571
1-Nov-1979	1579
4-Nov-1979	1577
8-Nov-1979	1593
11-Nov-1979	1609
15-Nov-1979	1644
18-Nov-1979	1628
21-Nov-1979	1637
25-Nov-1979	1652
28-Nov-1979	1644
17-Jan-1981	1620
21-Jan-1981	1631
25-Jan-1981	1620
28-Jan-1981	1615
1-Feb-1981	1606
7-Feb-1981	1586
12-Feb-1981	1577
14-Feb-1981	1559
21-Feb-1981	1571
17-Jan-1982	1593
20-Jan-1982	1569
24-Jan-1982	1544
31-Jan-1982	1566
3-Feb-1982	1576
10-Feb-1982	1573
14-Feb-1982	1551
17-Feb-1982	1538
28-Feb-1982	1542
7-Mar-1982	1539
11-Mar-1982	1567
14-Mar-1982	1581
17-Mar-1982	1584
24-Mar-1982	1588
16-Mar-1993	1604
19-Mar-1993	1619
16-Apr-1993	1623
23-Apr-1993	1639
30-Apr-1993	1632
8-May-1993	1638
13-Feb-2002	1641
20-Feb-2002	1656
27-Feb-2002	1672
6-Mar-2002	1655
4-Feb-2004	1661
18-Feb-2004	1667
17-Mar-2004	1650
2-Feb-2005	1619
16-Feb-2005	1633
15-Feb-2006	1616
22-Feb-2006	1612
24-Feb-2010	1598
10-Mar-2010	1578
19-Mar-2014	1601
10-Apr-2014	1590
1-May-2014	1592
8-May-2014	1594
31-Jul-2014	1614
14-Aug-2014	1604
