date	rating
19-Jan-2008	1502
23-Jan-2008	1511
26-Jan-2008	1517
30-Jan-2008	1514
2-Feb-2008	1528
6-Feb-2008	1543
10-Feb-2008	1532
1-Mar-2008	1524
9-Mar-2008	1522
13-Mar-2008	1513
16-Mar-2008	1527
23-Mar-2008	1517
26-Mar-2008	1507
30-Mar-2008	1523
5-Apr-2008	1538
16-Jan-2010	1532
20-Jan-2010	1531
23-Jan-2010	1519
28-Jan-2010	1507
31-Jan-2010	1499
3-Feb-2010	1508
7-Feb-2010	1498
27-Feb-2010	1493
3-Mar-2010	1485
6-Mar-2010	1495
17-Mar-2010	1513
21-Mar-2010	1500
24-Mar-2010	1515
28-Mar-2010	1513
4-Apr-2010	1506
20-Jan-2011	1525
23-Jan-2011	1505
27-Jan-2011	1500
30-Jan-2011	1501
2-Feb-2011	1500
5-Feb-2011	1501
13-Feb-2011	1508
4-Mar-2011	1528
9-Mar-2011	1515
13-Mar-2011	1503
19-Mar-2011	1493
27-Mar-2011	1475
2-Apr-2011	1488
9-Apr-2011	1486
17-Apr-2011	1493
21-Jan-2012	1484
28-Jan-2012	1490
1-Feb-2012	1508
5-Feb-2012	1491
8-Feb-2012	1488
11-Feb-2012	1498
18-Feb-2012	1490
1-Mar-2012	1499
4-Mar-2012	1512
10-Mar-2012	1526
17-Mar-2012	1549
25-Mar-2012	1529
31-Mar-2012	1523
7-Apr-2012	1511
15-Apr-2012	1501
20-Jan-2013	1487
23-Jan-2013	1481
26-Jan-2013	1496
30-Jan-2013	1487
3-Feb-2013	1481
7-Feb-2013	1481
16-Feb-2013	1490
23-Feb-2013	1489
16-Mar-2013	1501
23-Mar-2013	1492
27-Mar-2013	1487
31-Mar-2013	1470
7-Apr-2013	1461
13-Apr-2013	1473
20-Apr-2013	1467
19-Jan-2014	1457
22-Jan-2014	1461
26-Jan-2014	1483
29-Jan-2014	1473
2-Feb-2014	1466
5-Feb-2014	1467
9-Feb-2014	1482
15-Feb-2014	1482
19-Feb-2014	1478
23-Feb-2014	1456
1-Mar-2014	1481
5-Mar-2014	1483
8-Mar-2014	1473
16-Mar-2014	1489
23-Mar-2014	1498
31-Jan-2015	1504
5-Feb-2015	1504
8-Feb-2015	1513
12-Feb-2015	1504
19-Feb-2015	1501
22-Feb-2015	1512
28-Feb-2015	1519
7-Mar-2015	1530
11-Mar-2015	1539
15-Mar-2015	1555
21-Mar-2015	1554
25-Mar-2015	1552
28-Mar-2015	1542
4-Apr-2015	1554
8-Apr-2015	1547
30-Jan-2016	1535
3-Feb-2016	1525
10-Feb-2016	1519
13-Feb-2016	1527
20-Feb-2016	1523
24-Feb-2016	1514
29-Feb-2016	1500
6-Mar-2016	1486
12-Mar-2016	1503
19-Mar-2016	1509
27-Mar-2016	1505
31-Mar-2016	1513
3-Apr-2016	1500
9-Apr-2016	1488
16-Apr-2016	1496
23-Apr-2016	1487
