date	rating
3-Oct-1937	1488
6-Oct-1937	1480
14-Oct-1937	1496
17-Oct-1937	1520
24-Oct-1937	1516
31-Oct-1937	1510
4-Nov-1937	1514
7-Nov-1937	1531
15-Nov-1937	1547
20-Nov-1937	1559
28-Nov-1937	1546
5-Dec-1937	1536
8-Dec-1937	1554
15-Dec-1937	1570
19-Dec-1937	1561
26-Dec-1937	1565
29-Dec-1937	1563
5-Jan-1938	1590
9-Jan-1938	1581
19-Jan-1938	1574
23-Jan-1938	1585
29-Jan-1938	1594
4-Sep-1938	1582
11-Sep-1938	1574
18-Sep-1938	1566
25-Sep-1938	1562
9-Oct-1938	1540
16-Oct-1938	1545
23-Oct-1938	1569
6-Nov-1938	1557
15-Nov-1938	1545
20-Nov-1938	1541
27-Nov-1938	1548
4-Dec-1938	1544
18-Dec-1938	1557
25-Dec-1938	1581
1-Jan-1939	1569
8-Jan-1939	1559
2-Apr-1939	1552
9-Apr-1939	1579
23-Apr-1939	1557
30-Apr-1939	1549
13-May-1939	1554
21-May-1939	1541
3-Jun-1939	1548
11-Jun-1939	1535
25-Jun-1939	1529
2-Jul-1939	1520
16-Jul-1939	1521
23-Jul-1939	1515
6-Aug-1939	1521
13-Aug-1939	1542
27-Aug-1939	1537
2-Sep-1939	1526
24-Sep-1939	1533
1-Oct-1939	1537
15-Oct-1939	1555
22-Oct-1939	1562
5-Nov-1939	1566
12-Nov-1939	1565
18-Nov-1939	1578
26-Nov-1939	1571
21-Apr-1940	1563
28-Apr-1940	1558
12-May-1940	1572
19-May-1940	1579
2-Jun-1940	1593
9-Jun-1940	1580
23-Jun-1940	1573
30-Jun-1940	1592
14-Jul-1940	1599
28-Jul-1940	1618
4-Aug-1940	1607
18-Aug-1940	1602
24-Aug-1940	1599
8-Sep-1940	1610
15-Sep-1940	1604
22-Sep-1940	1587
6-Oct-1940	1582
20-Oct-1940	1595
30-Oct-1940	1586
10-Nov-1940	1580
15-Nov-1940	1587
1-Dec-1940	1598
8-Dec-1940	1593
15-Dec-1940	1606
4-May-1941	1600
11-May-1941	1595
18-May-1941	1602
24-May-1941	1616
1-Jun-1941	1625
8-Jun-1941	1645
15-Jun-1941	1669
22-Jun-1941	1663
29-Jun-1941	1642
6-Jul-1941	1636
13-Jul-1941	1629
20-Jul-1941	1615
27-Jul-1941	1611
3-Aug-1941	1597
10-Aug-1941	1607
17-Aug-1941	1602
24-Aug-1941	1592
31-Aug-1941	1609
21-Sep-1941	1605
28-Sep-1941	1598
5-Oct-1941	1595
12-Oct-1941	1586
19-Oct-1941	1564
26-Oct-1941	1561
1-Nov-1941	1557
9-Nov-1941	1553
16-Nov-1941	1548
23-Nov-1941	1556
5-Apr-1942	1550
12-Apr-1942	1582
26-Apr-1942	1593
3-May-1942	1600
10-May-1942	1596
17-May-1942	1609
24-May-1942	1621
31-May-1942	1617
7-Jun-1942	1614
14-Jun-1942	1610
21-Jun-1942	1603
28-Jun-1942	1592
5-Jul-1942	1588
12-Jul-1942	1593
19-Jul-1942	1600
26-Jul-1942	1610
2-Aug-1942	1640
9-Aug-1942	1637
16-Aug-1942	1632
23-Aug-1942	1652
30-Aug-1942	1632
6-Sep-1942	1628
13-Sep-1942	1635
20-Sep-1942	1612
27-Sep-1942	1612
4-Oct-1942	1609
11-Oct-1942	1607
13-Jun-1943	1605
20-Jun-1943	1606
27-Jun-1943	1603
4-Jul-1943	1587
11-Jul-1943	1581
18-Jul-1943	1570
25-Jul-1943	1567
1-Aug-1943	1556
8-Aug-1943	1552
15-Aug-1943	1560
22-Aug-1943	1574
29-Aug-1943	1569
5-Sep-1943	1588
12-Sep-1943	1592
19-Sep-1943	1580
26-Sep-1943	1578
3-Oct-1943	1587
10-Oct-1943	1591
2-Jul-1944	1606
8-Jul-1944	1598
16-Jul-1944	1590
23-Jul-1944	1614
30-Jul-1944	1607
6-Aug-1944	1605
13-Aug-1944	1605
20-Aug-1944	1610
27-Aug-1944	1597
3-Sep-1944	1607
10-Sep-1944	1602
17-Sep-1944	1595
24-Sep-1944	1583
1-Oct-1944	1573
8-Oct-1944	1570
15-Oct-1944	1560
22-Oct-1944	1553
29-Oct-1944	1575
15-Jul-1945	1577
22-Jul-1945	1573
29-Jul-1945	1565
5-Aug-1945	1569
19-Aug-1945	1563
26-Aug-1945	1560
2-Sep-1945	1544
9-Sep-1945	1538
16-Sep-1945	1527
23-Sep-1945	1519
30-Sep-1945	1532
7-Oct-1945	1530
14-Oct-1945	1532
21-Oct-1945	1527
28-Oct-1945	1534
4-Nov-1945	1518
11-Nov-1945	1514
17-Nov-1945	1493
7-Jul-1946	1496
14-Jul-1946	1494
21-Jul-1946	1501
28-Jul-1946	1497
4-Aug-1946	1491
11-Aug-1946	1498
18-Aug-1946	1516
25-Aug-1946	1510
1-Sep-1946	1494
8-Sep-1946	1487
15-Sep-1946	1485
22-Sep-1946	1480
28-Sep-1946	1488
6-Oct-1946	1483
13-Oct-1946	1451
19-Oct-1946	1472
2-Nov-1946	1467
10-Nov-1946	1457
3-Aug-1947	1456
17-Aug-1947	1453
24-Aug-1947	1443
30-Aug-1947	1452
6-Sep-1947	1468
13-Sep-1947	1472
20-Sep-1947	1494
27-Sep-1947	1491
5-Oct-1947	1499
12-Oct-1947	1497
19-Oct-1947	1495
1-Nov-1947	1501
9-Nov-1947	1500
16-Nov-1947	1509
23-Nov-1947	1517
30-Nov-1947	1538
7-Dec-1947	1537
14-Dec-1947	1534
20-Dec-1947	1532
28-Dec-1947	1530
18-Jul-1948	1538
25-Jul-1948	1532
1-Aug-1948	1535
7-Aug-1948	1534
15-Aug-1948	1547
22-Aug-1948	1544
29-Aug-1948	1537
5-Sep-1948	1533
18-Sep-1948	1524
26-Sep-1948	1512
10-Oct-1948	1510
17-Oct-1948	1507
24-Oct-1948	1492
31-Oct-1948	1483
7-Nov-1948	1482
14-Nov-1948	1480
21-Nov-1948	1475
28-Nov-1948	1473
5-Dec-1948	1465
12-Dec-1948	1479
3-Jul-1949	1478
24-Jul-1949	1464
31-Jul-1949	1455
7-Aug-1949	1448
14-Aug-1949	1446
21-Aug-1949	1455
28-Aug-1949	1454
4-Sep-1949	1456
11-Sep-1949	1449
18-Sep-1949	1446
25-Sep-1949	1462
16-Oct-1949	1459
23-Oct-1949	1451
1-Nov-1949	1445
6-Nov-1949	1452
13-Nov-1949	1450
20-Nov-1949	1449
27-Nov-1949	1434
3-Dec-1949	1430
10-Dec-1949	1439
13-Aug-1950	1457
20-Aug-1950	1463
27-Aug-1950	1439
3-Sep-1950	1466
10-Sep-1950	1465
23-Sep-1950	1460
1-Oct-1950	1468
8-Oct-1950	1470
15-Oct-1950	1468
21-Oct-1950	1464
29-Oct-1950	1472
5-Nov-1950	1471
12-Nov-1950	1466
18-Nov-1950	1458
25-Nov-1950	1455
3-Dec-1950	1468
10-Dec-1950	1456
17-Dec-1950	1471
23-Dec-1950	1465
31-Dec-1950	1458
12-Aug-1951	1452
19-Aug-1951	1450
26-Aug-1951	1444
2-Sep-1951	1442
9-Sep-1951	1431
