date	rating
18-Jan-1998	1504
20-Jan-1998	1516
24-Jan-1998	1520
28-Jan-1998	1505
31-Jan-1998	1515
7-Feb-1998	1509
11-Feb-1998	1526
14-Feb-1998	1512
21-Feb-1998	1525
1-Mar-1998	1515
8-Mar-1998	1516
12-Mar-1998	1510
15-Mar-1998	1535
18-Mar-1998	1526
21-Mar-1998	1540
28-Mar-1998	1554
31-Mar-1998	1549
5-Apr-1998	1543
8-Apr-1998	1558
12-Apr-1998	1549
24-Jan-1999	1551
27-Jan-1999	1559
31-Jan-1999	1567
3-Feb-1999	1577
7-Feb-1999	1566
10-Feb-1999	1556
13-Feb-1999	1544
21-Feb-1999	1553
24-Feb-1999	1535
28-Feb-1999	1548
6-Mar-1999	1542
13-Mar-1999	1548
20-Mar-1999	1566
23-Mar-1999	1580
28-Mar-1999	1602
4-Apr-1999	1614
10-Apr-1999	1603
17-Apr-1999	1597
21-Apr-1999	1584
25-Apr-1999	1590
2-May-1999	1599
4-May-1999	1594
9-May-1999	1586
16-May-1999	1570
23-May-1999	1563
30-May-1999	1548
23-Jan-2000	1545
27-Jan-2000	1536
30-Jan-2000	1552
2-Feb-2000	1546
6-Feb-2000	1565
13-Feb-2000	1579
16-Feb-2000	1603
20-Feb-2000	1611
23-Feb-2000	1604
27-Feb-2000	1581
8-Mar-2000	1585
12-Mar-2000	1588
19-Mar-2000	1586
22-Mar-2000	1595
24-Mar-2000	1599
2-Apr-2000	1610
5-Apr-2000	1634
13-Apr-2000	1627
16-Apr-2000	1613
23-Apr-2000	1616
21-Jan-2001	1592
28-Jan-2001	1593
3-Feb-2001	1587
11-Feb-2001	1571
18-Feb-2001	1581
24-Feb-2001	1574
4-Mar-2001	1558
11-Mar-2001	1580
18-Mar-2001	1569
25-Mar-2001	1579
1-Apr-2001	1582
7-Apr-2001	1576
15-Apr-2001	1590
22-Apr-2001	1608
28-Apr-2001	1590
20-Jan-2002	1599
23-Jan-2002	1587
23-Jan-2002	1575
30-Jan-2002	1574
3-Feb-2002	1559
9-Feb-2002	1542
16-Feb-2002	1543
23-Feb-2002	1530
3-Mar-2002	1520
6-Mar-2002	1522
10-Mar-2002	1514
17-Mar-2002	1515
20-Mar-2002	1507
24-Mar-2002	1518
31-Mar-2002	1538
7-Apr-2002	1539
14-Apr-2002	1518
21-Apr-2002	1511
28-Apr-2002	1498
1-May-2002	1488
5-May-2002	1475
12-May-2002	1469
