date	rating
16-Feb-1986	1500
23-Feb-1986	1491
2-Mar-1986	1487
9-Mar-1986	1483
16-Mar-1986	1478
19-Mar-1986	1498
23-Mar-1986	1490
30-Mar-1986	1497
5-Apr-1986	1485
13-Apr-1986	1486
20-Apr-1986	1498
1-May-1986	1511
4-May-1986	1512
11-May-1986	1518
18-May-1986	1507
25-May-1986	1502
29-May-1986	1497
8-Jun-1986	1490
6-Jul-1986	1491
13-Jul-1986	1500
20-Jul-1986	1501
26-Jul-1986	1497
8-Mar-1987	1497
11-Mar-1987	1490
15-Mar-1987	1491
18-Mar-1987	1483
22-Mar-1987	1472
25-Mar-1987	1478
29-Mar-1987	1479
1-Apr-1987	1472
5-Apr-1987	1469
8-Apr-1987	1475
12-Apr-1987	1478
15-Apr-1987	1470
18-Apr-1987	1473
22-Apr-1987	1466
26-Apr-1987	1457
29-Apr-1987	1452
3-May-1987	1455
6-May-1987	1448
10-May-1987	1432
13-May-1987	1433
17-May-1987	1447
20-May-1987	1448
24-May-1987	1451
30-May-1987	1437
7-Jun-1987	1431
14-Jun-1987	1427
19-Jan-2008	1414
23-Jan-2008	1426
26-Jan-2008	1420
30-Jan-2008	1414
2-Feb-2008	1417
6-Feb-2008	1422
10-Feb-2008	1425
2-Mar-2008	1415
9-Mar-2008	1418
12-Mar-2008	1414
16-Mar-2008	1401
23-Mar-2008	1402
26-Mar-2008	1399
30-Mar-2008	1400
5-Apr-2008	1419
