date	rating
7-Feb-1993	1515
2-Mar-1993	1480
5-Mar-1993	1463
10-Mar-1993	1463
19-Mar-1993	1450
23-Mar-1993	1455
31-Mar-1993	1470
7-Apr-1993	1462
14-Apr-1993	1458
23-Feb-1994	1470
1-Mar-1994	1476
6-Mar-1994	1442
8-Mar-1994	1474
22-Mar-1994	1456
25-Mar-1994	1422
20-Apr-1994	1448
27-Apr-1994	1425
27-Jul-1994	1433
3-Aug-1994	1422
13-Mar-1996	1445
18-Mar-1996	1451
25-Mar-1996	1446
3-Apr-1996	1444
9-Apr-1996	1427
11-Apr-1996	1417
1-May-1996	1428
8-May-1996	1420
19-Feb-1997	1422
4-Mar-1997	1408
6-Mar-1997	1402
12-Mar-1997	1418
20-Mar-1997	1441
27-Mar-1997	1436
23-Apr-1997	1443
7-May-1997	1423
