date	rating
16-Jan-2008	1510
20-Jan-2008	1494
23-Jan-2008	1488
26-Jan-2008	1494
29-Jan-2008	1504
2-Feb-2008	1508
6-Feb-2008	1523
9-Feb-2008	1515
16-Feb-2008	1501
21-Feb-2008	1517
24-Feb-2008	1528
2-Mar-2008	1525
9-Mar-2008	1540
13-Mar-2008	1535
16-Mar-2008	1548
21-Mar-2008	1561
27-Mar-2008	1549
30-Mar-2008	1540
6-Apr-2008	1559
12-Apr-2008	1551
18-Apr-2008	1554
21-Jan-2009	1565
24-Jan-2009	1564
29-Jan-2009	1568
1-Feb-2009	1585
4-Feb-2009	1564
7-Feb-2009	1564
11-Feb-2009	1561
14-Feb-2009	1573
21-Feb-2009	1572
26-Feb-2009	1575
1-Mar-2009	1567
7-Mar-2009	1555
12-Mar-2009	1549
17-Mar-2009	1566
21-Mar-2009	1582
25-Mar-2009	1585
28-Mar-2009	1602
31-Mar-2009	1609
5-Apr-2009	1614
16-Jan-2010	1591
20-Jan-2010	1596
24-Jan-2010	1594
27-Jan-2010	1598
31-Jan-2010	1611
4-Feb-2010	1618
7-Feb-2010	1598
12-Feb-2010	1590
18-Feb-2010	1589
21-Feb-2010	1584
27-Feb-2010	1583
3-Mar-2010	1590
7-Mar-2010	1588
13-Mar-2010	1574
20-Mar-2010	1560
24-Mar-2010	1554
27-Mar-2010	1559
4-Apr-2010	1576
7-Apr-2010	1594
16-Jan-2011	1604
19-Jan-2011	1595
22-Jan-2011	1603
26-Jan-2011	1605
29-Jan-2011	1615
2-Feb-2011	1608
6-Feb-2011	1617
13-Feb-2011	1631
20-Feb-2011	1640
27-Feb-2011	1652
4-Mar-2011	1648
9-Mar-2011	1623
13-Mar-2011	1618
19-Mar-2011	1602
23-Mar-2011	1615
26-Mar-2011	1612
3-Apr-2011	1607
9-Apr-2011	1619
17-Apr-2011	1598
19-Jan-2013	1592
24-Jan-2013	1582
27-Jan-2013	1577
30-Jan-2013	1577
2-Feb-2013	1564
6-Feb-2013	1574
9-Feb-2013	1564
16-Feb-2013	1575
23-Feb-2013	1591
1-Mar-2013	1590
10-Mar-2013	1588
16-Mar-2013	1576
21-Mar-2013	1571
24-Mar-2013	1557
27-Mar-2013	1581
30-Mar-2013	1570
7-Apr-2013	1558
14-Apr-2013	1550
21-Apr-2013	1568
