date	rating
29-Aug-1976	1504
1-Sep-1976	1506
5-Sep-1976	1493
8-Sep-1976	1487
12-Sep-1976	1515
15-Sep-1976	1535
19-Sep-1976	1520
23-Sep-1976	1510
10-Oct-1976	1532
13-Oct-1976	1550
17-Oct-1976	1561
24-Oct-1976	1552
26-Mar-1978	1550
29-Mar-1978	1553
2-Apr-1978	1553
16-Apr-1978	1550
20-Apr-1978	1563
22-Apr-1978	1574
26-Apr-1978	1576
30-Apr-1978	1584
4-May-1978	1588
10-May-1978	1595
14-May-1978	1610
21-May-1978	1595
24-May-1978	1589
31-May-1978	1597
4-Jun-1978	1569
8-Jun-1978	1563
13-Jun-1978	1558
18-Jun-1978	1577
20-Jun-1978	1562
26-Sep-1979	1579
30-Sep-1979	1589
7-Oct-1979	1596
11-Oct-1979	1581
14-Oct-1979	1591
18-Oct-1979	1568
21-Oct-1979	1551
25-Oct-1979	1546
3-Nov-1979	1564
8-Nov-1979	1550
12-Nov-1979	1530
15-Nov-1979	1522
17-Nov-1979	1520
22-Nov-1979	1503
25-Nov-1979	1517
28-Nov-1979	1492
24-Feb-1980	1481
27-Feb-1980	1478
2-Mar-1980	1478
5-Mar-1980	1500
9-Mar-1980	1497
16-Mar-1980	1482
19-Mar-1980	1496
27-Mar-1980	1480
30-Mar-1980	1475
18-Jan-1981	1483
21-Jan-1981	1479
24-Jan-1981	1471
28-Jan-1981	1488
1-Feb-1981	1501
4-Feb-1981	1526
11-Feb-1981	1515
14-Feb-1981	1503
26-Feb-1981	1494
7-Mar-1981	1502
11-Mar-1981	1507
15-Mar-1981	1495
21-Mar-1981	1487
28-Mar-1981	1494
4-Apr-1981	1485
17-Jan-1982	1479
20-Jan-1982	1474
28-Jan-1982	1493
31-Jan-1982	1520
7-Feb-1982	1509
10-Feb-1982	1492
14-Feb-1982	1485
17-Feb-1982	1477
23-Jan-1983	1470
30-Jan-1983	1498
2-Feb-1983	1488
5-Feb-1983	1475
9-Feb-1983	1469
19-Feb-1983	1472
23-Feb-1983	1463
27-Feb-1983	1450
28-Jan-1985	1465
30-Jan-1985	1476
3-Feb-1985	1477
6-Feb-1985	1469
10-Feb-1985	1479
13-Feb-1985	1479
24-Feb-1985	1489
27-Feb-1985	1490
3-Mar-1985	1486
6-Mar-1985	1470
10-Mar-1985	1491
17-Mar-1985	1506
20-Mar-1985	1516
24-Mar-1985	1489
27-Mar-1985	1477
31-Mar-1985	1487
3-Apr-1985	1486
7-Apr-1985	1485
10-Apr-1985	1503
14-Apr-1985	1497
17-Apr-1985	1511
21-Apr-1985	1503
3-Jul-1985	1511
7-Jul-1985	1501
10-Jul-1985	1496
14-Jul-1985	1504
17-Jul-1985	1496
21-Jul-1985	1486
19-Jul-1989	1501
22-Jul-1989	1515
26-Jul-1989	1503
29-Jul-1989	1497
22-Jun-1990	1484
27-Jun-1990	1501
18-Feb-1997	1493
14-Mar-2001	1481
21-Mar-2001	1501
11-Apr-2001	1486
18-Apr-2001	1491
18-Feb-2009	1483
5-Mar-2009	1500
10-Apr-2013	1519
16-Apr-2013	1505
2-Apr-2014	1514
16-Apr-2014	1508
