date	rating
6-Mar-1975	1492
14-Mar-1975	1520
18-Mar-1975	1497
26-Mar-1975	1490
1-Apr-1975	1469
5-Apr-1975	1468
6-Apr-1983	1477
12-Apr-1983	1502
27-Apr-1983	1526
3-May-1983	1524
6-May-1983	1544
16-May-1983	1548
26-May-1983	1540
9-Jul-1986	1574
16-Jul-1986	1559
23-Jul-1986	1592
29-Jul-1986	1610
7-Aug-1986	1599
14-Aug-1986	1585
29-Jun-1988	1590
5-Jul-1988	1580
19-Jul-1988	1571
23-Jul-1988	1562
26-Jul-1988	1532
12-Aug-1988	1549
6-Feb-2002	1571
19-Feb-2002	1569
6-Mar-2002	1559
13-Mar-2002	1572
20-Mar-2002	1593
10-Apr-2002	1581
24-Apr-2002	1583
30-Apr-2002	1585
31-Jan-2008	1567
7-Feb-2008	1565
