date	rating
26-Aug-1973	1488
29-Aug-1973	1480
2-Sep-1973	1469
5-Sep-1973	1463
9-Sep-1973	1470
12-Sep-1973	1477
16-Sep-1973	1479
23-Sep-1973	1471
26-Sep-1973	1473
30-Sep-1973	1453
3-Oct-1973	1445
7-Oct-1973	1435
13-Oct-1973	1450
17-Oct-1973	1443
21-Oct-1973	1442
24-Oct-1973	1433
27-Oct-1973	1436
31-Oct-1973	1443
4-Nov-1973	1441
11-Nov-1973	1425
14-Nov-1973	1428
17-Nov-1973	1433
25-Nov-1973	1432
28-Nov-1973	1436
2-Dec-1973	1418
8-Dec-1973	1407
12-Dec-1973	1397
15-Dec-1973	1387
20-Aug-1975	1403
24-Aug-1975	1390
31-Aug-1975	1396
3-Sep-1975	1386
7-Sep-1975	1375
14-Sep-1975	1370
21-Sep-1975	1374
24-Sep-1975	1370
28-Sep-1975	1364
5-Oct-1975	1358
19-Oct-1975	1354
26-Oct-1975	1351
29-Oct-1975	1356
5-Nov-1975	1349
26-Mar-1978	1342
2-Apr-1978	1366
6-Apr-1978	1375
9-Apr-1978	1393
12-Apr-1978	1393
16-Apr-1978	1394
27-Apr-1978	1398
4-May-1978	1420
7-May-1978	1402
11-May-1978	1407
14-May-1978	1402
21-May-1978	1394
28-May-1978	1410
31-May-1978	1396
4-Jun-1978	1396
24-Jun-1978	1377
16-Sep-1979	1365
23-Sep-1979	1370
3-Oct-1979	1389
6-Oct-1979	1374
11-Oct-1979	1358
17-Oct-1979	1386
24-Oct-1979	1404
28-Oct-1979	1391
3-Nov-1979	1384
17-Jan-1982	1387
20-Jan-1982	1379
24-Jan-1982	1375
31-Jan-1982	1378
3-Feb-1982	1376
10-Feb-1982	1391
14-Feb-1982	1393
17-Feb-1982	1413
28-Feb-1982	1430
7-Mar-1982	1424
10-Mar-1982	1414
14-Mar-1982	1408
17-Mar-1982	1399
24-Mar-1982	1389
23-Jan-1983	1391
26-Jan-1983	1382
30-Jan-1983	1392
6-Feb-1983	1393
9-Feb-1983	1389
23-Feb-1983	1376
27-Feb-1983	1365
6-Mar-1983	1374
29-Jan-1984	1361
5-Feb-1984	1357
8-Feb-1984	1353
12-Feb-1984	1362
15-Feb-1984	1372
19-Feb-1984	1363
22-Feb-1984	1384
29-Feb-1984	1377
