date	rating
10-Sep-1972	1493
13-Sep-1972	1501
17-Sep-1972	1490
20-Sep-1972	1487
24-Sep-1972	1519
27-Sep-1972	1512
1-Oct-1972	1520
4-Oct-1972	1528
8-Oct-1972	1551
11-Oct-1972	1557
15-Oct-1972	1545
18-Oct-1972	1536
22-Oct-1972	1546
25-Oct-1972	1545
29-Oct-1972	1538
1-Nov-1972	1539
5-Nov-1972	1547
8-Nov-1972	1554
12-Nov-1972	1549
16-Nov-1972	1537
19-Nov-1972	1527
22-Nov-1972	1518
26-Nov-1972	1508
29-Nov-1972	1529
3-Dec-1972	1521
26-Aug-1973	1524
30-Aug-1973	1532
2-Sep-1973	1537
5-Sep-1973	1533
8-Sep-1973	1526
12-Sep-1973	1539
16-Sep-1973	1549
23-Sep-1973	1556
26-Sep-1973	1558
29-Sep-1973	1569
3-Oct-1973	1568
7-Oct-1973	1573
14-Oct-1973	1575
17-Oct-1973	1568
21-Oct-1973	1567
24-Oct-1973	1575
27-Oct-1973	1582
31-Oct-1973	1586
4-Nov-1973	1587
11-Nov-1973	1569
14-Nov-1973	1584
18-Nov-1973	1582
25-Nov-1973	1598
2-Dec-1973	1618
5-Dec-1973	1599
8-Dec-1973	1579
12-Dec-1973	1567
16-Dec-1973	1541
10-Mar-1974	1537
14-Mar-1974	1539
17-Mar-1974	1539
23-Mar-1974	1548
27-Mar-1974	1570
3-Apr-1974	1569
6-Apr-1974	1558
13-Apr-1974	1549
17-Apr-1974	1526
24-Apr-1974	1544
28-Apr-1974	1539
4-May-1974	1529
8-May-1974	1549
18-May-1974	1549
26-May-1974	1571
1-Jun-1974	1554
5-Jun-1974	1545
9-Jun-1974	1534
13-Jun-1974	1517
30-Jun-1974	1535
3-Jul-1974	1541
6-Jul-1974	1546
14-Jul-1974	1534
17-Jul-1974	1523
24-Aug-1975	1524
31-Aug-1975	1506
7-Sep-1975	1511
10-Sep-1975	1516
14-Sep-1975	1507
17-Sep-1975	1495
21-Sep-1975	1491
24-Sep-1975	1495
28-Sep-1975	1503
1-Oct-1975	1522
26-Oct-1975	1547
30-Oct-1975	1548
2-Nov-1975	1562
9-Nov-1975	1561
12-Nov-1975	1551
15-Nov-1975	1539
20-Nov-1975	1534
23-Nov-1975	1528
26-Nov-1975	1518
30-Nov-1975	1511
4-Dec-1975	1499
2-Sep-1976	1479
7-Sep-1976	1493
12-Sep-1976	1510
15-Sep-1976	1516
19-Sep-1976	1533
22-Sep-1976	1540
25-Sep-1976	1528
30-Sep-1976	1527
10-Oct-1976	1526
13-Oct-1976	1508
17-Oct-1976	1495
23-Oct-1976	1496
16-Oct-1977	1515
23-Oct-1977	1527
26-Oct-1977	1525
30-Oct-1977	1519
10-Nov-1977	1514
13-Nov-1977	1501
16-Nov-1977	1490
24-Nov-1977	1503
27-Nov-1977	1490
4-Dec-1977	1475
7-Dec-1977	1463
11-Dec-1977	1450
18-Dec-1977	1452
2-Apr-1978	1441
6-Apr-1978	1435
9-Apr-1978	1428
16-Apr-1978	1414
20-Apr-1978	1407
23-Apr-1978	1391
27-Apr-1978	1389
30-Apr-1978	1377
3-May-1978	1379
7-May-1978	1394
14-May-1978	1388
21-May-1978	1379
25-May-1978	1361
28-May-1978	1351
13-Jun-1978	1357
17-Jun-1978	1341
30-Sep-1979	1351
3-Oct-1979	1357
6-Oct-1979	1348
11-Oct-1979	1343
14-Oct-1979	1365
18-Oct-1979	1361
20-Oct-1979	1353
27-Oct-1979	1359
4-Nov-1979	1349
24-Feb-1980	1345
27-Feb-1980	1372
2-Mar-1980	1377
5-Mar-1980	1375
12-Mar-1980	1378
16-Mar-1980	1387
19-Mar-1980	1380
