date	rating
18-May-1947	1511
25-May-1947	1508
31-May-1947	1516
8-Jun-1947	1513
29-Jun-1947	1510
13-Jul-1947	1505
26-Jul-1947	1501
3-Aug-1947	1512
24-Aug-1947	1526
30-Aug-1947	1513
27-Sep-1947	1499
4-Oct-1947	1494
12-Oct-1947	1481
19-Oct-1947	1464
9-Nov-1947	1452
15-Nov-1947	1450
23-Nov-1947	1433
13-Dec-1947	1426
21-Dec-1947	1424
28-Dec-1947	1421
9-May-1948	1412
16-May-1948	1399
22-May-1948	1395
6-Jun-1948	1380
13-Jun-1948	1371
19-Jun-1948	1372
26-Jun-1948	1371
11-Jul-1948	1360
1-Aug-1948	1377
29-Aug-1948	1374
12-Sep-1948	1368
19-Sep-1948	1378
10-Oct-1948	1363
17-Oct-1948	1361
24-Oct-1948	1357
31-Oct-1948	1359
14-Nov-1948	1365
28-Nov-1948	1358
4-Dec-1948	1353
18-Dec-1948	1352
12-Jun-1949	1333
19-Jun-1949	1331
25-Jun-1949	1330
3-Jul-1949	1344
10-Jul-1949	1330
31-Jul-1949	1326
7-Aug-1949	1322
13-Aug-1949	1317
21-Aug-1949	1321
4-Sep-1949	1318
11-Sep-1949	1304
18-Sep-1949	1295
25-Sep-1949	1313
2-Oct-1949	1331
9-Oct-1949	1325
15-Oct-1949	1336
23-Oct-1949	1331
1-Nov-1949	1330
13-Nov-1949	1337
27-Nov-1949	1332
4-Dec-1949	1316
11-Dec-1949	1334
20-Aug-1950	1332
27-Aug-1950	1324
10-Sep-1950	1320
16-Sep-1950	1316
24-Sep-1950	1309
1-Oct-1950	1305
7-Oct-1950	1301
15-Oct-1950	1292
22-Oct-1950	1304
29-Oct-1950	1322
5-Nov-1950	1328
12-Nov-1950	1325
19-Nov-1950	1318
26-Nov-1950	1329
3-Dec-1950	1326
9-Dec-1950	1332
23-Dec-1950	1331
31-Dec-1950	1339
6-Jan-1951	1334
12-Jan-1951	1329
21-Jan-1951	1343
28-Jan-1951	1348
2-Jun-1951	1346
10-Jun-1951	1352
16-Jun-1951	1355
24-Jun-1951	1354
29-Jul-1951	1344
5-Aug-1951	1348
11-Aug-1951	1339
19-Aug-1951	1333
25-Aug-1951	1341
2-Sep-1951	1339
9-Sep-1951	1334
16-Sep-1951	1342
23-Sep-1951	1370
7-Oct-1951	1359
20-Oct-1951	1356
27-Oct-1951	1345
4-Nov-1951	1359
11-Nov-1951	1357
18-Nov-1951	1357
25-Nov-1951	1371
2-Dec-1951	1374
9-Dec-1951	1377
16-Dec-1951	1394
23-Dec-1951	1392
30-Dec-1951	1405
5-Jan-1952	1401
13-Jan-1952	1404
27-Jan-1952	1386
31-Aug-1952	1382
7-Sep-1952	1370
10-Sep-1952	1385
14-Sep-1952	1383
20-Sep-1952	1391
28-Sep-1952	1403
1-Oct-1952	1401
5-Oct-1952	1417
11-Oct-1952	1427
15-Oct-1952	1421
19-Oct-1952	1430
26-Oct-1952	1431
2-Nov-1952	1444
9-Nov-1952	1464
16-Nov-1952	1446
23-Nov-1952	1452
30-Nov-1952	1449
7-Dec-1952	1436
10-Dec-1952	1432
14-Dec-1952	1420
21-Dec-1952	1438
24-Dec-1952	1426
28-Dec-1952	1419
4-Jan-1953	1408
11-Jan-1953	1392
18-Jan-1953	1400
21-Jan-1953	1391
25-Jan-1953	1404
28-Jan-1953	1401
1-Feb-1953	1389
19-Jul-1953	1381
26-Jul-1953	1393
9-Aug-1953	1390
15-Aug-1953	1385
19-Aug-1953	1383
23-Aug-1953	1371
30-Aug-1953	1365
2-Sep-1953	1361
13-Sep-1953	1368
19-Sep-1953	1371
26-Sep-1953	1356
4-Oct-1953	1351
11-Oct-1953	1380
18-Oct-1953	1371
31-Oct-1953	1366
8-Nov-1953	1387
15-Nov-1953	1378
29-Nov-1953	1376
5-Dec-1953	1370
13-Dec-1953	1363
19-Dec-1953	1361
27-Dec-1953	1349
30-Dec-1953	1340
3-Jan-1954	1335
10-Jan-1954	1340
24-Jan-1954	1329
31-Jan-1954	1332
7-Feb-1954	1329
25-May-1958	1348
1-Jun-1958	1361
8-Jun-1958	1366
11-Jun-1958	1351
15-Jun-1958	1342
22-Jun-1958	1355
28-Jun-1958	1345
2-Jul-1958	1341
6-Jul-1958	1356
9-Jul-1958	1374
12-Jul-1958	1371
17-Jul-1958	1395
