date	rating
10-Feb-1962	1515
17-Feb-1962	1528
24-Feb-1962	1541
27-Feb-1962	1539
8-Jul-1962	1552
18-Jul-1962	1525
22-Jul-1962	1525
19-Apr-1964	1546
27-Apr-1964	1544
3-May-1964	1565
10-May-1964	1584
15-Jul-1964	1603
1-Aug-1964	1619
6-Aug-1964	1618
12-Aug-1964	1603
30-Jan-1966	1631
2-Feb-1966	1610
6-Feb-1966	1627
9-Feb-1966	1635
13-Feb-1966	1630
2-Mar-1966	1647
5-Mar-1966	1661
8-Mar-1966	1670
11-Mar-1966	1680
20-Mar-1966	1652
2-Apr-1966	1633
10-Apr-1966	1609
16-Apr-1966	1622
23-Apr-1966	1611
22-Feb-1967	1629
26-Feb-1967	1609
14-Mar-1967	1626
17-Mar-1967	1642
5-Apr-1967	1623
9-Apr-1967	1645
12-Apr-1967	1642
23-Apr-1967	1658
27-Apr-1967	1673
30-Apr-1967	1682
7-May-1967	1693
10-May-1967	1712
11-Jun-1967	1727
14-Jun-1967	1713
8-Jul-1967	1739
16-Jul-1967	1738
15-Aug-1967	1736
25-Aug-1967	1735
29-Aug-1967	1718
2-Feb-1968	1703
6-Feb-1968	1696
10-Feb-1968	1708
16-Feb-1968	1710
21-Feb-1968	1687
25-Feb-1968	1698
23-Feb-1969	1699
26-Feb-1969	1690
2-Mar-1969	1681
9-Mar-1969	1682
13-Mar-1969	1691
16-Mar-1969	1704
27-Mar-1969	1698
2-Apr-1969	1713
9-Apr-1969	1724
13-Apr-1969	1736
26-Apr-1969	1758
30-Apr-1969	1740
4-May-1969	1740
15-May-1969	1724
21-May-1969	1702
15-Feb-1970	1703
21-Feb-1970	1712
25-Feb-1970	1726
6-Mar-1970	1725
12-Mar-1970	1733
16-Mar-1970	1738
15-Apr-1970	1698
25-Apr-1970	1713
28-Apr-1970	1691
2-Mar-1971	1707
6-Mar-1971	1714
14-Mar-1971	1706
20-Mar-1971	1720
23-Mar-1971	1730
30-Mar-1971	1752
22-Apr-1971	1744
2-May-1971	1777
11-May-1971	1787
18-May-1971	1812
26-May-1971	1796
2-Jun-1971	1811
9-Jun-1971	1832
14-Apr-1972	1788
21-Apr-1972	1786
25-Apr-1972	1778
3-May-1972	1802
17-Feb-1973	1819
24-Feb-1973	1799
28-Feb-1973	1802
10-Mar-1973	1797
17-Mar-1973	1781
24-Mar-1973	1769
6-Feb-1974	1750
