date	rating
23-Nov-1961	1506
27-Nov-1961	1499
30-Aug-1964	1518
6-Sep-1964	1543
20-Sep-1964	1566
27-Sep-1964	1553
29-Sep-1964	1529
29-Aug-1965	1508
5-Sep-1965	1530
7-Sep-1965	1549
15-Sep-1965	1566
22-Sep-1965	1582
13-Oct-1965	1594
20-Oct-1965	1604
3-Nov-1965	1609
10-Nov-1965	1600
28-Sep-1966	1619
5-Oct-1966	1628
19-Oct-1966	1636
26-Oct-1966	1643
28-Oct-1966	1676
9-Nov-1966	1666
17-Nov-1966	1694
19-Nov-1966	1680
22-Oct-1967	1687
29-Oct-1967	1693
22-Nov-1967	1712
29-Nov-1967	1688
1-Dec-1967	1687
6-Dec-1967	1676
13-Dec-1967	1702
15-Dec-1967	1703
20-Dec-1967	1690
27-Dec-1967	1707
29-Dec-1967	1693
21-Jan-1968	1679
27-Jan-1968	1671
31-Jan-1968	1647
11-Feb-1968	1655
14-Feb-1968	1663
3-Mar-1968	1670
28-Aug-1968	1657
1-Sep-1968	1647
7-Sep-1968	1649
11-Sep-1968	1652
15-Sep-1968	1634
18-Sep-1968	1622
26-Sep-1968	1614
9-Oct-1968	1615
13-Oct-1968	1641
16-Oct-1968	1629
20-Oct-1968	1617
27-Oct-1968	1610
14-Nov-1968	1597
20-Nov-1968	1609
24-Nov-1968	1612
27-Nov-1968	1602
24-Aug-1969	1588
27-Aug-1969	1600
29-Aug-1969	1585
10-Sep-1972	1586
13-Sep-1972	1579
16-Sep-1972	1571
20-Sep-1972	1567
24-Sep-1972	1571
27-Sep-1972	1586
30-Sep-1972	1580
4-Oct-1972	1586
7-Oct-1972	1578
11-Oct-1972	1568
15-Oct-1972	1582
18-Oct-1972	1593
22-Oct-1972	1595
26-Oct-1972	1626
28-Oct-1972	1630
1-Nov-1972	1616
5-Nov-1972	1597
9-Nov-1972	1590
12-Nov-1972	1589
16-Nov-1972	1598
19-Nov-1972	1608
22-Nov-1972	1618
25-Nov-1972	1622
29-Nov-1972	1611
2-Dec-1972	1601
26-Aug-1973	1602
30-Aug-1973	1615
5-Sep-1973	1602
9-Sep-1973	1601
12-Sep-1973	1585
16-Sep-1973	1604
23-Sep-1973	1613
26-Sep-1973	1605
30-Sep-1973	1589
3-Oct-1973	1572
7-Oct-1973	1558
14-Oct-1973	1544
17-Oct-1973	1543
20-Oct-1973	1558
24-Oct-1973	1552
27-Oct-1973	1531
31-Oct-1973	1557
4-Nov-1973	1552
7-Nov-1973	1536
11-Nov-1973	1536
14-Nov-1973	1533
17-Nov-1973	1548
29-Nov-1973	1544
2-Dec-1973	1533
5-Dec-1973	1513
8-Dec-1973	1515
13-Dec-1973	1528
16-Dec-1973	1513
10-Mar-1974	1541
13-Mar-1974	1535
17-Mar-1974	1524
20-Mar-1974	1533
23-Mar-1974	1552
30-Mar-1974	1559
3-Apr-1974	1560
6-Apr-1974	1544
16-Apr-1974	1532
20-Apr-1974	1560
27-Apr-1974	1568
4-May-1974	1579
15-May-1974	1583
18-May-1974	1581
29-May-1974	1605
2-Jun-1974	1619
9-Jun-1974	1610
12-Jun-1974	1611
13-Jun-1974	1631
29-Jun-1974	1624
3-Jul-1974	1646
7-Jul-1974	1645
15-Jul-1974	1634
17-Jul-1974	1634
24-Aug-1975	1638
27-Aug-1975	1655
31-Aug-1975	1649
7-Sep-1975	1659
11-Sep-1975	1663
14-Sep-1975	1658
17-Sep-1975	1681
21-Sep-1975	1659
24-Sep-1975	1643
27-Sep-1975	1632
4-Oct-1975	1641
26-Oct-1975	1650
28-Oct-1975	1659
2-Nov-1975	1657
