date	rating
23-Feb-1986	1494
1-Mar-1986	1489
5-Mar-1986	1481
8-Mar-1986	1468
12-Mar-1986	1456
16-Mar-1986	1452
23-Mar-1986	1445
30-Mar-1986	1460
2-Apr-1986	1453
6-Apr-1986	1476
9-Apr-1986	1468
13-Apr-1986	1472
20-Apr-1986	1492
23-Apr-1986	1509
27-Apr-1986	1495
30-Apr-1986	1498
4-May-1986	1502
11-May-1986	1506
18-May-1986	1508
24-May-1986	1513
31-May-1986	1531
14-Jun-1986	1523
19-Jun-1986	1538
24-Jun-1986	1554
28-Jun-1986	1541
2-Jul-1986	1555
5-Jul-1986	1547
9-Jul-1986	1559
13-Jul-1986	1548
16-Jul-1986	1548
20-Jul-1986	1560
23-Jul-1986	1560
27-Jul-1986	1575
30-Jul-1986	1574
3-Aug-1986	1589
6-Aug-1986	1573
10-Aug-1986	1573
17-Aug-1986	1573
22-Mar-1987	1567
25-Mar-1987	1566
29-Mar-1987	1566
1-Apr-1987	1557
5-Apr-1987	1557
8-Apr-1987	1558
11-Apr-1987	1564
15-Apr-1987	1556
19-Apr-1987	1560
22-Apr-1987	1577
26-Apr-1987	1577
29-Apr-1987	1563
3-May-1987	1555
6-May-1987	1546
10-May-1987	1526
13-May-1987	1530
17-May-1987	1521
24-May-1987	1531
27-May-1987	1535
31-May-1987	1526
7-Jun-1987	1530
17-Jun-1987	1531
21-Jun-1987	1524
23-Jun-1987	1526
28-Jun-1987	1530
1-Jul-1987	1550
5-Jul-1987	1562
8-Jul-1987	1556
12-Jul-1987	1543
15-Jul-1987	1553
19-Jul-1987	1571
22-Jul-1987	1595
26-Jul-1987	1593
29-Jul-1987	1586
2-Aug-1987	1588
5-Aug-1987	1587
9-Aug-1987	1586
12-Aug-1987	1601
28-Feb-1988	1615
6-Mar-1988	1597
9-Mar-1988	1597
13-Mar-1988	1586
20-Mar-1988	1570
23-Mar-1988	1570
27-Mar-1988	1564
30-Mar-1988	1563
3-Apr-1988	1577
10-Apr-1988	1569
1-May-1988	1560
4-May-1988	1569
8-May-1988	1559
11-May-1988	1548
15-May-1988	1543
18-May-1988	1545
22-May-1988	1547
25-May-1988	1538
29-May-1988	1531
5-Jun-1988	1533
19-Feb-1989	1547
26-Feb-1989	1537
1-Mar-1989	1550
5-Mar-1989	1555
12-Mar-1989	1556
22-Mar-1989	1546
26-Mar-1989	1546
29-Mar-1989	1551
2-Apr-1989	1551
5-Apr-1989	1549
9-Apr-1989	1543
16-Apr-1989	1553
19-Apr-1989	1553
23-Apr-1989	1543
27-Apr-1989	1557
30-Apr-1989	1547
3-May-1989	1531
14-May-1989	1545
17-May-1989	1545
21-May-1989	1534
28-May-1989	1544
1-Jun-1989	1534
4-Jun-1989	1540
14-Jun-1989	1531
17-Jun-1989	1537
28-Jan-1990	1536
4-Feb-1990	1551
7-Feb-1990	1541
11-Feb-1990	1553
18-Feb-1990	1542
21-Feb-1990	1557
4-Mar-1990	1556
7-Mar-1990	1555
11-Mar-1990	1547
14-Mar-1990	1561
18-Mar-1990	1561
21-Mar-1990	1551
24-Mar-1990	1566
1-Apr-1990	1568
8-Apr-1990	1570
15-Apr-1990	1589
18-Apr-1990	1605
22-Apr-1990	1585
25-Apr-1990	1604
29-Apr-1990	1607
2-May-1990	1610
6-May-1990	1604
12-May-1990	1605
27-Jun-1990	1614
2-Jul-1990	1616
11-Jul-1990	1619
15-Jul-1990	1618
19-Jul-1990	1622
22-Jul-1990	1632
25-Jul-1990	1639
29-Jul-1990	1640
5-Aug-1990	1654
8-Aug-1990	1647
12-Aug-1990	1656
15-Aug-1990	1656
22-Aug-1990	1657
26-Aug-1990	1658
24-Jul-1991	1660
28-Jul-1991	1640
31-Jul-1991	1648
4-Aug-1991	1665
7-Aug-1991	1662
11-Aug-1991	1650
14-Aug-1991	1641
18-Aug-1991	1651
21-Aug-1991	1639
25-Aug-1991	1657
1-Sep-1991	1659
4-Sep-1991	1656
7-Sep-1991	1658
15-Sep-1991	1642
18-Sep-1991	1641
22-Sep-1991	1633
29-Sep-1991	1619
6-Oct-1991	1622
9-Oct-1991	1612
13-Oct-1991	1600
16-Oct-1991	1593
19-Oct-1991	1593
23-Oct-1991	1602
27-Oct-1991	1601
31-Oct-1991	1615
3-Nov-1991	1613
5-Jul-1992	1594
12-Jul-1992	1594
19-Jul-1992	1602
26-Jul-1992	1611
2-Aug-1992	1609
9-Aug-1992	1594
16-Aug-1992	1602
19-Aug-1992	1590
23-Aug-1992	1601
30-Aug-1992	1599
2-Sep-1992	1599
6-Sep-1992	1594
9-Sep-1992	1584
13-Sep-1992	1572
16-Sep-1992	1585
20-Sep-1992	1572
27-Sep-1992	1584
30-Sep-1992	1567
4-Oct-1992	1579
7-Oct-1992	1580
11-Oct-1992	1589
14-Oct-1992	1588
18-Oct-1992	1578
21-Oct-1992	1579
24-Oct-1992	1569
1-Nov-1992	1575
24-Jan-1993	1592
31-Jan-1993	1575
3-Feb-1993	1586
7-Feb-1993	1583
10-Feb-1993	1561
14-Feb-1993	1570
17-Feb-1993	1567
21-Feb-1993	1580
28-Feb-1993	1579
3-Mar-1993	1587
7-Mar-1993	1570
10-Mar-1993	1580
14-Mar-1993	1583
21-Mar-1993	1572
24-Mar-1993	1587
28-Mar-1993	1585
31-Mar-1993	1592
4-Apr-1993	1605
7-Apr-1993	1602
