date	rating
7-Apr-1963	1515
14-Apr-1963	1490
17-Jul-1963	1463
24-Jul-1963	1480
27-Feb-1966	1482
5-Mar-1966	1498
8-Mar-1966	1500
11-Mar-1966	1475
16-Mar-1966	1499
20-Mar-1966	1477
23-Mar-1966	1464
31-Jan-1969	1437
9-Feb-1969	1467
13-Feb-1969	1468
23-Feb-1969	1454
7-Mar-1969	1484
13-Mar-1969	1502
18-Mar-1969	1515
30-Mar-1969	1523
7-Apr-1969	1515
11-Feb-1970	1503
18-Feb-1970	1530
22-Feb-1970	1525
5-Mar-1970	1543
8-Mar-1970	1540
12-Mar-1970	1543
15-Mar-1970	1556
21-Mar-1970	1584
29-Mar-1970	1566
2-Apr-1970	1559
20-Feb-1972	1558
1-Mar-1972	1548
5-Mar-1972	1557
9-Mar-1972	1578
16-Mar-1972	1586
26-Mar-1972	1579
4-Feb-1973	1555
14-Feb-1973	1541
17-Feb-1973	1525
2-Mar-1973	1543
9-Mar-1973	1567
16-Mar-1973	1581
5-Feb-1974	1567
13-Feb-1974	1572
19-Feb-1974	1578
24-Feb-1974	1581
1-Mar-1974	1564
5-Mar-1974	1571
28-Feb-1975	1573
7-Mar-1975	1591
14-Mar-1975	1592
21-Mar-1975	1607
4-Apr-1975	1588
9-Apr-1975	1590
7-Mar-1976	1571
14-Mar-1976	1566
18-Mar-1976	1576
28-Mar-1976	1588
4-Apr-1976	1578
13-Apr-1976	1588
1-Apr-1977	1583
9-Apr-1977	1567
14-Apr-1977	1549
20-Apr-1977	1547
29-Apr-1977	1562
3-May-1977	1559
23-Mar-1979	1572
29-Mar-1979	1583
3-Apr-1979	1567
5-Apr-1979	1578
8-Apr-1979	1588
18-Apr-1979	1613
4-May-1979	1635
9-May-1979	1655
16-May-1979	1676
24-May-1979	1679
22-Jul-1979	1711
27-Jul-1979	1714
11-Jun-1980	1721
18-Jun-1980	1704
2-Jul-1980	1703
9-Jul-1980	1714
7-Jul-1981	1707
17-Jul-1981	1711
24-Jul-1981	1716
28-Jul-1981	1704
8-Aug-1981	1666
14-Aug-1981	1673
14-Mar-1982	1665
20-Mar-1982	1673
24-Mar-1982	1688
4-Apr-1982	1681
18-Apr-1982	1686
25-Apr-1982	1704
21-Oct-1982	1698
29-Oct-1982	1711
5-Nov-1982	1710
10-Nov-1982	1693
6-Apr-1983	1671
20-Apr-1983	1657
27-Apr-1983	1650
6-May-1983	1630
16-May-1983	1626
23-May-1983	1606
8-Mar-1984	1601
16-Mar-1984	1621
23-Mar-1984	1641
13-Apr-1984	1650
24-Apr-1984	1639
27-Apr-1984	1656
6-Aug-1986	1668
13-Aug-1986	1675
11-Sep-1986	1690
16-Sep-1986	1691
30-Sep-1986	1685
5-Oct-1986	1670
15-Mar-1987	1678
1-Apr-1987	1698
12-Apr-1987	1706
14-Apr-1987	1698
20-May-1987	1661
24-May-1987	1640
6-Jul-1988	1639
19-Jul-1988	1616
22-Jul-1988	1589
10-Aug-1988	1603
19-Aug-1988	1581
26-Aug-1988	1605
23-Feb-1989	1599
10-Mar-1989	1620
14-Mar-1989	1594
17-Mar-1989	1581
23-Mar-1989	1615
30-Mar-1989	1594
5-Apr-1989	1624
12-Apr-1989	1606
19-Apr-1989	1621
26-Apr-1989	1616
10-May-1989	1607
17-May-1989	1629
24-May-1989	1649
31-May-1989	1621
14-Mar-1990	1635
27-Mar-1990	1656
3-Apr-1990	1677
18-Apr-1990	1660
24-Apr-1990	1663
27-Apr-1990	1653
22-Aug-1990	1670
29-Aug-1990	1666
20-Sep-1990	1680
26-Sep-1990	1662
3-Oct-1990	1678
10-Oct-1990	1672
17-Apr-1991	1666
26-Apr-1991	1676
2-May-1991	1659
8-May-1991	1685
16-May-1991	1684
23-May-1991	1698
29-May-1991	1697
5-Jun-1991	1670
5-Feb-1993	1669
23-Feb-1993	1670
26-Feb-1993	1670
10-Mar-1993	1685
23-Mar-1993	1685
26-Mar-1993	1670
7-Apr-1993	1685
14-Apr-1993	1710
21-Apr-1993	1709
28-Apr-1993	1708
2-Mar-1994	1723
9-Mar-1994	1713
12-Mar-1994	1704
24-Mar-1994	1721
5-Apr-1994	1686
12-Apr-1994	1695
20-Apr-1994	1704
27-Apr-1994	1713
27-Jul-1994	1726
3-Aug-1994	1743
10-Aug-1994	1733
17-Aug-1994	1754
15-Feb-1995	1748
21-Feb-1995	1758
28-Feb-1995	1748
3-Mar-1995	1752
21-Mar-1995	1747
4-Apr-1995	1755
25-Apr-1995	1730
3-May-1995	1712
13-Mar-1996	1694
19-Mar-1996	1671
22-Mar-1996	1651
3-Apr-1996	1650
12-Apr-1996	1664
19-Apr-1996	1661
25-Feb-1998	1685
6-Mar-1998	1703
13-Mar-1998	1703
18-Mar-1998	1714
31-Mar-1998	1695
3-Apr-1998	1717
23-Apr-1998	1693
30-Apr-1998	1702
24-Feb-1999	1685
5-Mar-1999	1719
12-Mar-1999	1724
17-Mar-1999	1720
26-Mar-1999	1708
9-Apr-1999	1685
22-Feb-2000	1693
1-Mar-2000	1709
14-Mar-2000	1714
5-Apr-2000	1706
12-Apr-2000	1663
19-Apr-2000	1655
13-Feb-2001	1647
22-Feb-2001	1659
6-Apr-2001	1652
12-Apr-2001	1646
18-Apr-2001	1625
1-May-2001	1618
21-Feb-2002	1630
27-Feb-2002	1644
6-Mar-2002	1642
19-Mar-2002	1624
2-Apr-2002	1622
10-Apr-2002	1640
23-Apr-2002	1640
2-May-2002	1655
8-May-2002	1661
16-May-2002	1681
10-Jul-2002	1701
17-Jul-2002	1689
24-Jul-2002	1679
31-Jul-2002	1700
11-Feb-2003	1690
20-Feb-2003	1687
4-Mar-2003	1681
20-Mar-2003	1656
25-Mar-2003	1670
8-Apr-2003	1687
22-Apr-2003	1675
8-May-2003	1654
5-Feb-2004	1634
17-Feb-2004	1635
9-Mar-2004	1615
16-Mar-2004	1627
6-Apr-2004	1629
13-Apr-2004	1615
10-Feb-2012	1593
23-Feb-2012	1606
15-Mar-2012	1613
28-Mar-2012	1635
3-Apr-2012	1595
12-Apr-2012	1575
24-Jan-2013	1576
31-Jan-2013	1601
14-Feb-2013	1581
19-Feb-2013	1614
5-Mar-2013	1606
13-Mar-2013	1620
4-Apr-2013	1635
11-Apr-2013	1663
30-Apr-2013	1644
16-May-2013	1663
22-May-2013	1668
29-May-2013	1689
2-Jul-2013	1708
9-Jul-2013	1689
17-Jul-2013	1719
24-Jul-2013	1700
