date	rating
24-Jul-1991	1507
28-Jul-1991	1509
31-Jul-1991	1509
4-Aug-1991	1512
7-Aug-1991	1518
11-Aug-1991	1499
14-Aug-1991	1500
18-Aug-1991	1487
21-Aug-1991	1475
25-Aug-1991	1460
1-Sep-1991	1462
4-Sep-1991	1463
8-Sep-1991	1450
14-Sep-1991	1461
18-Sep-1991	1452
22-Sep-1991	1455
28-Sep-1991	1467
6-Oct-1991	1459
9-Oct-1991	1450
12-Oct-1991	1440
16-Oct-1991	1454
19-Oct-1991	1442
23-Oct-1991	1441
27-Oct-1991	1439
31-Oct-1991	1432
3-Nov-1991	1451
5-Jul-1992	1444
12-Jul-1992	1434
19-Jul-1992	1428
26-Jul-1992	1431
2-Aug-1992	1423
9-Aug-1992	1438
16-Aug-1992	1450
19-Aug-1992	1442
23-Aug-1992	1445
30-Aug-1992	1448
2-Sep-1992	1457
6-Sep-1992	1458
9-Sep-1992	1475
13-Sep-1992	1488
16-Sep-1992	1488
20-Sep-1992	1492
27-Sep-1992	1480
30-Sep-1992	1481
4-Oct-1992	1494
7-Oct-1992	1483
11-Oct-1992	1486
14-Oct-1992	1490
18-Oct-1992	1496
21-Oct-1992	1513
24-Oct-1992	1501
1-Nov-1992	1512
24-Jan-1993	1511
31-Jan-1993	1501
3-Feb-1993	1490
7-Feb-1993	1486
10-Feb-1993	1472
14-Feb-1993	1462
17-Feb-1993	1464
21-Feb-1993	1451
28-Feb-1993	1463
3-Mar-1993	1465
7-Mar-1993	1448
10-Mar-1993	1458
14-Mar-1993	1451
21-Mar-1993	1442
24-Mar-1993	1432
28-Mar-1993	1423
31-Mar-1993	1434
4-Apr-1993	1420
7-Apr-1993	1415
11-Apr-1993	1404
14-Apr-1993	1423
18-Apr-1993	1410
25-Apr-1993	1413
28-Apr-1993	1414
2-May-1993	1425
9-May-1993	1415
