date	rating
24-Feb-1999	1490
2-Mar-1999	1534
9-Mar-1999	1540
17-Mar-1999	1576
23-Mar-1999	1564
25-Mar-1999	1549
6-Feb-2002	1567
21-Feb-2002	1554
27-Feb-2002	1529
7-Mar-2002	1560
19-Mar-2002	1578
10-Apr-2002	1556
19-Feb-2004	1579
25-Feb-2004	1591
9-Mar-2004	1569
17-Mar-2004	1596
6-Apr-2004	1607
22-Apr-2004	1602
6-May-2004	1603
13-May-2004	1604
19-May-2004	1610
27-May-2004	1631
9-Jun-2004	1637
16-Jun-2004	1659
23-Jun-2004	1666
1-Jul-2004	1673
24-Feb-2005	1667
2-Mar-2005	1664
22-Mar-2005	1642
5-Apr-2005	1637
12-Apr-2005	1658
5-May-2005	1667
19-May-2005	1662
26-May-2005	1643
9-Feb-2010	1656
25-Feb-2010	1676
10-Mar-2010	1669
18-Mar-2010	1663
1-Apr-2010	1670
21-Apr-2010	1659
29-Apr-2010	1658
6-May-2010	1641
17-Feb-2011	1604
22-Feb-2011	1606
3-Mar-2011	1601
15-Mar-2011	1596
22-Mar-2011	1599
19-Apr-2011	1615
