date	rating
23-Sep-1979	1518
30-Sep-1979	1530
3-Oct-1979	1529
10-Oct-1979	1536
14-Oct-1979	1525
17-Oct-1979	1526
21-Oct-1979	1499
25-Oct-1979	1486
4-Nov-1979	1497
8-Nov-1979	1491
11-Nov-1979	1505
15-Nov-1979	1511
18-Nov-1979	1512
21-Nov-1979	1512
24-Nov-1979	1493
28-Nov-1979	1493
29-Jan-1984	1496
3-Feb-1984	1505
5-Feb-1984	1518
8-Feb-1984	1524
15-Feb-1984	1511
19-Feb-1984	1502
22-Feb-1984	1493
26-Feb-1984	1523
11-Mar-1984	1528
14-Mar-1984	1517
18-Mar-1984	1506
21-Mar-1984	1494
25-Mar-1984	1522
1-Apr-1984	1539
31-Aug-1986	1549
2-Sep-1986	1545
11-Sep-1986	1531
14-Sep-1986	1518
17-Sep-1986	1512
25-Sep-1986	1493
27-Sep-1986	1480
30-Sep-1986	1462
2-Oct-1986	1445
5-Oct-1986	1432
