date	rating
10-Mar-1974	1511
13-Mar-1974	1534
17-Mar-1974	1534
23-Mar-1974	1515
27-Mar-1974	1500
30-Mar-1974	1515
6-Apr-1974	1510
13-Apr-1974	1510
20-Apr-1974	1503
23-Apr-1974	1497
27-Apr-1974	1515
4-May-1974	1541
8-May-1974	1539
18-May-1974	1542
25-May-1974	1549
2-Jun-1974	1549
5-Jun-1974	1569
9-Jun-1974	1581
13-Jun-1974	1597
29-Jun-1974	1582
3-Jul-1974	1571
6-Jul-1974	1558
11-Jul-1974	1562
14-Jul-1974	1574
1-Sep-1976	1572
5-Sep-1976	1576
8-Sep-1976	1580
16-Sep-1976	1594
19-Sep-1976	1595
22-Sep-1976	1592
26-Sep-1976	1591
29-Sep-1976	1606
10-Oct-1976	1628
13-Oct-1976	1620
16-Oct-1976	1639
20-Oct-1976	1623
24-Oct-1976	1612
16-Oct-1977	1619
23-Oct-1977	1603
27-Oct-1977	1612
7-Nov-1977	1624
10-Nov-1977	1637
17-Nov-1977	1624
20-Nov-1977	1631
23-Nov-1977	1629
27-Nov-1977	1633
1-Dec-1977	1635
4-Dec-1977	1653
7-Dec-1977	1656
18-Dec-1977	1665
1-Feb-1978	1666
15-Feb-1978	1679
18-Feb-1978	1696
20-Feb-1978	1675
22-Feb-1978	1699
26-Mar-1978	1671
2-Apr-1978	1665
6-Apr-1978	1670
9-Apr-1978	1651
12-Apr-1978	1664
20-Apr-1978	1675
23-Apr-1978	1671
26-Apr-1978	1676
30-Apr-1978	1687
4-May-1978	1683
7-May-1978	1687
21-May-1978	1664
28-May-1978	1678
30-May-1978	1657
4-Jun-1978	1675
10-Jun-1978	1673
13-Jun-1978	1679
21-Jun-1978	1670
24-Jun-1978	1677
2-Jul-1978	1686
5-Jul-1978	1692
9-Jul-1978	1706
13-Jul-1978	1705
16-Jul-1978	1693
20-Jul-1978	1673
23-Jul-1978	1678
23-Sep-1979	1687
26-Sep-1979	1696
3-Oct-1979	1683
6-Oct-1979	1654
14-Oct-1979	1649
17-Oct-1979	1667
24-Oct-1979	1680
28-Oct-1979	1662
31-Oct-1979	1669
8-Nov-1979	1682
11-Nov-1979	1677
15-Nov-1979	1696
18-Nov-1979	1709
22-Nov-1979	1704
25-Nov-1979	1710
28-Nov-1979	1733
4-Dec-1979	1743
6-Dec-1979	1750
8-Dec-1979	1733
24-Feb-1980	1735
27-Feb-1980	1706
2-Mar-1980	1689
5-Mar-1980	1680
9-Mar-1980	1691
16-Mar-1980	1701
19-Mar-1980	1704
23-Mar-1980	1672
30-Mar-1980	1680
18-Jan-1981	1674
21-Jan-1981	1663
25-Jan-1981	1672
28-Jan-1981	1654
1-Feb-1981	1668
4-Feb-1981	1675
7-Feb-1981	1682
14-Feb-1981	1670
21-Feb-1981	1686
7-Mar-1981	1694
12-Mar-1981	1704
15-Mar-1981	1727
19-Mar-1981	1709
28-Mar-1981	1719
4-Apr-1981	1736
20-Jan-1982	1741
24-Jan-1982	1725
28-Jan-1982	1735
31-Jan-1982	1732
3-Feb-1982	1705
7-Feb-1982	1719
10-Feb-1982	1717
17-Feb-1982	1724
28-Feb-1982	1705
6-Mar-1982	1732
11-Mar-1982	1739
14-Mar-1982	1721
17-Mar-1982	1713
25-Mar-1982	1721
29-Jan-1984	1727
5-Feb-1984	1727
8-Feb-1984	1716
12-Feb-1984	1730
16-Feb-1984	1733
19-Feb-1984	1737
22-Feb-1984	1721
29-Feb-1984	1721
11-Mar-1984	1732
14-Mar-1984	1724
18-Mar-1984	1733
21-Mar-1984	1738
25-Mar-1984	1722
1-Apr-1984	1700
7-Apr-1984	1699
11-Apr-1984	1700
15-Apr-1984	1699
18-Apr-1984	1682
22-Apr-1984	1694
25-Apr-1984	1681
2-Sep-1986	1671
7-Sep-1986	1649
11-Sep-1986	1655
14-Sep-1986	1634
21-Sep-1986	1620
24-Sep-1986	1619
30-Sep-1986	1611
2-Oct-1986	1632
5-Oct-1986	1619
7-Oct-1986	1628
19-Jul-1989	1623
22-Jul-1989	1607
22-Jun-1990	1620
27-Jun-1990	1603
11-Jul-1990	1595
15-Jul-1990	1580
8-Jul-1992	1564
4-Aug-1992	1547
16-Mar-1993	1531
19-Mar-1993	1516
6-Feb-1996	1511
5-Mar-1996	1503
20-Feb-1997	1505
25-Feb-1997	1485
20-Jan-1998	1494
6-Feb-1998	1486
21-Mar-2001	1472
16-Feb-2006	1467
22-Feb-2006	1457
