date	rating
4-Apr-1942	1510
12-Apr-1942	1514
19-Apr-1942	1530
3-May-1942	1543
10-May-1942	1554
17-May-1942	1563
31-May-1942	1572
7-Jun-1942	1584
14-Jun-1942	1598
28-Jun-1942	1605
19-Jul-1942	1612
26-Jul-1942	1620
2-Aug-1942	1631
9-Aug-1942	1647
16-Aug-1942	1660
23-Aug-1942	1664
8-Sep-1942	1678
13-Sep-1942	1682
20-Sep-1942	1702
4-Oct-1942	1693
21-Mar-1943	1701
28-Mar-1943	1707
4-Apr-1943	1713
11-Apr-1943	1714
17-Apr-1943	1721
25-Apr-1943	1717
9-May-1943	1723
23-May-1943	1706
23-May-1943	1727
13-Jun-1943	1718
11-Jul-1943	1724
18-Jul-1943	1703
25-Jul-1943	1711
1-Aug-1943	1714
8-Aug-1943	1728
15-Aug-1943	1723
21-Aug-1943	1726
29-Aug-1943	1735
19-Sep-1943	1755
3-Oct-1943	1757
26-Mar-1944	1753
2-Apr-1944	1735
9-Apr-1944	1740
16-Apr-1944	1744
22-Apr-1944	1747
30-Apr-1944	1768
4-Jun-1944	1769
8-Jun-1944	1773
18-Jun-1944	1781
25-Jun-1944	1788
9-Jul-1944	1791
15-Jul-1944	1776
23-Jul-1944	1782
6-Aug-1944	1785
13-Aug-1944	1789
27-Aug-1944	1779
10-Sep-1944	1787
17-Sep-1944	1803
1-Oct-1944	1805
8-Oct-1944	1809
1-Apr-1945	1812
8-Apr-1945	1805
14-Apr-1945	1798
22-Apr-1945	1789
29-Apr-1945	1792
13-May-1945	1795
19-May-1945	1798
27-May-1945	1804
2-Jun-1945	1812
10-Jun-1945	1811
1-Jul-1945	1813
8-Jul-1945	1807
15-Jul-1945	1798
29-Jul-1945	1789
5-Aug-1945	1795
25-Aug-1945	1803
2-Sep-1945	1794
8-Sep-1945	1797
23-Sep-1945	1799
7-Oct-1945	1804
14-Apr-1946	1806
21-Apr-1946	1779
5-May-1946	1788
11-May-1946	1781
26-May-1946	1755
2-Jun-1946	1757
19-Jun-1946	1762
23-Jun-1946	1734
29-Jun-1946	1727
21-Jul-1946	1731
4-Aug-1946	1718
17-Aug-1946	1723
25-Aug-1946	1715
7-Sep-1946	1709
15-Sep-1946	1716
22-Sep-1946	1725
5-Oct-1946	1729
20-Oct-1946	1723
26-Oct-1946	1705
10-Nov-1946	1700
3-Jan-1947	1705
18-May-1947	1710
1-Jun-1947	1715
14-Jun-1947	1721
29-Jun-1947	1735
13-Jul-1947	1739
20-Jul-1947	1760
17-Aug-1947	1772
23-Aug-1947	1776
30-Aug-1947	1770
13-Sep-1947	1774
21-Sep-1947	1777
4-Oct-1947	1782
18-Oct-1947	1786
2-Nov-1947	1793
23-Nov-1947	1781
29-Nov-1947	1785
7-Dec-1947	1787
14-Dec-1947	1789
28-Dec-1947	1793
15-May-1948	1795
30-May-1948	1772
13-Jun-1948	1767
27-Jun-1948	1749
4-Jul-1948	1748
7-Jul-1948	1750
15-Aug-1948	1742
21-Aug-1948	1725
29-Aug-1948	1729
5-Sep-1948	1731
12-Sep-1948	1735
25-Sep-1948	1728
10-Oct-1948	1716
17-Oct-1948	1719
24-Oct-1948	1722
15-Nov-1948	1701
21-Nov-1948	1679
28-Nov-1948	1684
5-Dec-1948	1686
26-Dec-1948	1679
5-Jun-1949	1682
19-Jun-1949	1685
2-Jul-1949	1700
10-Jul-1949	1707
16-Jul-1949	1714
24-Jul-1949	1703
6-Aug-1949	1716
14-Aug-1949	1708
20-Aug-1949	1692
28-Aug-1949	1696
4-Sep-1949	1699
18-Sep-1949	1693
25-Sep-1949	1693
2-Oct-1949	1701
9-Oct-1949	1708
23-Oct-1949	1699
26-Oct-1949	1708
6-Nov-1949	1712
13-Nov-1949	1712
20-Nov-1949	1704
4-Dec-1949	1683
11-Dec-1949	1665
20-Aug-1950	1661
3-Sep-1950	1665
9-Sep-1950	1664
17-Sep-1950	1676
24-Sep-1950	1677
1-Oct-1950	1684
7-Oct-1950	1688
15-Oct-1950	1710
22-Oct-1950	1716
29-Oct-1950	1725
5-Nov-1950	1723
19-Nov-1950	1729
25-Nov-1950	1723
3-Dec-1950	1727
10-Dec-1950	1710
16-Dec-1950	1692
24-Dec-1950	1699
31-Dec-1950	1703
7-Jan-1951	1688
14-Jan-1951	1694
21-Jan-1951	1703
28-Jan-1951	1706
3-Jun-1951	1711
17-Jun-1951	1720
24-Jun-1951	1724
1-Aug-1951	1731
