date	rating
8-May-1902	1481
7-Jun-1902	1481
15-Jun-1902	1496
29-Jun-1902	1507
27-Jul-1902	1521
17-Aug-1902	1519
14-Sep-1902	1531
4-Oct-1902	1547
26-Oct-1902	1538
24-Jun-1903	1555
28-Jun-1903	1568
5-Jul-1903	1575
14-Jul-1903	1572
26-Jul-1903	1582
2-Aug-1903	1564
29-Aug-1903	1572
23-Sep-1903	1580
25-Oct-1903	1572
13-May-1904	1579
22-May-1904	1587
5-Jun-1904	1602
19-Jun-1904	1603
26-Jun-1904	1611
14-Jul-1904	1616
24-Jul-1904	1617
31-Jul-1904	1621
7-Aug-1904	1626
28-Aug-1904	1636
30-Oct-1904	1628
13-May-1905	1637
28-May-1905	1647
29-Jun-1905	1650
30-Jul-1905	1665
27-Aug-1905	1670
8-Sep-1905	1682
17-Sep-1905	1676
1-Oct-1905	1671
22-Oct-1905	1678
1-Nov-1905	1685
10-Jun-1906	1667
14-Jun-1906	1662
24-Jun-1906	1635
29-Jun-1906	1646
15-Jul-1906	1631
22-Jul-1906	1602
29-Jul-1906	1586
7-Oct-1906	1567
30-May-1907	1549
16-Jun-1907	1558
7-Jul-1907	1556
14-Jul-1907	1536
11-Aug-1907	1519
7-Sep-1907	1534
15-Sep-1907	1521
22-Sep-1907	1535
3-Nov-1907	1550
10-Nov-1907	1560
24-May-1908	1566
7-Jun-1908	1567
24-Jun-1908	1574
28-Jun-1908	1583
2-Aug-1908	1588
9-Aug-1908	1589
30-Aug-1908	1598
8-Sep-1908	1609
27-Sep-1908	1608
15-Nov-1908	1587
4-Jul-1909	1604
1-Aug-1909	1592
8-Aug-1909	1589
22-Aug-1909	1609
12-Sep-1909	1616
3-Oct-1909	1616
23-Oct-1909	1610
31-Oct-1909	1628
7-Nov-1909	1625
13-Nov-1909	1631
5-Dec-1909	1618
22-May-1910	1628
5-Jun-1910	1622
26-Jun-1910	1630
10-Jul-1910	1637
31-Jul-1910	1646
21-Aug-1910	1640
2-Oct-1910	1625
16-Oct-1910	1613
1-Nov-1910	1597
6-Nov-1910	1583
14-May-1911	1575
11-Jun-1911	1562
29-Jun-1911	1552
2-Jul-1911	1563
14-Jul-1911	1559
23-Jul-1911	1570
17-Sep-1911	1578
24-Sep-1911	1568
1-Oct-1911	1554
14-Apr-1912	1566
28-Apr-1912	1567
12-May-1912	1576
26-May-1912	1587
23-Jun-1912	1602
29-Jun-1912	1612
28-Jul-1912	1616
11-Aug-1912	1602
25-Aug-1912	1580
6-Oct-1912	1595
15-Apr-1917	1592
22-Apr-1917	1603
29-Apr-1917	1601
6-May-1917	1612
20-May-1917	1618
3-Jun-1917	1626
29-Jun-1917	1633
8-Jul-1917	1648
15-Jul-1917	1652
22-Jul-1917	1658
