date	rating
28-Aug-1960	1487
7-Sep-1960	1470
9-Sep-1962	1483
16-Sep-1962	1483
23-Sep-1962	1485
30-Sep-1962	1486
3-Oct-1962	1469
1-Sep-1963	1489
7-Sep-1963	1501
15-Sep-1963	1492
19-Sep-1963	1478
26-Jul-1964	1498
2-Aug-1964	1498
9-Aug-1964	1498
16-Aug-1964	1510
30-Aug-1964	1491
6-Sep-1964	1466
13-Jul-1966	1496
17-Jul-1966	1516
7-Aug-1966	1548
15-Aug-1966	1540
18-Aug-1966	1548
31-Aug-1966	1529
7-Sep-1966	1529
30-Jul-1967	1541
6-Aug-1967	1551
13-Aug-1967	1529
16-Aug-1967	1545
3-Sep-1967	1530
7-Sep-1967	1515
4-Aug-1968	1514
11-Aug-1968	1540
18-Aug-1968	1518
21-Aug-1968	1499
25-Aug-1973	1521
29-Aug-1973	1526
2-Sep-1973	1510
5-Sep-1973	1492
9-Sep-1973	1493
12-Sep-1973	1488
16-Sep-1973	1477
23-Sep-1973	1463
26-Sep-1973	1460
30-Sep-1973	1446
3-Oct-1973	1442
7-Oct-1973	1433
13-Oct-1973	1427
17-Oct-1973	1417
21-Oct-1973	1419
24-Oct-1973	1415
27-Oct-1973	1423
31-Oct-1973	1413
3-Nov-1973	1404
11-Nov-1973	1434
14-Nov-1973	1419
17-Nov-1973	1423
25-Nov-1973	1423
29-Nov-1973	1428
1-Dec-1973	1410
8-Dec-1973	1439
12-Dec-1973	1442
16-Dec-1973	1424
9-Mar-1974	1418
13-Mar-1974	1450
17-Mar-1974	1443
23-Mar-1974	1451
30-Mar-1974	1461
6-Apr-1974	1466
13-Apr-1974	1467
20-Apr-1974	1492
24-Apr-1974	1484
2-May-1974	1471
8-May-1974	1475
11-May-1974	1494
15-May-1974	1502
18-May-1974	1504
25-May-1974	1515
29-May-1974	1515
2-Jun-1974	1507
8-Jun-1974	1524
12-Jun-1974	1535
29-Jun-1974	1538
3-Jul-1974	1529
6-Jul-1974	1524
14-Jul-1974	1516
17-Jul-1974	1503
20-Aug-1975	1487
23-Aug-1975	1481
26-Aug-1975	1470
3-Sep-1975	1477
7-Sep-1975	1464
14-Sep-1975	1492
17-Sep-1975	1512
21-Sep-1975	1513
28-Sep-1975	1519
1-Oct-1975	1526
23-Oct-1975	1517
30-Oct-1975	1507
2-Nov-1975	1522
9-Nov-1975	1523
2-Sep-1976	1544
7-Sep-1976	1528
11-Sep-1976	1513
15-Sep-1976	1517
19-Sep-1976	1522
22-Sep-1976	1501
25-Sep-1976	1514
30-Sep-1976	1505
9-Oct-1976	1490
14-Oct-1976	1510
20-Oct-1976	1522
23-Oct-1976	1521
16-Oct-1977	1502
19-Oct-1977	1486
