date	rating
8-Jul-1962	1486
18-Jul-1962	1513
22-Jul-1962	1513
28-Jul-1962	1511
2-Aug-1962	1538
30-Aug-1962	1533
9-Jun-1963	1560
7-Jul-1963	1587
7-Aug-1963	1569
15-Aug-1963	1554
7-Feb-1965	1551
28-Feb-1965	1568
7-Mar-1965	1552
10-Mar-1965	1574
25-Mar-1965	1568
28-Mar-1965	1592
31-Mar-1965	1614
9-Apr-1965	1599
12-Apr-1965	1624
15-Apr-1965	1597
30-Jan-1966	1569
2-Feb-1966	1551
6-Feb-1966	1563
9-Feb-1966	1576
13-Feb-1966	1588
2-Mar-1966	1604
5-Mar-1966	1618
8-Mar-1966	1632
11-Mar-1966	1650
20-Mar-1966	1678
30-Mar-1966	1657
10-Apr-1966	1682
19-Apr-1966	1697
23-Apr-1966	1708
14-May-1966	1728
18-May-1966	1709
20-May-1966	1728
11-Jun-1967	1713
18-Jun-1967	1694
5-Jul-1967	1708
16-Jul-1967	1708
2-Feb-1968	1723
7-Feb-1968	1734
12-Feb-1968	1745
16-Feb-1968	1743
20-Feb-1968	1718
24-Feb-1968	1711
16-Mar-1968	1721
20-Mar-1968	1726
25-Mar-1968	1719
31-Mar-1968	1728
4-Apr-1968	1733
10-Apr-1968	1727
18-Apr-1968	1713
23-Apr-1968	1700
23-Feb-1969	1699
26-Feb-1969	1708
2-Mar-1969	1699
9-Mar-1969	1698
12-Mar-1969	1710
15-Mar-1969	1719
30-Mar-1969	1711
7-Apr-1969	1719
26-Apr-1969	1697
30-Apr-1969	1714
4-May-1969	1715
15-Feb-1970	1714
22-Feb-1970	1706
27-Feb-1970	1710
6-Mar-1970	1711
10-Mar-1970	1717
15-Mar-1970	1735
12-Apr-1970	1746
19-Apr-1970	1715
26-Apr-1970	1727
2-May-1970	1734
8-May-1970	1713
12-May-1970	1728
14-May-1970	1722
21-May-1970	1710
27-May-1970	1713
2-Mar-1971	1697
7-Mar-1971	1704
13-Mar-1971	1695
19-Mar-1971	1702
22-Mar-1971	1719
30-Mar-1971	1697
19-Feb-1972	1703
27-Feb-1972	1710
12-Mar-1972	1720
16-Mar-1972	1730
11-Apr-1972	1738
21-Apr-1972	1739
29-Apr-1972	1733
3-May-1972	1709
17-Feb-1973	1692
25-Feb-1973	1678
10-Mar-1973	1683
10-Mar-1973	1659
14-Mar-1973	1663
21-Mar-1973	1649
6-Feb-1974	1669
13-Feb-1974	1664
20-Feb-1974	1678
24-Feb-1974	1658
1-Mar-1974	1675
8-Mar-1974	1673
11-Sep-1974	1671
18-Sep-1974	1657
25-Sep-1974	1679
2-Oct-1974	1681
6-Mar-1975	1689
11-Mar-1975	1702
21-Mar-1975	1681
26-Mar-1975	1689
2-Apr-1975	1700
6-Apr-1975	1680
3-Mar-1976	1682
13-Mar-1976	1677
17-Mar-1976	1655
24-Mar-1976	1671
30-Mar-1976	1679
4-Apr-1976	1698
26-May-1976	1685
15-Jun-1976	1699
30-Jun-1976	1669
15-Jul-1976	1657
31-Mar-1977	1625
13-Apr-1977	1613
20-Apr-1977	1601
26-Apr-1977	1605
11-May-1977	1594
18-May-1977	1613
19-Apr-1978	1628
14-May-1978	1610
17-May-1978	1589
7-Jun-1978	1599
18-Jul-1978	1576
23-Jul-1978	1586
7-Mar-1979	1589
13-Mar-1979	1609
23-Mar-1979	1619
28-Mar-1979	1621
5-Apr-1979	1630
8-Apr-1979	1645
10-May-1979	1649
16-May-1979	1640
20-Jun-1979	1629
4-Jul-1979	1637
25-Mar-1981	1651
22-Apr-1981	1659
26-Apr-1981	1670
6-May-1981	1664
13-May-1981	1676
18-May-1981	1685
30-Sep-1981	1686
13-Oct-1981	1667
21-Oct-1981	1668
28-Oct-1981	1642
5-Aug-1982	1656
20-Aug-1982	1677
27-Aug-1982	1695
9-Sep-1982	1686
14-Sep-1982	1703
17-Sep-1982	1682
19-Oct-1982	1705
28-Oct-1982	1729
12-Nov-1982	1743
16-Nov-1982	1762
26-Nov-1982	1759
30-Nov-1982	1771
18-Jun-1983	1762
5-Jul-1983	1782
13-Jul-1983	1787
15-Jul-1983	1800
22-Jul-1983	1799
28-Jul-1983	1783
23-Apr-1985	1790
30-Apr-1985	1779
3-May-1985	1787
15-May-1985	1795
24-May-1985	1800
31-May-1985	1809
18-Sep-1985	1802
25-Sep-1985	1815
29-Sep-1985	1772
2-Oct-1985	1741
9-Jul-1986	1707
17-Jul-1986	1692
24-Jul-1986	1670
29-Jul-1986	1651
1-Aug-1986	1653
6-Aug-1986	1635
6-May-1987	1645
20-May-1987	1653
22-May-1987	1647
26-May-1987	1639
2-Jun-1987	1653
9-Jun-1987	1664
2-Sep-1987	1698
16-Sep-1987	1701
30-Sep-1987	1727
7-Oct-1987	1713
21-Oct-1987	1697
28-Oct-1987	1714
31-Oct-1987	1728
21-Sep-1988	1724
28-Sep-1988	1705
17-Feb-1989	1665
21-Feb-1989	1672
24-Feb-1989	1638
8-Mar-1989	1652
17-Mar-1989	1677
24-Mar-1989	1669
5-Apr-1989	1644
11-Apr-1989	1633
19-Feb-1995	1628
22-Feb-1995	1618
8-Mar-1995	1621
15-Mar-1995	1637
14-Apr-1995	1655
19-Apr-1995	1658
26-Apr-1995	1635
3-May-1995	1614
18-Mar-1996	1630
23-Mar-1996	1648
26-Mar-1996	1643
7-Apr-1996	1637
13-Apr-1996	1634
16-Apr-1996	1613
2-May-1996	1598
8-May-1996	1572
27-Feb-1997	1600
7-Mar-1997	1617
11-Mar-1997	1596
14-Mar-1997	1613
19-Mar-1997	1586
18-Apr-1997	1604
23-Apr-1997	1583
6-May-1997	1611
21-May-1997	1626
25-Feb-1998	1639
3-Mar-1998	1632
6-Mar-1998	1616
18-Mar-1998	1636
27-Mar-1998	1653
31-Mar-1998	1638
22-Apr-1998	1616
29-Apr-1998	1626
20-May-1998	1650
27-May-1998	1621
22-Feb-2000	1621
2-Mar-2000	1634
16-Mar-2000	1635
5-Apr-2000	1659
13-Apr-2000	1655
19-Apr-2000	1636
4-May-2000	1666
11-May-2000	1649
13-Feb-2001	1636
22-Feb-2001	1629
6-Mar-2001	1618
5-Apr-2001	1609
18-Apr-2001	1622
2-May-2001	1611
5-Feb-2002	1595
19-Feb-2002	1617
6-Mar-2002	1630
12-Mar-2002	1654
19-Mar-2002	1609
9-Apr-2002	1628
24-Apr-2002	1626
30-Apr-2002	1624
9-May-2002	1646
14-May-2002	1636
18-Feb-2003	1642
25-Feb-2003	1611
11-Mar-2003	1632
18-Mar-2003	1658
2-Apr-2003	1638
10-Apr-2003	1611
11-Feb-2004	1597
2-Mar-2004	1604
16-Mar-2004	1624
23-Mar-2004	1593
8-Apr-2004	1601
15-Apr-2004	1635
3-Feb-2005	1606
10-Feb-2005	1635
29-Jan-2009	1604
3-Feb-2009	1605
24-Feb-2011	1583
1-Mar-2011	1601
9-Mar-2011	1617
17-Mar-2011	1586
31-Mar-2011	1599
12-Apr-2011	1585
16-Feb-2012	1566
21-Feb-2012	1544
6-Mar-2012	1547
27-Mar-2012	1535
10-Apr-2012	1517
19-Apr-2012	1539
13-Feb-2013	1552
19-Feb-2013	1565
26-Feb-2013	1555
12-Mar-2013	1542
2-Apr-2013	1516
9-Apr-2013	1538
