date	rating
30-Jul-1967	1488
2-Aug-1967	1488
9-Aug-1967	1475
13-Aug-1967	1498
4-Aug-1968	1517
11-Aug-1968	1528
14-Aug-1968	1540
25-Aug-1968	1551
1-Sep-1968	1537
8-Sep-1968	1537
23-Sep-1979	1531
26-Sep-1979	1528
4-Oct-1979	1503
6-Oct-1979	1505
14-Oct-1979	1485
17-Oct-1979	1490
21-Oct-1979	1473
31-Oct-1979	1476
4-Nov-1979	1473
31-Aug-1986	1463
2-Sep-1986	1466
7-Sep-1986	1459
10-Sep-1986	1478
17-Sep-1986	1452
24-Sep-1986	1442
2-Oct-1986	1429
5-Oct-1986	1419
7-Oct-1986	1412
9-Oct-1986	1400
22-Feb-2006	1393
8-Mar-2006	1380
