date	rating
18-Jan-1981	1505
21-Jan-1981	1520
25-Jan-1981	1526
28-Jan-1981	1534
1-Feb-1981	1518
4-Feb-1981	1524
7-Feb-1981	1523
14-Feb-1981	1527
19-Feb-1981	1517
27-Jan-1985	1517
30-Jan-1985	1528
3-Feb-1985	1524
6-Feb-1985	1511
10-Feb-1985	1504
14-Feb-1985	1511
24-Feb-1985	1514
27-Feb-1985	1525
3-Mar-1985	1515
6-Mar-1985	1534
10-Mar-1985	1549
14-Mar-1985	1546
17-Mar-1985	1558
23-Mar-1985	1567
27-Mar-1985	1565
30-Mar-1985	1558
3-Apr-1985	1562
7-Apr-1985	1550
10-Apr-1985	1567
14-Apr-1985	1568
17-Apr-1985	1553
21-Apr-1985	1549
19-Jul-1989	1534
22-Jul-1989	1520
