date	rating
22-Apr-1923	1495
6-May-1923	1498
13-May-1923	1497
20-May-1923	1505
27-May-1923	1499
3-Jun-1923	1505
10-Jun-1923	1505
24-Jun-1923	1490
1-Jul-1923	1476
22-Jul-1923	1486
12-Aug-1923	1500
26-Aug-1923	1511
2-Sep-1923	1511
9-Sep-1923	1529
16-Sep-1923	1525
4-Oct-1923	1518
21-Oct-1923	1533
28-Oct-1923	1525
20-Apr-1924	1520
27-Apr-1924	1505
4-May-1924	1512
13-May-1924	1518
25-May-1924	1512
8-Jun-1924	1524
22-Jun-1924	1521
31-Aug-1924	1519
14-Sep-1924	1505
28-Sep-1924	1478
23-Nov-1924	1473
30-Nov-1924	1457
14-Dec-1924	1452
28-Dec-1924	1448
4-Jan-1925	1442
11-Jan-1925	1433
19-Apr-1925	1428
26-Apr-1925	1447
10-May-1925	1443
24-May-1925	1433
31-May-1925	1439
14-Jun-1925	1430
21-Jun-1925	1422
27-Sep-1925	1442
4-Oct-1925	1436
11-Oct-1925	1450
25-Oct-1925	1444
16-Mar-1930	1441
23-Mar-1930	1455
30-Mar-1930	1449
6-Apr-1930	1451
20-Apr-1930	1476
27-Apr-1930	1476
3-May-1930	1482
11-May-1930	1479
18-May-1930	1488
25-May-1930	1505
1-Jun-1930	1511
15-Jun-1930	1524
15-Jun-1930	1536
24-Aug-1930	1522
31-Aug-1930	1509
7-Sep-1930	1515
14-Sep-1930	1512
21-Sep-1930	1531
28-Sep-1930	1544
12-Oct-1930	1555
16-Nov-1930	1542
23-Nov-1930	1552
30-Nov-1930	1538
14-Dec-1930	1545
21-Dec-1930	1539
28-Dec-1930	1524
5-Apr-1931	1530
12-Apr-1931	1542
1-May-1931	1548
10-May-1931	1554
17-May-1931	1568
24-May-1931	1556
7-Jun-1931	1553
14-Jun-1931	1563
21-Jun-1931	1559
28-Jun-1931	1564
20-Sep-1931	1553
27-Sep-1931	1547
4-Oct-1931	1551
18-Oct-1931	1560
24-Oct-1931	1555
1-Nov-1931	1566
8-Nov-1931	1567
15-Nov-1931	1559
22-Nov-1931	1543
29-Nov-1931	1551
6-Dec-1931	1563
13-Dec-1931	1552
20-Dec-1931	1567
27-Dec-1931	1570
3-Jan-1932	1575
10-Jan-1932	1586
1-May-1932	1579
8-May-1932	1573
22-May-1932	1582
5-Jun-1932	1565
12-Jun-1932	1565
19-Jun-1932	1569
26-Jun-1932	1557
6-Nov-1932	1562
20-Nov-1932	1556
5-Dec-1932	1546
18-Dec-1932	1562
7-May-1933	1558
21-May-1933	1578
28-May-1933	1590
11-Jun-1933	1596
25-Jun-1933	1621
23-Jul-1933	1625
30-Jul-1933	1616
7-Sep-1933	1622
24-Sep-1933	1615
15-Oct-1933	1624
22-Oct-1933	1642
5-Nov-1933	1648
12-Nov-1933	1654
26-Nov-1933	1676
1-Apr-1934	1675
15-Apr-1934	1681
29-Apr-1934	1676
13-May-1934	1681
20-May-1934	1671
27-May-1934	1675
3-Jun-1934	1683
24-Jun-1934	1692
8-Jul-1934	1697
29-Jul-1934	1691
12-Aug-1934	1687
26-Aug-1934	1690
2-Sep-1934	1698
16-Sep-1934	1707
20-Mar-1938	1679
25-Sep-1938	1685
2-Oct-1938	1673
9-Oct-1938	1649
6-Nov-1938	1653
8-Jan-1939	1667
19-Mar-1939	1657
26-Mar-1939	1645
2-Apr-1939	1662
9-Apr-1939	1650
21-May-1939	1654
28-May-1939	1632
4-Jun-1939	1645
18-Jun-1939	1655
9-Jul-1939	1664
16-Jul-1939	1658
23-Jul-1939	1651
6-Aug-1939	1660
13-Aug-1939	1670
27-Aug-1939	1679
3-Sep-1939	1684
10-Sep-1939	1690
16-Sep-1939	1696
1-Oct-1939	1679
22-Oct-1939	1686
29-Oct-1939	1674
5-Nov-1939	1662
19-Nov-1939	1660
31-Dec-1939	1666
14-Jan-1940	1661
26-May-1940	1658
9-Jun-1940	1667
16-Jun-1940	1657
23-Jun-1940	1662
30-Jun-1940	1675
7-Jul-1940	1672
4-Aug-1940	1694
11-Aug-1940	1699
25-Aug-1940	1684
1-Sep-1940	1691
15-Sep-1940	1698
22-Sep-1940	1706
29-Sep-1940	1714
6-Oct-1940	1711
13-Oct-1940	1731
20-Oct-1940	1717
15-Nov-1940	1720
24-Nov-1940	1738
21-Dec-1940	1740
25-Dec-1940	1736
23-Mar-1941	1722
6-Apr-1941	1727
20-Apr-1941	1712
4-May-1941	1721
10-May-1941	1709
25-May-1941	1719
1-Jun-1941	1707
22-Jun-1941	1699
29-Jun-1941	1675
6-Jul-1941	1668
27-Jul-1941	1667
3-Aug-1941	1661
10-Aug-1941	1665
24-Aug-1941	1672
31-Aug-1941	1669
7-Sep-1941	1663
21-Sep-1941	1671
28-Sep-1941	1675
12-Oct-1941	1679
19-Oct-1941	1652
22-Mar-1942	1660
5-Apr-1942	1652
12-Apr-1942	1648
19-Apr-1942	1642
25-Apr-1942	1647
10-May-1942	1636
17-May-1942	1615
23-May-1942	1595
7-Jun-1942	1578
14-Jun-1942	1560
12-Jul-1942	1570
1-Aug-1942	1580
9-Aug-1942	1590
15-Aug-1942	1586
23-Aug-1942	1572
8-Sep-1942	1559
13-Sep-1942	1551
19-Sep-1942	1555
27-Sep-1942	1538
3-Oct-1942	1552
21-Mar-1943	1560
28-Mar-1943	1554
4-Apr-1943	1569
18-Apr-1943	1574
25-Apr-1943	1578
2-May-1943	1589
16-May-1943	1599
30-May-1943	1608
