date	rating
8-Jul-1962	1500
11-Jul-1962	1490
15-Jul-1962	1484
22-Jul-1962	1478
29-Jul-1962	1493
1-Aug-1962	1481
5-Aug-1962	1479
15-Aug-1962	1476
19-Aug-1962	1469
26-Aug-1962	1454
2-Sep-1962	1460
9-Sep-1962	1468
16-Sep-1962	1479
23-Sep-1962	1469
30-Sep-1962	1481
14-Oct-1962	1491
17-Oct-1962	1490
21-Oct-1962	1505
28-Oct-1962	1497
1-Nov-1962	1503
4-Nov-1962	1485
8-Nov-1962	1477
11-Nov-1962	1469
15-Nov-1962	1489
18-Nov-1962	1472
21-Nov-1962	1481
2-Dec-1962	1492
6-Dec-1962	1482
9-Dec-1962	1485
15-Dec-1962	1481
12-May-1963	1486
19-May-1963	1476
26-May-1963	1466
2-Jun-1963	1457
16-Jun-1963	1459
23-Jun-1963	1480
30-Jun-1963	1487
7-Jul-1963	1497
14-Jul-1963	1521
18-Jul-1963	1516
27-Jul-1963	1509
1-Sep-1963	1510
8-Sep-1963	1532
18-Sep-1963	1540
21-Sep-1963	1526
29-Sep-1963	1517
5-Oct-1963	1513
17-Oct-1963	1503
20-Oct-1963	1520
26-Oct-1963	1502
3-Nov-1963	1499
6-Nov-1963	1488
10-Nov-1963	1510
14-Nov-1963	1502
17-Nov-1963	1493
24-Nov-1963	1489
28-Nov-1963	1494
1-Dec-1963	1476
8-Dec-1963	1467
15-Dec-1963	1468
5-Jul-1964	1457
12-Jul-1964	1477
19-Jul-1964	1473
22-Jul-1964	1475
26-Jul-1964	1482
2-Aug-1964	1474
9-Aug-1964	1495
16-Aug-1964	1495
23-Aug-1964	1488
26-Aug-1964	1491
30-Aug-1964	1492
6-Sep-1964	1482
13-Sep-1964	1506
20-Sep-1964	1531
27-Sep-1964	1542
4-Oct-1964	1546
11-Oct-1964	1539
18-Oct-1964	1521
21-Oct-1964	1524
25-Oct-1964	1542
28-Oct-1964	1533
1-Nov-1964	1523
8-Nov-1964	1515
11-Nov-1964	1533
15-Nov-1964	1521
18-Nov-1964	1535
22-Nov-1964	1524
29-Nov-1964	1547
5-Dec-1964	1552
13-Dec-1964	1539
4-Jul-1965	1556
7-Jul-1965	1549
13-Jul-1965	1543
18-Jul-1965	1573
25-Jul-1965	1567
1-Aug-1965	1551
8-Aug-1965	1551
15-Aug-1965	1547
22-Aug-1965	1536
29-Aug-1965	1546
1-Sep-1965	1536
4-Sep-1965	1546
7-Sep-1965	1537
12-Sep-1965	1534
19-Sep-1965	1542
23-Sep-1965	1539
26-Sep-1965	1543
3-Oct-1965	1555
10-Oct-1965	1548
17-Oct-1965	1566
20-Oct-1965	1576
24-Oct-1965	1591
31-Oct-1965	1585
7-Nov-1965	1575
14-Nov-1965	1573
17-Nov-1965	1556
28-Nov-1965	1556
5-Dec-1965	1553
12-Dec-1965	1564
16-Dec-1965	1567
31-Jul-1966	1561
7-Aug-1966	1570
10-Aug-1966	1559
14-Aug-1966	1563
21-Aug-1966	1549
28-Aug-1966	1545
31-Aug-1966	1558
4-Sep-1966	1545
7-Sep-1966	1543
11-Sep-1966	1539
18-Sep-1966	1554
21-Sep-1966	1566
25-Sep-1966	1561
9-Oct-1966	1571
16-Oct-1966	1583
19-Oct-1966	1583
23-Oct-1966	1598
30-Oct-1966	1596
3-Nov-1966	1581
6-Nov-1966	1599
13-Nov-1966	1615
16-Nov-1966	1618
23-Nov-1966	1611
30-Nov-1966	1606
4-Dec-1966	1618
11-Dec-1966	1596
17-Dec-1966	1594
19-Dec-1966	1585
4-Jul-1967	1579
9-Jul-1967	1573
12-Jul-1967	1573
16-Jul-1967	1588
23-Jul-1967	1612
26-Jul-1967	1593
30-Jul-1967	1569
6-Aug-1967	1577
9-Aug-1967	1569
15-Aug-1967	1566
20-Aug-1967	1561
3-Sep-1967	1551
7-Sep-1967	1553
16-Sep-1967	1545
24-Sep-1967	1536
1-Oct-1967	1515
8-Oct-1967	1515
14-Oct-1967	1503
22-Oct-1967	1498
29-Oct-1967	1491
5-Nov-1967	1473
12-Nov-1967	1492
15-Nov-1967	1506
26-Nov-1967	1500
10-Dec-1967	1495
17-Dec-1967	1525
