date	rating
31-Jan-2015	1510
4-Feb-2015	1510
8-Feb-2015	1506
11-Feb-2015	1517
18-Feb-2015	1508
21-Feb-2015	1508
28-Feb-2015	1500
6-Mar-2015	1483
10-Mar-2015	1494
14-Mar-2015	1502
20-Mar-2015	1515
25-Mar-2015	1526
29-Mar-2015	1547
4-Apr-2015	1565
8-Apr-2015	1553
11-Apr-2015	1546
30-Jan-2016	1551
3-Feb-2016	1565
10-Feb-2016	1555
13-Feb-2016	1535
20-Feb-2016	1525
24-Feb-2016	1544
28-Feb-2016	1568
6-Mar-2016	1584
12-Mar-2016	1599
19-Mar-2016	1586
24-Mar-2016	1599
27-Mar-2016	1583
31-Mar-2016	1599
3-Apr-2016	1588
10-Apr-2016	1573
16-Apr-2016	1568
