date	rating
19-Jan-2008	1493
23-Jan-2008	1480
27-Jan-2008	1493
30-Jan-2008	1486
2-Feb-2008	1470
6-Feb-2008	1482
10-Feb-2008	1469
2-Mar-2008	1465
9-Mar-2008	1467
12-Mar-2008	1475
15-Mar-2008	1475
22-Mar-2008	1478
26-Mar-2008	1489
30-Mar-2008	1499
5-Apr-2008	1514
17-Jan-2010	1514
20-Jan-2010	1515
23-Jan-2010	1506
27-Jan-2010	1505
30-Jan-2010	1519
4-Feb-2010	1515
7-Feb-2010	1507
27-Feb-2010	1488
3-Mar-2010	1473
6-Mar-2010	1469
13-Mar-2010	1456
21-Mar-2010	1454
24-Mar-2010	1464
27-Mar-2010	1480
4-Apr-2010	1465
10-Apr-2010	1454
14-Apr-2010	1455
21-Apr-2010	1455
24-Apr-2010	1455
19-Jan-2011	1472
23-Jan-2011	1472
26-Jan-2011	1493
29-Jan-2011	1503
2-Feb-2011	1516
5-Feb-2011	1504
13-Feb-2011	1500
5-Mar-2011	1497
9-Mar-2011	1487
12-Mar-2011	1478
20-Mar-2011	1489
27-Mar-2011	1507
3-Apr-2011	1514
10-Apr-2011	1503
17-Apr-2011	1504
22-Jan-2012	1497
29-Jan-2012	1507
1-Feb-2012	1490
5-Feb-2012	1497
8-Feb-2012	1511
12-Feb-2012	1521
18-Feb-2012	1516
29-Feb-2012	1532
3-Mar-2012	1531
10-Mar-2012	1549
18-Mar-2012	1547
25-Mar-2012	1554
31-Mar-2012	1561
8-Apr-2012	1560
15-Apr-2012	1539
19-Jan-2013	1538
23-Jan-2013	1537
26-Jan-2013	1530
31-Jan-2013	1546
3-Feb-2013	1543
7-Feb-2013	1537
16-Feb-2013	1535
23-Feb-2013	1533
13-Mar-2013	1549
23-Mar-2013	1558
28-Mar-2013	1569
31-Mar-2013	1578
3-Apr-2013	1590
6-Apr-2013	1583
13-Apr-2013	1592
18-Apr-2013	1590
21-Apr-2013	1579
1-May-2013	1572
22-May-2013	1559
18-Jan-2014	1564
22-Jan-2014	1563
26-Jan-2014	1580
29-Jan-2014	1573
2-Feb-2014	1573
6-Feb-2014	1570
9-Feb-2014	1566
15-Feb-2014	1554
19-Feb-2014	1534
22-Feb-2014	1527
26-Feb-2014	1526
5-Mar-2014	1518
8-Mar-2014	1527
15-Mar-2014	1517
23-Mar-2014	1527
3-Apr-2014	1533
16-Apr-2014	1526
31-Jan-2015	1533
4-Feb-2015	1531
7-Feb-2015	1527
11-Feb-2015	1508
19-Feb-2015	1492
25-Feb-2015	1491
1-Mar-2015	1488
7-Mar-2015	1486
12-Mar-2015	1483
15-Mar-2015	1472
21-Mar-2015	1489
25-Mar-2015	1491
29-Mar-2015	1505
4-Apr-2015	1496
8-Apr-2015	1512
31-Jan-2016	1524
3-Feb-2016	1525
10-Feb-2016	1506
13-Feb-2016	1501
21-Feb-2016	1500
24-Feb-2016	1497
28-Feb-2016	1487
6-Mar-2016	1490
12-Mar-2016	1473
19-Mar-2016	1483
26-Mar-2016	1490
30-Mar-2016	1500
3-Apr-2016	1514
10-Apr-2016	1522
16-Apr-2016	1510
23-Apr-2016	1526
1-May-2016	1511
