date	rating
10-May-1908	1478
31-May-1908	1458
5-Jul-1908	1444
19-Jul-1908	1447
26-Jul-1908	1439
9-Aug-1908	1431
16-Aug-1908	1427
13-Sep-1908	1418
27-Sep-1908	1411
18-Oct-1908	1405
16-May-1909	1423
23-May-1909	1409
6-Jun-1909	1395
4-Jul-1909	1390
18-Jul-1909	1381
25-Jul-1909	1383
22-Aug-1909	1399
5-Sep-1909	1390
26-Sep-1909	1385
24-Oct-1909	1377
31-Oct-1909	1400
15-May-1910	1421
5-Jun-1910	1409
19-Jun-1910	1404
10-Jul-1910	1399
24-Jul-1910	1411
7-Aug-1910	1429
4-Sep-1910	1416
18-Sep-1910	1411
9-Oct-1910	1409
30-Oct-1910	1400
