date	rating
24-Jul-1991	1500
28-Jul-1991	1483
31-Jul-1991	1495
4-Aug-1991	1492
7-Aug-1991	1483
11-Aug-1991	1502
14-Aug-1991	1499
18-Aug-1991	1490
21-Aug-1991	1499
25-Aug-1991	1510
1-Sep-1991	1520
4-Sep-1991	1522
8-Sep-1991	1538
15-Sep-1991	1527
18-Sep-1991	1537
22-Sep-1991	1527
28-Sep-1991	1523
6-Oct-1991	1532
9-Oct-1991	1532
12-Oct-1991	1523
16-Oct-1991	1535
19-Oct-1991	1546
23-Oct-1991	1536
26-Oct-1991	1535
31-Oct-1991	1527
3-Nov-1991	1518
5-Jul-1992	1529
12-Jul-1992	1546
18-Jul-1992	1547
26-Jul-1992	1544
2-Aug-1992	1543
9-Aug-1992	1535
16-Aug-1992	1545
19-Aug-1992	1554
23-Aug-1992	1570
30-Aug-1992	1570
2-Sep-1992	1590
6-Sep-1992	1597
9-Sep-1992	1607
13-Sep-1992	1598
16-Sep-1992	1604
20-Sep-1992	1601
24-Sep-1992	1601
27-Sep-1992	1590
30-Sep-1992	1594
4-Oct-1992	1593
7-Oct-1992	1602
11-Oct-1992	1589
18-Oct-1992	1575
21-Oct-1992	1576
24-Oct-1992	1586
1-Nov-1992	1593
24-Jan-1993	1593
27-Jan-1993	1593
31-Jan-1993	1614
3-Feb-1993	1618
6-Feb-1993	1631
11-Feb-1993	1634
14-Feb-1993	1626
21-Feb-1993	1641
28-Feb-1993	1650
3-Mar-1993	1647
7-Mar-1993	1645
9-Mar-1993	1661
10-Mar-1993	1663
14-Mar-1993	1670
17-Mar-1993	1660
21-Mar-1993	1675
25-Mar-1993	1664
28-Mar-1993	1660
1-Apr-1993	1652
4-Apr-1993	1660
7-Apr-1993	1658
11-Apr-1993	1649
14-Apr-1993	1656
18-Apr-1993	1672
22-Apr-1993	1665
25-Apr-1993	1681
28-Apr-1993	1664
2-May-1993	1675
5-May-1993	1690
9-May-1993	1691
16-May-1993	1678
19-May-1993	1666
23-May-1993	1667
27-May-1993	1665
29-May-1993	1660
2-Jun-1993	1652
26-Jan-1994	1639
30-Jan-1994	1632
2-Feb-1994	1644
6-Feb-1994	1634
9-Feb-1994	1620
12-Feb-1994	1616
17-Feb-1994	1637
20-Feb-1994	1639
23-Feb-1994	1652
27-Feb-1994	1652
2-Mar-1994	1667
6-Mar-1994	1665
9-Mar-1994	1677
13-Mar-1994	1688
15-Mar-1994	1694
20-Mar-1994	1690
24-Mar-1994	1686
27-Mar-1994	1672
3-Apr-1994	1683
6-Apr-1994	1699
10-Apr-1994	1682
14-Apr-1994	1676
17-Apr-1994	1676
21-Apr-1994	1691
24-Apr-1994	1682
1-May-1994	1671
3-May-1994	1670
7-May-1994	1658
11-May-1994	1673
15-May-1994	1673
29-Jan-1995	1673
5-Feb-1995	1678
8-Feb-1995	1693
12-Feb-1995	1706
19-Feb-1995	1682
22-Feb-1995	1686
5-Mar-1995	1684
12-Mar-1995	1673
16-Mar-1995	1678
18-Mar-1995	1692
23-Mar-1995	1713
26-Mar-1995	1714
2-Apr-1995	1702
5-Apr-1995	1684
8-Apr-1995	1686
15-Apr-1995	1673
20-Apr-1995	1678
23-Apr-1995	1661
26-Apr-1995	1664
30-Apr-1995	1646
7-May-1995	1656
10-May-1995	1655
14-May-1995	1636
17-May-1995	1637
20-May-1995	1629
24-May-1995	1644
28-May-1995	1643
3-Jun-1995	1656
7-Jun-1995	1645
11-Jun-1995	1648
27-Jan-1996	1651
31-Jan-1996	1644
3-Feb-1996	1630
7-Feb-1996	1629
11-Feb-1996	1640
17-Feb-1996	1631
25-Feb-1996	1638
2-Mar-1996	1627
7-Mar-1996	1619
10-Mar-1996	1633
17-Mar-1996	1645
19-Mar-1996	1638
21-Mar-1996	1615
24-Mar-1996	1631
31-Mar-1996	1621
6-Apr-1996	1611
10-Apr-1996	1626
14-Apr-1996	1616
17-Apr-1996	1630
21-Apr-1996	1629
28-Apr-1996	1640
1-May-1996	1638
5-May-1996	1637
8-May-1996	1625
11-May-1996	1608
16-May-1996	1606
19-May-1996	1606
26-May-1996	1613
2-Jun-1996	1613
5-Jun-1996	1628
9-Feb-1997	1617
16-Feb-1997	1602
19-Feb-1997	1592
23-Feb-1997	1601
26-Feb-1997	1602
2-Mar-1997	1588
6-Mar-1997	1603
9-Mar-1997	1607
16-Mar-1997	1611
19-Mar-1997	1610
23-Mar-1997	1613
29-Mar-1997	1613
6-Apr-1997	1624
9-Apr-1997	1621
13-Apr-1997	1628
19-Apr-1997	1642
23-Apr-1997	1633
26-Apr-1997	1647
1-May-1997	1635
4-May-1997	1643
11-May-1997	1629
15-May-1997	1625
18-May-1997	1622
18-Jan-1998	1631
20-Jan-1998	1628
24-Jan-1998	1625
28-Jan-1998	1638
31-Jan-1998	1649
7-Feb-1998	1628
11-Feb-1998	1616
14-Feb-1998	1630
21-Feb-1998	1617
1-Mar-1998	1635
8-Mar-1998	1636
10-Mar-1998	1624
14-Mar-1998	1637
19-Mar-1998	1645
21-Mar-1998	1631
28-Mar-1998	1617
2-Apr-1998	1606
4-Apr-1998	1596
9-Apr-1998	1593
12-Apr-1998	1602
24-Jan-1999	1589
27-Jan-1999	1598
31-Jan-1999	1605
3-Feb-1999	1600
7-Feb-1999	1618
10-Feb-1999	1605
13-Feb-1999	1620
20-Feb-1999	1617
24-Feb-1999	1631
27-Feb-1999	1618
7-Mar-1999	1631
13-Mar-1999	1627
21-Mar-1999	1618
23-Mar-1999	1638
27-Mar-1999	1632
4-Apr-1999	1621
11-Apr-1999	1616
17-Apr-1999	1629
21-Apr-1999	1643
25-Apr-1999	1636
1-May-1999	1630
6-May-1999	1626
9-May-1999	1613
16-May-1999	1630
23-May-1999	1623
30-May-1999	1639
23-Jan-2000	1628
26-Jan-2000	1627
30-Jan-2000	1639
2-Feb-2000	1644
6-Feb-2000	1647
14-Feb-2000	1662
16-Feb-2000	1650
20-Feb-2000	1660
23-Feb-2000	1638
27-Feb-2000	1640
8-Mar-2000	1646
12-Mar-2000	1635
19-Mar-2000	1627
22-Mar-2000	1618
24-Mar-2000	1607
2-Apr-2000	1615
9-Apr-2000	1639
11-Apr-2000	1627
16-Apr-2000	1625
23-Apr-2000	1633
29-Apr-2000	1623
7-May-2000	1616
11-May-2000	1622
14-May-2000	1627
16-May-2000	1631
21-May-2000	1623
21-Jan-2001	1622
28-Jan-2001	1637
4-Feb-2001	1635
11-Feb-2001	1651
17-Feb-2001	1653
24-Feb-2001	1651
3-Mar-2001	1665
11-Mar-2001	1662
18-Mar-2001	1683
25-Mar-2001	1662
1-Apr-2001	1652
8-Apr-2001	1664
15-Apr-2001	1649
22-Apr-2001	1647
28-Apr-2001	1640
20-Jan-2002	1622
23-Jan-2002	1618
23-Jan-2002	1631
30-Jan-2002	1629
3-Feb-2002	1625
9-Feb-2002	1625
17-Feb-2002	1622
24-Feb-2002	1635
3-Mar-2002	1646
6-Mar-2002	1642
10-Mar-2002	1624
17-Mar-2002	1638
20-Mar-2002	1617
23-Mar-2002	1599
30-Mar-2002	1609
6-Apr-2002	1615
14-Apr-2002	1614
21-Apr-2002	1628
28-Apr-2002	1617
1-May-2002	1627
5-May-2002	1639
12-May-2002	1647
29-Jan-2003	1644
2-Feb-2003	1656
9-Feb-2003	1653
13-Feb-2003	1670
16-Feb-2003	1657
22-Feb-2003	1657
1-Mar-2003	1645
5-Mar-2003	1652
9-Mar-2003	1629
15-Mar-2003	1627
19-Mar-2003	1625
23-Mar-2003	1621
21-Jan-2004	1610
24-Jan-2004	1601
1-Feb-2004	1589
8-Feb-2004	1597
15-Feb-2004	1604
25-Feb-2004	1593
29-Feb-2004	1588
7-Mar-2004	1604
14-Mar-2004	1615
19-Jan-2005	1623
23-Jan-2005	1605
26-Jan-2005	1612
30-Jan-2005	1611
5-Feb-2005	1625
10-Feb-2005	1614
13-Feb-2005	1605
20-Feb-2005	1588
23-Feb-2005	1581
27-Feb-2005	1562
5-Mar-2005	1552
12-Mar-2005	1549
20-Mar-2005	1568
23-Mar-2005	1568
26-Mar-2005	1559
29-Mar-2005	1560
3-Apr-2005	1570
10-Apr-2005	1594
17-Apr-2005	1586
11-Jan-2006	1578
15-Jan-2006	1591
18-Jan-2006	1591
22-Jan-2006	1591
29-Jan-2006	1583
1-Feb-2006	1574
5-Feb-2006	1587
8-Feb-2006	1567
11-Feb-2006	1583
19-Feb-2006	1599
25-Feb-2006	1591
1-Mar-2006	1607
5-Mar-2006	1604
12-Mar-2006	1619
19-Mar-2006	1605
26-Mar-2006	1596
29-Mar-2006	1611
1-Apr-2006	1632
9-Apr-2006	1642
17-Jan-2007	1620
21-Jan-2007	1611
24-Jan-2007	1601
28-Jan-2007	1585
1-Feb-2007	1571
4-Feb-2007	1590
8-Feb-2007	1574
11-Feb-2007	1565
17-Feb-2007	1574
24-Feb-2007	1577
4-Mar-2007	1575
8-Mar-2007	1568
11-Mar-2007	1566
18-Mar-2007	1548
25-Mar-2007	1546
28-Mar-2007	1540
1-Apr-2007	1528
8-Apr-2007	1507
11-Apr-2007	1521
17-Jan-2010	1511
21-Jan-2010	1510
24-Jan-2010	1520
28-Jan-2010	1518
31-Jan-2010	1510
4-Feb-2010	1503
7-Feb-2010	1491
12-Feb-2010	1504
17-Feb-2010	1503
20-Feb-2010	1508
27-Feb-2010	1499
3-Mar-2010	1485
7-Mar-2010	1487
14-Mar-2010	1484
20-Mar-2010	1465
24-Mar-2010	1471
27-Mar-2010	1462
3-Apr-2010	1455
7-Apr-2010	1444
