date	rating
17-Jan-2007	1512
20-Jan-2007	1501
24-Jan-2007	1488
28-Jan-2007	1486
31-Jan-2007	1486
4-Feb-2007	1487
8-Feb-2007	1479
11-Feb-2007	1474
17-Feb-2007	1479
25-Feb-2007	1490
4-Mar-2007	1490
7-Mar-2007	1494
11-Mar-2007	1485
18-Mar-2007	1485
25-Mar-2007	1483
28-Mar-2007	1496
1-Apr-2007	1498
8-Apr-2007	1519
11-Apr-2007	1533
16-Jan-2008	1551
19-Jan-2008	1534
24-Jan-2008	1543
27-Jan-2008	1544
30-Jan-2008	1540
2-Feb-2008	1527
6-Feb-2008	1518
12-Feb-2008	1507
17-Feb-2008	1501
20-Feb-2008	1506
23-Feb-2008	1501
28-Feb-2008	1485
8-Mar-2008	1496
12-Mar-2008	1490
16-Mar-2008	1477
23-Mar-2008	1473
26-Mar-2008	1478
29-Mar-2008	1484
6-Apr-2008	1472
16-Jan-2010	1458
20-Jan-2010	1451
23-Jan-2010	1446
27-Jan-2010	1468
30-Jan-2010	1459
3-Feb-2010	1459
6-Feb-2010	1450
14-Feb-2010	1447
17-Feb-2010	1460
21-Feb-2010	1451
28-Feb-2010	1467
3-Mar-2010	1461
7-Mar-2010	1461
13-Mar-2010	1475
20-Mar-2010	1493
24-Mar-2010	1498
27-Mar-2010	1487
3-Apr-2010	1492
7-Apr-2010	1485
18-Jan-2014	1496
21-Jan-2014	1497
25-Jan-2014	1488
29-Jan-2014	1482
1-Feb-2014	1493
4-Feb-2014	1494
8-Feb-2014	1517
15-Feb-2014	1518
18-Feb-2014	1538
22-Feb-2014	1532
1-Mar-2014	1544
5-Mar-2014	1544
8-Mar-2014	1537
16-Mar-2014	1543
23-Mar-2014	1537
31-Jan-2015	1530
4-Feb-2015	1540
7-Feb-2015	1556
11-Feb-2015	1541
18-Feb-2015	1545
22-Feb-2015	1534
1-Mar-2015	1541
7-Mar-2015	1533
10-Mar-2015	1522
15-Mar-2015	1532
20-Mar-2015	1522
24-Mar-2015	1523
28-Mar-2015	1523
5-Apr-2015	1533
8-Apr-2015	1528
30-Jan-2016	1527
10-Feb-2016	1511
13-Feb-2016	1500
17-Feb-2016	1512
21-Feb-2016	1509
24-Feb-2016	1519
28-Feb-2016	1522
6-Mar-2016	1512
12-Mar-2016	1498
20-Mar-2016	1505
23-Mar-2016	1498
26-Mar-2016	1483
31-Mar-2016	1474
3-Apr-2016	1465
10-Apr-2016	1460
