date	rating
13-Jul-1966	1470
17-Jul-1966	1450
25-Aug-1973	1451
29-Aug-1973	1449
31-Aug-1973	1437
5-Sep-1973	1455
9-Sep-1973	1460
12-Sep-1973	1455
16-Sep-1973	1469
22-Sep-1973	1484
26-Sep-1973	1485
30-Sep-1973	1493
3-Oct-1973	1484
7-Oct-1973	1501
14-Oct-1973	1515
17-Oct-1973	1523
21-Oct-1973	1539
27-Oct-1973	1544
1-Nov-1973	1544
7-Nov-1973	1531
11-Nov-1973	1519
14-Nov-1973	1529
18-Nov-1973	1531
21-Nov-1973	1521
25-Nov-1973	1511
28-Nov-1973	1503
1-Dec-1973	1500
8-Dec-1973	1488
12-Dec-1973	1494
16-Dec-1973	1486
9-Mar-1974	1488
13-Mar-1974	1483
16-Mar-1974	1489
20-Mar-1974	1478
24-Mar-1974	1474
31-Mar-1974	1482
6-Apr-1974	1497
13-Apr-1974	1498
21-Apr-1974	1516
24-Apr-1974	1533
2-May-1974	1525
12-May-1974	1545
15-May-1974	1551
18-May-1974	1551
22-May-1974	1550
29-May-1974	1535
2-Jun-1974	1526
8-Jun-1974	1538
12-Jun-1974	1548
20-Aug-1975	1550
24-Aug-1975	1549
27-Aug-1975	1574
3-Sep-1975	1563
6-Sep-1975	1546
10-Sep-1975	1532
14-Sep-1975	1532
21-Sep-1975	1532
24-Sep-1975	1524
27-Sep-1975	1531
19-Oct-1975	1518
22-Oct-1975	1507
25-Oct-1975	1524
29-Oct-1975	1519
29-Aug-1976	1508
1-Sep-1976	1509
7-Sep-1976	1495
12-Sep-1976	1485
16-Sep-1976	1479
22-Sep-1976	1500
26-Sep-1976	1506
29-Sep-1976	1510
14-Oct-1976	1490
17-Oct-1976	1503
20-Oct-1976	1508
23-Oct-1976	1507
30-Sep-1979	1482
3-Oct-1979	1468
6-Oct-1979	1458
13-Oct-1979	1457
17-Oct-1979	1435
20-Oct-1979	1414
24-Oct-1979	1394
28-Oct-1979	1386
4-Nov-1979	1400
26-Jan-1983	1414
30-Jan-1983	1408
2-Feb-1983	1418
6-Feb-1983	1418
9-Feb-1983	1407
19-Feb-1983	1402
23-Feb-1983	1415
6-Mar-1983	1393
13-Mar-1983	1401
16-Mar-1983	1391
19-Mar-1983	1411
26-Mar-1983	1404
30-Mar-1983	1396
3-Apr-1983	1387
22-Jul-1989	1386
22-Jun-1990	1377
27-Jun-1990	1394
11-Jul-1990	1391
15-Jul-1990	1388
9-Feb-1991	1397
21-Feb-1991	1389
22-Mar-2000	1391
30-Mar-2000	1393
6-Feb-2002	1387
13-Feb-2002	1379
18-Feb-2004	1371
3-Mar-2004	1364
