date	rating
15-Oct-1977	1526
19-Oct-1977	1533
27-Oct-1977	1519
30-Oct-1977	1498
2-Nov-1977	1490
9-Nov-1977	1503
16-Nov-1977	1509
20-Nov-1977	1505
23-Nov-1977	1497
27-Nov-1977	1495
4-Dec-1977	1505
8-Dec-1977	1520
11-Dec-1977	1517
15-Dec-1977	1494
18-Dec-1977	1473
26-Mar-1978	1472
2-Apr-1978	1467
6-Apr-1978	1461
9-Apr-1978	1443
12-Apr-1978	1426
16-Apr-1978	1425
20-Apr-1978	1441
23-Apr-1978	1440
4-May-1978	1428
11-May-1978	1423
14-May-1978	1440
21-May-1978	1425
24-May-1978	1416
4-Jun-1978	1408
17-Jun-1978	1388
24-Jun-1978	1408
16-Sep-1979	1420
30-Sep-1979	1410
6-Oct-1979	1411
10-Oct-1979	1401
14-Oct-1979	1390
20-Oct-1979	1379
27-Oct-1979	1372
31-Oct-1979	1402
4-Nov-1979	1405
18-Jan-1981	1388
21-Jan-1981	1391
25-Jan-1981	1383
28-Jan-1981	1379
1-Feb-1981	1386
4-Feb-1981	1408
7-Feb-1981	1441
14-Feb-1981	1421
26-Feb-1981	1412
20-Jan-1982	1401
24-Jan-1982	1397
28-Jan-1982	1392
31-Jan-1982	1381
4-Feb-1982	1375
7-Feb-1982	1370
10-Feb-1982	1360
17-Feb-1982	1354
22-Jun-1990	1361
27-Jun-1990	1355
25-Feb-1997	1366
11-Mar-1997	1364
16-Mar-2000	1374
5-Apr-2000	1371
14-Mar-2001	1368
6-Feb-2002	1365
13-Feb-2002	1361
19-Feb-2003	1373
12-Mar-2003	1352
16-Feb-2005	1361
3-Mar-2005	1355
27-Feb-2008	1348
5-Mar-2008	1374
2-Apr-2008	1397
9-Apr-2008	1393
