date	rating
19-Feb-1971	1493
23-Feb-1971	1510
26-Feb-1971	1494
16-Mar-1971	1494
25-Mar-1971	1528
16-Feb-1972	1531
22-Feb-1972	1530
24-Feb-1972	1543
9-Mar-1972	1526
21-Mar-1972	1545
23-Mar-1972	1563
28-Feb-1974	1575
12-Mar-1974	1597
19-Mar-1974	1607
21-Mar-1974	1623
26-Mar-1974	1605
2-Apr-1974	1624
11-Apr-1974	1593
28-Feb-1975	1590
7-Mar-1975	1607
14-Mar-1975	1606
21-Mar-1975	1602
4-Apr-1975	1623
9-Apr-1975	1621
11-Apr-1975	1639
6-May-1975	1669
21-May-1975	1654
30-May-1975	1634
3-Jun-1975	1668
18-Mar-1981	1655
31-Mar-1981	1638
3-Apr-1981	1647
22-Apr-1981	1663
24-Apr-1981	1679
19-May-1981	1665
18-Jul-1987	1674
22-Jul-1987	1665
1-Aug-1987	1668
5-Aug-1987	1675
8-Aug-1987	1682
16-Aug-1987	1664
22-Feb-2000	1681
7-Mar-2000	1660
14-Mar-2000	1673
23-Mar-2000	1668
4-Apr-2000	1646
4-Apr-2000	1650
19-Apr-2000	1644
3-May-2000	1667
9-May-2000	1658
7-Feb-2001	1630
21-Feb-2001	1648
8-Mar-2001	1676
20-Mar-2001	1667
4-Apr-2001	1680
19-Apr-2001	1702
8-May-2001	1713
15-May-2001	1708
22-May-2001	1724
29-May-2001	1709
7-Jun-2001	1683
14-Jun-2001	1682
5-Feb-2004	1703
26-Feb-2004	1696
4-Mar-2004	1716
10-Mar-2004	1689
23-Mar-2004	1651
13-Apr-2004	1665
6-May-2004	1686
12-May-2004	1675
9-Feb-2006	1659
23-Feb-2006	1638
15-Mar-2006	1644
23-Mar-2006	1650
6-Apr-2006	1674
13-Apr-2006	1659
