date	rating
9-Sep-1962	1486
16-Sep-1962	1486
7-Aug-1963	1507
14-Aug-1963	1486
16-Aug-1963	1473
18-Jul-1965	1495
25-Jul-1965	1517
8-Aug-1965	1496
15-Aug-1965	1511
18-Aug-1965	1512
17-Jul-1966	1507
24-Jul-1966	1516
10-Mar-1974	1508
13-Mar-1974	1512
17-Mar-1974	1527
20-Mar-1974	1551
23-Mar-1974	1561
30-Mar-1974	1549
6-Apr-1974	1557
20-Apr-1974	1539
27-Apr-1974	1531
4-May-1974	1531
8-May-1974	1517
11-May-1974	1522
16-May-1974	1504
18-May-1974	1533
22-May-1974	1516
25-May-1974	1501
2-Jun-1974	1494
9-Jun-1974	1479
12-Jun-1974	1468
29-Aug-1976	1470
1-Sep-1976	1462
7-Sep-1976	1455
12-Sep-1976	1433
16-Sep-1976	1427
19-Sep-1976	1431
22-Sep-1976	1420
26-Sep-1976	1421
13-Oct-1976	1440
17-Oct-1976	1424
20-Oct-1976	1447
23-Oct-1976	1431
16-Oct-1977	1441
19-Oct-1977	1450
26-Oct-1977	1469
30-Oct-1977	1487
2-Nov-1977	1477
6-Nov-1977	1454
10-Nov-1977	1447
13-Nov-1977	1439
24-Nov-1977	1442
27-Nov-1977	1444
4-Dec-1977	1433
8-Dec-1977	1435
11-Dec-1977	1439
14-Dec-1977	1461
15-Dec-1977	1446
26-Mar-1978	1447
29-Mar-1978	1439
2-Apr-1978	1416
13-Apr-1978	1402
20-Apr-1978	1394
23-Apr-1978	1410
27-Apr-1978	1404
30-Apr-1978	1396
3-May-1978	1406
7-May-1978	1418
14-May-1978	1423
21-May-1978	1408
4-Jun-1978	1408
13-Jun-1978	1388
17-Jun-1978	1408
24-Jun-1978	1413
23-Sep-1979	1419
27-Sep-1979	1401
4-Oct-1979	1426
6-Oct-1979	1426
10-Oct-1979	1416
17-Oct-1979	1402
28-Oct-1979	1415
1-Nov-1979	1396
4-Nov-1979	1385
18-Jan-1981	1399
22-Jan-1981	1408
25-Jan-1981	1417
28-Jan-1981	1414
31-Jan-1981	1417
4-Feb-1981	1413
7-Feb-1981	1393
14-Feb-1981	1376
21-Feb-1981	1360
27-Jan-1985	1353
30-Jan-1985	1348
3-Feb-1985	1350
6-Feb-1985	1356
10-Feb-1985	1362
13-Feb-1985	1351
24-Feb-1985	1373
27-Feb-1985	1376
3-Mar-1985	1380
6-Mar-1985	1371
10-Mar-1985	1378
17-Mar-1985	1371
20-Mar-1985	1367
24-Mar-1985	1341
27-Mar-1985	1332
31-Mar-1985	1324
3-Apr-1985	1329
7-Apr-1985	1313
10-Apr-1985	1306
14-Apr-1985	1313
17-Apr-1985	1330
21-Apr-1985	1324
31-Aug-1986	1322
2-Sep-1986	1315
7-Sep-1986	1337
10-Sep-1986	1347
17-Sep-1986	1357
21-Sep-1986	1365
24-Sep-1986	1360
27-Sep-1986	1357
1-Oct-1986	1349
5-Oct-1986	1352
19-Jul-1989	1375
23-Jul-1989	1371
21-Feb-1991	1369
28-Feb-1991	1365
14-Jul-1992	1363
21-Jul-1992	1359
9-Mar-1993	1356
19-Mar-1993	1355
20-Jan-1998	1366
5-Feb-1998	1361
3-Mar-1999	1357
22-Mar-2000	1364
30-Mar-2000	1371
12-Apr-2000	1364
27-Apr-2000	1370
15-Mar-2001	1355
6-Feb-2002	1378
20-Feb-2002	1373
5-Feb-2003	1370
18-Feb-2004	1374
3-Mar-2004	1404
17-Mar-2004	1424
24-Mar-2004	1416
2-Feb-2005	1425
16-Feb-2005	1419
14-Feb-2007	1409
18-Feb-2009	1430
4-Mar-2009	1425
10-Feb-2010	1427
25-Feb-2010	1442
17-Mar-2010	1451
1-Apr-2010	1444
10-Apr-2013	1458
17-Apr-2013	1446
12-Mar-2014	1447
9-Apr-2014	1467
7-May-2014	1486
14-May-2014	1477
