date	rating
8-Mar-1992	1489
17-Mar-1992	1478
24-Mar-1992	1467
2-Apr-1992	1453
7-Apr-1992	1464
10-Apr-1992	1442
25-Feb-1993	1429
5-Mar-1993	1414
12-Mar-1993	1407
17-Mar-1993	1432
23-Mar-1993	1425
26-Mar-1993	1411
13-Mar-1996	1426
22-Mar-1996	1451
3-Apr-1996	1419
9-Apr-1996	1450
16-Apr-1996	1439
19-Apr-1996	1431
1-May-1996	1453
8-May-1996	1443
19-Feb-2008	1433
28-Feb-2008	1440
19-Mar-2008	1465
1-Apr-2008	1452
8-Apr-2008	1440
16-Apr-2008	1428
20-Feb-2013	1439
27-Feb-2013	1417
5-Mar-2013	1409
14-Mar-2013	1443
3-Apr-2013	1448
10-Apr-2013	1441
