date	rating
25-Feb-1973	1484
28-Feb-1973	1510
13-Mar-1973	1530
20-Mar-1973	1555
22-Mar-1973	1577
27-Mar-1973	1609
11-Apr-1973	1605
24-Apr-1973	1623
5-May-1973	1625
9-May-1973	1613
6-Jul-1988	1609
13-Jul-1988	1581
16-Jul-1988	1592
21-Jul-1988	1589
27-Jul-1988	1603
2-Aug-1988	1616
7-Aug-1988	1599
7-Sep-1988	1605
14-Sep-1988	1627
21-Sep-1988	1631
28-Sep-1988	1650
5-Oct-1988	1632
12-Oct-1988	1616
26-Feb-1992	1647
3-Mar-1992	1665
6-Mar-1992	1679
13-Mar-1992	1641
25-Mar-1992	1626
31-Mar-1992	1612
3-Apr-1992	1621
7-Apr-1992	1620
29-Apr-1992	1635
5-May-1992	1604
13-May-1992	1579
20-May-1992	1583
13-Mar-1996	1589
18-Mar-1996	1584
21-Mar-1996	1577
3-Apr-1996	1583
9-Apr-1996	1601
16-Apr-1996	1615
2-May-1996	1630
8-May-1996	1656
15-May-1996	1644
22-May-1996	1649
22-Feb-2000	1665
2-Mar-2000	1636
7-Mar-2000	1635
16-Mar-2000	1630
21-Mar-2000	1652
6-Apr-2000	1627
7-Feb-2001	1595
1-Mar-2001	1606
13-Mar-2001	1590
3-Apr-2001	1606
17-Apr-2001	1586
3-May-2001	1588
5-Feb-2002	1569
26-Feb-2002	1586
6-Mar-2002	1572
12-Mar-2002	1593
19-Mar-2002	1566
9-Apr-2002	1547
24-Feb-2005	1552
9-Mar-2005	1549
23-Mar-2005	1536
5-Apr-2005	1539
26-Apr-2005	1515
5-May-2005	1506
12-Feb-2008	1481
21-Feb-2008	1492
11-Mar-2008	1507
25-Mar-2008	1521
3-Apr-2008	1512
16-Apr-2008	1536
30-Apr-2008	1557
8-May-2008	1561
15-May-2008	1566
22-May-2008	1570
11-Feb-2009	1591
19-Feb-2009	1569
5-Mar-2009	1551
18-Mar-2009	1540
8-Apr-2009	1513
28-Apr-2009	1533
