date	rating
16-Nov-1960	1502
23-Nov-1960	1491
7-Sep-1969	1496
14-Sep-1969	1490
17-Sep-1969	1510
21-Sep-1969	1517
28-Sep-1969	1507
1-Oct-1969	1501
12-Oct-1969	1506
15-Oct-1969	1512
19-Oct-1969	1542
29-Oct-1969	1546
1-Nov-1969	1565
12-Nov-1969	1556
16-Nov-1969	1563
19-Nov-1969	1552
23-Nov-1969	1566
26-Nov-1969	1556
20-Sep-1970	1559
27-Sep-1970	1565
4-Oct-1970	1563
7-Oct-1970	1551
14-Oct-1970	1554
18-Oct-1970	1549
21-Oct-1970	1569
25-Oct-1970	1552
28-Oct-1970	1560
31-Oct-1970	1545
4-Nov-1970	1551
14-Nov-1970	1567
25-Nov-1970	1573
29-Nov-1970	1568
2-Dec-1970	1574
6-Dec-1970	1592
7-Aug-1971	1580
12-Aug-1971	1591
15-Aug-1971	1591
22-Aug-1971	1578
25-Aug-1971	1585
29-Aug-1971	1592
1-Sep-1971	1612
8-Sep-1971	1627
11-Sep-1971	1632
19-Sep-1971	1637
25-Sep-1971	1642
3-Oct-1971	1622
6-Oct-1971	1627
9-Oct-1971	1622
17-Oct-1971	1625
24-Oct-1971	1622
30-Oct-1971	1609
7-Nov-1971	1602
14-Nov-1971	1605
10-Sep-1972	1604
13-Sep-1972	1619
17-Sep-1972	1621
20-Sep-1972	1616
23-Sep-1972	1605
28-Sep-1972	1628
1-Oct-1972	1647
5-Oct-1972	1650
8-Oct-1972	1640
11-Oct-1972	1631
15-Oct-1972	1632
18-Oct-1972	1642
22-Oct-1972	1615
25-Oct-1972	1618
29-Oct-1972	1610
1-Nov-1972	1605
5-Nov-1972	1621
8-Nov-1972	1634
12-Nov-1972	1606
16-Nov-1972	1605
19-Nov-1972	1593
22-Nov-1972	1587
26-Nov-1972	1588
30-Nov-1972	1580
3-Dec-1972	1606
9-Dec-1972	1595
13-Dec-1972	1577
17-Dec-1972	1595
26-Aug-1973	1579
29-Aug-1973	1580
2-Sep-1973	1605
5-Sep-1973	1587
9-Sep-1973	1587
13-Sep-1973	1600
16-Sep-1973	1598
23-Sep-1973	1610
26-Sep-1973	1619
27-Sep-1973	1618
3-Oct-1973	1605
7-Oct-1973	1622
14-Oct-1973	1593
17-Oct-1973	1589
21-Oct-1973	1593
27-Oct-1973	1587
31-Oct-1973	1584
4-Nov-1973	1580
7-Nov-1973	1559
10-Nov-1973	1579
14-Nov-1973	1580
17-Nov-1973	1575
25-Nov-1973	1574
28-Nov-1973	1593
2-Dec-1973	1604
8-Dec-1973	1576
12-Dec-1973	1573
16-Dec-1973	1583
13-Jan-1974	1589
16-Jan-1974	1574
19-Jan-1974	1579
24-Jan-1974	1569
26-Jan-1974	1562
30-Jan-1974	1577
2-Feb-1974	1590
6-Feb-1974	1582
10-Feb-1974	1598
9-Mar-1974	1594
14-Mar-1974	1592
17-Mar-1974	1582
21-Mar-1974	1596
23-Mar-1974	1603
27-Mar-1974	1615
30-Mar-1974	1612
3-Apr-1974	1601
13-Apr-1974	1602
20-Apr-1974	1587
27-Apr-1974	1577
4-May-1974	1551
12-May-1974	1531
18-May-1974	1533
25-May-1974	1538
2-Jun-1974	1544
5-Jun-1974	1522
8-Jun-1974	1525
12-Jun-1974	1532
24-Aug-1975	1528
28-Aug-1975	1536
3-Sep-1975	1540
10-Sep-1975	1535
14-Sep-1975	1555
17-Sep-1975	1540
21-Sep-1975	1542
24-Sep-1975	1559
28-Sep-1975	1560
1-Oct-1975	1558
5-Oct-1975	1567
9-Oct-1975	1574
12-Oct-1975	1591
15-Oct-1975	1605
19-Oct-1975	1607
23-Oct-1975	1630
26-Oct-1975	1645
30-Oct-1975	1637
1-Nov-1975	1635
5-Nov-1975	1634
8-Nov-1975	1658
12-Nov-1975	1676
16-Nov-1975	1690
20-Nov-1975	1691
23-Nov-1975	1707
26-Nov-1975	1698
30-Nov-1975	1715
4-Dec-1975	1737
7-Dec-1975	1727
29-Aug-1976	1720
1-Sep-1976	1728
4-Sep-1976	1712
7-Sep-1976	1727
15-Sep-1976	1719
19-Sep-1976	1726
22-Sep-1976	1734
29-Sep-1976	1741
9-Oct-1976	1715
13-Oct-1976	1715
17-Oct-1976	1725
20-Oct-1976	1740
24-Oct-1976	1723
31-Oct-1976	1727
4-Nov-1976	1733
7-Nov-1976	1720
10-Nov-1976	1700
14-Nov-1976	1680
17-Nov-1976	1677
24-Nov-1976	1694
28-Nov-1976	1684
23-Oct-1977	1679
30-Oct-1977	1691
2-Nov-1977	1701
6-Nov-1977	1696
10-Nov-1977	1692
13-Nov-1977	1681
16-Nov-1977	1686
20-Nov-1977	1695
27-Nov-1977	1685
4-Dec-1977	1675
7-Dec-1977	1687
14-Dec-1977	1696
18-Dec-1977	1710
29-Jan-1978	1708
1-Feb-1978	1706
12-Feb-1978	1714
18-Feb-1978	1737
23-Feb-1978	1748
26-Mar-1978	1754
29-Mar-1978	1746
2-Apr-1978	1776
6-Apr-1978	1769
9-Apr-1978	1768
12-Apr-1978	1773
16-Apr-1978	1778
20-Apr-1978	1782
23-Apr-1978	1789
27-Apr-1978	1796
30-Apr-1978	1787
7-May-1978	1792
21-May-1978	1799
24-May-1978	1792
28-May-1978	1791
31-May-1978	1784
7-Jun-1978	1794
10-Jun-1978	1803
20-Jun-1978	1811
24-Jun-1978	1819
2-Jul-1978	1833
6-Jul-1978	1829
9-Jul-1978	1825
13-Jul-1978	1828
16-Jul-1978	1824
20-Jul-1978	1829
23-Jul-1978	1824
26-Sep-1979	1811
30-Sep-1979	1806
13-Oct-1979	1809
17-Oct-1979	1797
21-Oct-1979	1779
25-Oct-1979	1788
28-Oct-1979	1805
31-Oct-1979	1796
4-Nov-1979	1787
7-Nov-1979	1794
11-Nov-1979	1802
15-Nov-1979	1767
18-Nov-1979	1777
21-Nov-1979	1757
25-Nov-1979	1762
28-Nov-1979	1744
24-Feb-1980	1748
27-Feb-1980	1756
2-Mar-1980	1747
6-Mar-1980	1749
9-Mar-1980	1757
16-Mar-1980	1742
19-Mar-1980	1734
23-Mar-1980	1745
30-Mar-1980	1722
6-Apr-1980	1727
13-Apr-1980	1719
16-Apr-1980	1707
21-Apr-1980	1700
