date	rating
19-Feb-1967	1522
29-Mar-1967	1506
2-Apr-1967	1511
18-Apr-1967	1493
20-Apr-1967	1474
24-Apr-1967	1447
28-Apr-1967	1448
7-May-1967	1471
10-May-1967	1455
14-May-1967	1485
16-Feb-1972	1486
22-Feb-1972	1488
24-Feb-1972	1473
9-Mar-1972	1488
21-Mar-1972	1475
23-Mar-1972	1457
4-Mar-1976	1461
7-Mar-1976	1463
11-Mar-1976	1447
25-Mar-1976	1468
4-Apr-1976	1440
7-Apr-1976	1427
12-Mar-1980	1411
16-Mar-1980	1438
19-Mar-1980	1436
26-Mar-1980	1425
30-Mar-1980	1410
2-Apr-1980	1429
27-Jan-2006	1432
3-Feb-2006	1435
10-Feb-2006	1454
15-Feb-2006	1461
9-Mar-2006	1495
21-Mar-2006	1486
28-Mar-2006	1475
13-Apr-2006	1493
26-Apr-2006	1480
2-May-2006	1516
14-Feb-2013	1515
21-Feb-2013	1518
7-Mar-2013	1536
2-Apr-2013	1552
9-Apr-2013	1569
16-Apr-2013	1590
1-May-2013	1583
16-May-2013	1607
22-May-2013	1624
28-May-2013	1640
2-Jul-2013	1621
9-Jul-2013	1639
