date	rating
6-Jul-1982	1496
9-Jul-1982	1501
14-Jul-1982	1496
18-Jul-1982	1497
21-Jul-1982	1488
25-Jul-1982	1511
28-Jul-1982	1522
1-Aug-1982	1512
4-Aug-1982	1513
8-Aug-1982	1505
15-Aug-1982	1517
22-Aug-1982	1505
25-Aug-1982	1497
29-Aug-1982	1501
5-Sep-1982	1503
8-Sep-1982	1509
12-Sep-1982	1518
15-Sep-1982	1512
22-Sep-1982	1516
26-Sep-1982	1529
29-Sep-1982	1530
3-Oct-1982	1553
6-Oct-1982	1535
10-Oct-1982	1527
16-Oct-1982	1516
20-Oct-1982	1530
24-Oct-1982	1531
27-Oct-1982	1522
31-Oct-1982	1527
3-Nov-1982	1529
7-Nov-1982	1523
10-Nov-1982	1524
13-Nov-1982	1523
20-Nov-1982	1533
25-Nov-1982	1530
27-Nov-1982	1521
2-Dec-1982	1523
5-Dec-1982	1515
15-May-1983	1527
18-May-1983	1517
21-May-1983	1523
25-May-1983	1519
29-May-1983	1519
11-Jun-1983	1510
15-Jun-1983	1517
19-Jun-1983	1529
26-Jun-1983	1542
29-Jun-1983	1535
3-Jul-1983	1546
10-Jul-1983	1546
16-Jul-1983	1546
19-Jul-1983	1550
23-Jul-1983	1562
31-Jul-1983	1551
3-Aug-1983	1563
7-Aug-1983	1574
10-Aug-1983	1585
14-Aug-1983	1580
21-Aug-1983	1581
28-Aug-1983	1599
3-Sep-1983	1613
7-Sep-1983	1621
10-Sep-1983	1625
21-Sep-1983	1623
25-Sep-1983	1622
1-Oct-1983	1620
5-Oct-1983	1629
9-Oct-1983	1637
12-Oct-1983	1658
16-Oct-1983	1657
19-Oct-1983	1656
26-Oct-1983	1655
30-Oct-1983	1654
1-Nov-1983	1651
3-Nov-1983	1632
6-Nov-1983	1631
12-Nov-1983	1625
15-Nov-1983	1617
20-Nov-1983	1608
23-Nov-1983	1611
27-Nov-1983	1602
30-Nov-1983	1597
29-Jan-1984	1606
1-Feb-1984	1625
8-Feb-1984	1642
12-Feb-1984	1629
15-Feb-1984	1635
19-Feb-1984	1630
26-Feb-1984	1645
29-Feb-1984	1659
11-Mar-1984	1649
14-Mar-1984	1636
18-Mar-1984	1647
21-Mar-1984	1646
25-Mar-1984	1656
1-Apr-1984	1678
7-Apr-1984	1667
11-Apr-1984	1668
15-Apr-1984	1669
18-Apr-1984	1669
22-Apr-1984	1657
25-Apr-1984	1661
1-Jul-1984	1649
8-Jul-1984	1647
15-Jul-1984	1645
18-Jul-1984	1634
