date	rating
12-May-1963	1492
19-May-1963	1502
9-Jun-1963	1514
16-Jun-1963	1525
30-Jun-1963	1520
7-Jul-1963	1535
14-Jul-1963	1532
21-Jul-1963	1537
28-Jul-1963	1547
4-Aug-1963	1572
15-Aug-1963	1581
1-Sep-1963	1575
15-Sep-1963	1573
22-Sep-1963	1582
25-Sep-1963	1569
29-Sep-1963	1559
3-Oct-1963	1561
12-Oct-1963	1552
20-Oct-1963	1535
22-Oct-1963	1552
27-Oct-1963	1566
30-Oct-1963	1583
6-Nov-1963	1583
10-Nov-1963	1572
17-Nov-1963	1590
27-Nov-1963	1561
1-Dec-1963	1568
4-Dec-1963	1578
8-Dec-1963	1565
11-Dec-1963	1565
5-Jul-1964	1567
12-Jul-1964	1548
19-Jul-1964	1536
26-Jul-1964	1549
29-Jul-1964	1555
2-Aug-1964	1564
8-Aug-1964	1580
16-Aug-1964	1581
23-Aug-1964	1568
30-Aug-1964	1565
6-Sep-1964	1581
13-Sep-1964	1600
20-Sep-1964	1607
23-Sep-1964	1612
26-Sep-1964	1612
4-Oct-1964	1602
11-Oct-1964	1590
18-Oct-1964	1608
21-Oct-1964	1623
25-Oct-1964	1620
28-Oct-1964	1612
31-Oct-1964	1614
8-Nov-1964	1616
11-Nov-1964	1606
15-Nov-1964	1616
22-Nov-1964	1596
29-Nov-1964	1585
6-Dec-1964	1582
9-Dec-1964	1573
12-Dec-1964	1556
4-Jul-1965	1559
13-Jul-1965	1547
18-Jul-1965	1557
25-Jul-1965	1536
1-Aug-1965	1521
8-Aug-1965	1537
18-Aug-1965	1532
22-Aug-1965	1543
26-Aug-1965	1540
29-Aug-1965	1558
1-Sep-1965	1562
5-Sep-1965	1560
11-Sep-1965	1551
15-Sep-1965	1545
19-Sep-1965	1555
22-Sep-1965	1565
26-Sep-1965	1557
3-Oct-1965	1557
7-Oct-1965	1553
17-Oct-1965	1570
20-Oct-1965	1585
24-Oct-1965	1564
31-Oct-1965	1565
7-Nov-1965	1576
14-Nov-1965	1587
20-Nov-1965	1573
28-Nov-1965	1576
30-Nov-1965	1596
9-Dec-1965	1589
15-Dec-1965	1598
7-Aug-1966	1605
10-Aug-1966	1595
17-Aug-1966	1623
21-Aug-1966	1614
28-Aug-1966	1623
4-Sep-1966	1605
11-Sep-1966	1601
14-Sep-1966	1610
21-Sep-1966	1598
25-Sep-1966	1583
28-Sep-1966	1572
2-Oct-1966	1578
5-Oct-1966	1569
9-Oct-1966	1584
13-Oct-1966	1577
16-Oct-1966	1584
19-Oct-1966	1584
26-Oct-1966	1599
30-Oct-1966	1600
3-Nov-1966	1608
6-Nov-1966	1604
9-Nov-1966	1618
12-Nov-1966	1615
16-Nov-1966	1603
20-Nov-1966	1586
7-Dec-1966	1567
10-Dec-1966	1570
14-Dec-1966	1573
9-Jul-1967	1568
12-Jul-1967	1568
16-Jul-1967	1561
30-Jul-1967	1559
6-Aug-1967	1551
9-Aug-1967	1530
13-Aug-1967	1541
20-Aug-1967	1560
27-Aug-1967	1580
30-Aug-1967	1576
3-Sep-1967	1571
7-Sep-1967	1581
10-Sep-1967	1580
13-Sep-1967	1579
20-Sep-1967	1593
24-Sep-1967	1600
1-Oct-1967	1589
15-Oct-1967	1595
29-Oct-1967	1600
5-Nov-1967	1579
12-Nov-1967	1559
15-Nov-1967	1555
19-Nov-1967	1562
26-Nov-1967	1547
29-Nov-1967	1547
17-Dec-1967	1537
28-Jan-1968	1562
7-Feb-1968	1562
11-Feb-1968	1556
14-Feb-1968	1551
18-Feb-1968	1541
21-Feb-1968	1542
3-Mar-1968	1552
7-Mar-1968	1548
10-Mar-1968	1560
17-Mar-1968	1571
31-Mar-1968	1580
3-Apr-1968	1579
7-Apr-1968	1568
10-Apr-1968	1584
14-Apr-1968	1577
18-Apr-1968	1575
21-Apr-1968	1580
28-Apr-1968	1592
1-May-1968	1581
5-May-1968	1591
11-May-1968	1599
15-May-1968	1574
22-May-1968	1575
26-May-1968	1585
2-Jun-1968	1569
8-Jun-1968	1582
26-Jan-1969	1593
2-Feb-1969	1593
5-Feb-1969	1601
9-Feb-1969	1593
12-Feb-1969	1585
22-Feb-1969	1575
26-Feb-1969	1564
2-Mar-1969	1579
12-Mar-1969	1576
16-Mar-1969	1575
19-Mar-1969	1570
23-Mar-1969	1585
26-Mar-1969	1561
20-Apr-1969	1548
27-Apr-1969	1555
4-May-1969	1547
11-May-1969	1539
18-May-1969	1546
25-May-1969	1528
28-May-1969	1545
1-Jun-1969	1529
4-Jun-1969	1548
8-Jun-1969	1550
15-Jun-1969	1549
5-Jul-1969	1532
9-Jul-1969	1532
28-Jun-1970	1527
5-Jul-1970	1527
12-Jul-1970	1522
15-Jul-1970	1518
19-Jul-1970	1515
22-Jul-1970	1508
26-Jul-1970	1521
30-Jul-1970	1524
2-Aug-1970	1512
5-Aug-1970	1501
9-Aug-1970	1505
12-Aug-1970	1511
15-Aug-1970	1514
19-Aug-1970	1511
23-Aug-1970	1500
26-Aug-1970	1507
30-Aug-1970	1499
6-Sep-1970	1513
27-Feb-1971	1509
7-Mar-1971	1504
14-Mar-1971	1505
14-Mar-1971	1498
21-Mar-1971	1479
24-Mar-1971	1469
28-Mar-1971	1480
10-Apr-1971	1473
18-Apr-1971	1477
21-Apr-1971	1489
24-Apr-1971	1480
1-May-1971	1477
9-May-1971	1471
12-May-1971	1467
15-May-1971	1462
26-May-1971	1456
30-May-1971	1457
6-Jun-1971	1442
10-Jun-1971	1435
13-Jun-1971	1439
17-Jun-1971	1435
27-Jun-1971	1423
5-Mar-1972	1421
11-Mar-1972	1439
19-Mar-1972	1442
29-Mar-1972	1439
7-Apr-1972	1435
16-Apr-1972	1448
23-Apr-1972	1462
30-Apr-1972	1466
7-May-1972	1458
14-May-1972	1447
17-May-1972	1437
15-Jul-1972	1435
19-Jul-1972	1438
22-Jul-1972	1433
27-Jul-1972	1430
30-Jul-1972	1434
6-Aug-1972	1437
9-Aug-1972	1439
13-Aug-1972	1456
19-Aug-1972	1453
23-Aug-1972	1446
2-Sep-1972	1454
3-Aug-1974	1448
11-Aug-1974	1449
18-Aug-1974	1460
21-Aug-1974	1471
25-Aug-1974	1462
28-Aug-1974	1459
1-Sep-1974	1477
8-Sep-1974	1472
12-Sep-1974	1467
21-Sep-1974	1470
25-Sep-1974	1467
28-Sep-1974	1456
5-Oct-1974	1450
13-Oct-1974	1455
19-Oct-1974	1451
23-Oct-1974	1445
3-Nov-1974	1458
10-Nov-1974	1465
13-Nov-1974	1459
17-Nov-1974	1470
24-Nov-1974	1455
27-Nov-1974	1449
1-Dec-1974	1444
4-Dec-1974	1432
7-Dec-1974	1420
15-Dec-1974	1438
2-Mar-1975	1441
5-Mar-1975	1445
9-Mar-1975	1456
16-Mar-1975	1458
30-Mar-1975	1450
6-Apr-1975	1452
16-Apr-1975	1447
20-Apr-1975	1449
23-Apr-1975	1440
27-Apr-1975	1431
1-May-1975	1432
4-May-1975	1438
7-May-1975	1436
11-May-1975	1427
14-May-1975	1430
