date	rating
4-May-1913	1510
18-May-1913	1497
1-Jun-1913	1490
22-Jun-1913	1474
29-Jun-1913	1474
27-Jul-1913	1480
10-Aug-1913	1500
17-Aug-1913	1509
7-Sep-1913	1506
28-Sep-1913	1494
12-Oct-1913	1487
26-Oct-1913	1477
15-Nov-1913	1482
30-Nov-1913	1478
7-Dec-1913	1488
3-May-1914	1479
10-May-1914	1479
24-May-1914	1474
7-Jun-1914	1478
5-Jul-1914	1463
2-Aug-1914	1457
16-Aug-1914	1452
6-Sep-1914	1441
27-Sep-1914	1452
11-Oct-1914	1443
1-Nov-1914	1436
22-Nov-1914	1442
3-May-1915	1436
23-May-1915	1430
13-Jun-1915	1425
4-Jul-1915	1403
11-Jul-1915	1394
25-Jul-1915	1390
1-Aug-1915	1384
22-Aug-1915	1402
5-Sep-1915	1410
26-Sep-1915	1406
10-Oct-1915	1424
31-Oct-1915	1453
3-May-1916	1460
14-May-1916	1455
16-Jul-1916	1456
23-Jul-1916	1482
6-Aug-1916	1478
20-Aug-1916	1489
10-Sep-1916	1484
1-Oct-1916	1474
8-Oct-1916	1470
22-Oct-1916	1459
5-Nov-1916	1471
12-Nov-1916	1468
20-May-1917	1491
27-May-1917	1475
1-Jul-1917	1467
8-Jul-1917	1489
14-Jul-1917	1501
22-Jul-1917	1516
5-Aug-1917	1508
15-Aug-1917	1521
2-Sep-1917	1528
7-Sep-1917	1554
20-Sep-1917	1543
14-Oct-1917	1549
28-Oct-1917	1556
11-Nov-1917	1583
18-Nov-1917	1578
25-Nov-1917	1592
2-Dec-1917	1598
23-Dec-1917	1610
21-Apr-1918	1618
28-Apr-1918	1629
5-May-1918	1618
12-May-1918	1612
19-May-1918	1619
26-May-1918	1604
9-Jun-1918	1624
23-Jun-1918	1629
14-Jul-1918	1638
21-Jul-1918	1643
28-Jul-1918	1650
25-Aug-1918	1668
20-Sep-1918	1672
29-Sep-1918	1678
6-Oct-1918	1673
15-Dec-1918	1657
29-Dec-1918	1676
5-Jan-1919	1694
22-Jun-1919	1709
29-Jun-1919	1713
13-Jul-1919	1684
27-Jul-1919	1704
3-Aug-1919	1708
15-Aug-1919	1708
31-Aug-1919	1693
7-Sep-1919	1686
28-Sep-1919	1682
26-Oct-1919	1681
9-Nov-1919	1677
16-Nov-1919	1685
30-Nov-1919	1680
7-Dec-1919	1685
14-Dec-1919	1671
25-Dec-1919	1673
28-Dec-1919	1680
31-Dec-1919	1691
2-Jan-1920	1668
25-Apr-1920	1663
16-May-1920	1668
23-May-1920	1672
30-May-1920	1679
13-Jun-1920	1670
4-Jul-1920	1659
11-Jul-1920	1648
1-Aug-1920	1644
8-Aug-1920	1652
24-Oct-1920	1638
31-Oct-1920	1627
7-Nov-1920	1636
14-Nov-1920	1640
21-Nov-1920	1659
28-Nov-1920	1648
12-Dec-1920	1627
19-Dec-1920	1645
10-Apr-1921	1649
24-Apr-1921	1634
8-May-1921	1633
22-May-1921	1644
29-May-1921	1655
12-Jun-1921	1648
19-Jun-1921	1639
26-Jun-1921	1628
7-Aug-1921	1626
14-Aug-1921	1640
21-Aug-1921	1618
28-Aug-1921	1636
2-Apr-1922	1627
9-Apr-1922	1616
23-Apr-1922	1595
30-Apr-1922	1594
7-May-1922	1583
14-May-1922	1577
11-Jun-1922	1577
18-Jun-1922	1571
25-Jun-1922	1571
2-Jul-1922	1561
9-Jul-1922	1554
16-Jul-1922	1547
5-Nov-1922	1545
15-Apr-1923	1537
22-Apr-1923	1537
6-May-1923	1531
20-May-1923	1543
