date	rating
25-Feb-1981	1523
1-Mar-1981	1541
5-Mar-1981	1531
8-Mar-1981	1520
11-Mar-1981	1519
15-Mar-1981	1520
18-Mar-1981	1520
21-Mar-1981	1512
25-Mar-1981	1502
28-Mar-1981	1511
25-Apr-1981	1514
29-Apr-1981	1517
2-May-1981	1516
6-May-1981	1521
9-May-1981	1531
13-May-1981	1547
17-May-1981	1539
20-May-1981	1529
24-May-1981	1539
27-May-1981	1539
30-May-1981	1531
3-Jun-1981	1550
7-Jun-1981	1554
14-Jun-1981	1553
18-Jun-1981	1571
24-Jun-1981	1571
28-Jun-1981	1553
2-Jul-1981	1567
5-Jul-1981	1556
12-Jul-1981	1558
15-Jul-1981	1556
19-Jul-1981	1548
22-Jul-1981	1551
26-Jul-1981	1549
29-Jul-1981	1538
9-Aug-1981	1556
12-Aug-1981	1546
16-Aug-1981	1570
19-Aug-1981	1558
23-Aug-1981	1571
30-Aug-1981	1556
2-Sep-1981	1558
6-Sep-1981	1537
10-Sep-1981	1546
13-Sep-1981	1566
20-Sep-1981	1577
23-Sep-1981	1578
27-Sep-1981	1577
30-Sep-1981	1578
4-Oct-1981	1576
7-Oct-1981	1575
11-Oct-1981	1564
14-Oct-1981	1579
15-Oct-1981	1600
18-Oct-1981	1608
25-Oct-1981	1608
4-Nov-1981	1610
7-Nov-1981	1612
12-Nov-1981	1602
15-Nov-1981	1614
18-Nov-1981	1627
22-Nov-1981	1620
17-Jan-1982	1638
24-Jan-1982	1645
28-Jan-1982	1630
31-Jan-1982	1636
3-Feb-1982	1644
7-Feb-1982	1655
10-Feb-1982	1659
14-Feb-1982	1650
28-Feb-1982	1646
7-Mar-1982	1649
11-Mar-1982	1659
14-Mar-1982	1673
17-Mar-1982	1682
24-Mar-1982	1679
3-Jul-1982	1679
9-Jul-1982	1671
18-Jul-1982	1679
22-Jul-1982	1680
25-Jul-1982	1676
28-Jul-1982	1687
1-Aug-1982	1695
4-Aug-1982	1681
11-Aug-1982	1688
15-Aug-1982	1673
18-Aug-1982	1653
22-Aug-1982	1665
25-Aug-1982	1645
28-Aug-1982	1658
1-Sep-1982	1657
5-Sep-1982	1644
8-Sep-1982	1655
12-Sep-1982	1641
19-Sep-1982	1623
26-Sep-1982	1614
29-Sep-1982	1626
3-Oct-1982	1627
6-Oct-1982	1609
10-Oct-1982	1592
13-Oct-1982	1589
17-Oct-1982	1588
20-Oct-1982	1579
24-Oct-1982	1596
27-Oct-1982	1599
31-Oct-1982	1609
3-Nov-1982	1608
7-Nov-1982	1596
10-Nov-1982	1607
13-Nov-1982	1601
18-Nov-1982	1593
21-Nov-1982	1583
27-Nov-1982	1591
5-Dec-1982	1599
15-May-1983	1599
19-May-1983	1604
21-May-1983	1595
25-May-1983	1595
1-Jun-1983	1599
2-Jun-1983	1599
11-Jun-1983	1605
15-Jun-1983	1584
19-Jun-1983	1567
26-Jun-1983	1569
29-Jun-1983	1564
3-Jul-1983	1553
10-Jul-1983	1563
17-Jul-1983	1583
20-Jul-1983	1583
24-Jul-1983	1584
31-Jul-1983	1583
3-Aug-1983	1592
7-Aug-1983	1580
14-Aug-1983	1581
21-Aug-1983	1572
28-Aug-1983	1561
4-Sep-1983	1549
7-Sep-1983	1541
7-Sep-1983	1527
21-Sep-1983	1522
25-Sep-1983	1539
28-Sep-1983	1542
1-Oct-1983	1544
5-Oct-1983	1547
9-Oct-1983	1547
12-Oct-1983	1537
16-Oct-1983	1528
23-Oct-1983	1549
26-Oct-1983	1550
30-Oct-1983	1564
1-Nov-1983	1575
6-Nov-1983	1567
27-Feb-1988	1568
6-Mar-1988	1568
9-Mar-1988	1566
13-Mar-1988	1567
20-Mar-1988	1583
23-Mar-1988	1593
27-Mar-1988	1583
30-Mar-1988	1587
3-Apr-1988	1590
10-Apr-1988	1606
1-May-1988	1619
4-May-1988	1611
8-May-1988	1607
11-May-1988	1620
15-May-1988	1634
22-May-1988	1647
25-May-1988	1657
2-Jun-1988	1658
5-Jun-1988	1666
12-Jun-1988	1662
19-Jun-1988	1680
22-Jun-1988	1666
26-Jun-1988	1648
3-Jul-1988	1663
10-Jul-1988	1674
19-Jul-1988	1665
19-Feb-1989	1648
26-Feb-1989	1636
1-Mar-1989	1645
5-Mar-1989	1657
12-Mar-1989	1667
22-Mar-1989	1679
26-Mar-1989	1664
29-Mar-1989	1671
2-Apr-1989	1677
5-Apr-1989	1687
9-Apr-1989	1693
15-Apr-1989	1694
19-Apr-1989	1694
24-Apr-1989	1692
27-Apr-1989	1687
3-May-1989	1679
6-May-1989	1685
14-May-1989	1692
17-May-1989	1693
21-May-1989	1704
28-May-1989	1714
4-Jun-1989	1724
8-Jun-1989	1710
15-Jun-1989	1718
18-Jun-1989	1718
22-Jun-1989	1703
25-Jun-1989	1714
28-Jun-1989	1705
1-Jul-1989	1707
31-Jan-1990	1704
4-Feb-1990	1698
7-Feb-1990	1684
11-Feb-1990	1690
18-Feb-1990	1685
21-Feb-1990	1681
4-Mar-1990	1686
7-Mar-1990	1663
11-Mar-1990	1674
14-Mar-1990	1672
18-Mar-1990	1678
21-Mar-1990	1674
25-Mar-1990	1673
1-Apr-1990	1672
8-Apr-1990	1670
15-Apr-1990	1651
18-Apr-1990	1636
22-Apr-1990	1623
26-Apr-1990	1627
29-Apr-1990	1627
2-May-1990	1621
6-May-1990	1630
12-May-1990	1629
20-May-1990	1614
23-May-1990	1620
27-May-1990	1631
30-May-1990	1630
3-Jun-1990	1626
6-Jun-1990	1621
10-Jun-1990	1617
13-Jun-1990	1608
17-Jun-1990	1597
21-Jun-1990	1595
22-Jun-1990	1584
27-Jun-1990	1587
19-Aug-1990	1593
26-Aug-1990	1612
5-Sep-1990	1616
8-Sep-1990	1600
16-Sep-1990	1592
19-Sep-1990	1575
23-Sep-1990	1567
30-Sep-1990	1571
4-Oct-1990	1578
7-Oct-1990	1580
10-Oct-1990	1567
14-Oct-1990	1572
20-Oct-1990	1579
24-Oct-1990	1585
28-Oct-1990	1600
4-Nov-1990	1601
11-Nov-1990	1612
14-Nov-1990	1600
18-Nov-1990	1587
24-Jul-1991	1575
28-Jul-1991	1573
31-Jul-1991	1560
4-Aug-1991	1558
7-Aug-1991	1547
11-Aug-1991	1548
15-Aug-1991	1544
18-Aug-1991	1557
21-Aug-1991	1543
25-Aug-1991	1539
1-Sep-1991	1539
4-Sep-1991	1551
8-Sep-1991	1549
15-Sep-1991	1534
18-Sep-1991	1524
22-Sep-1991	1535
29-Sep-1991	1520
6-Oct-1991	1504
9-Oct-1991	1504
12-Oct-1991	1498
16-Oct-1991	1506
19-Oct-1991	1517
23-Oct-1991	1506
27-Oct-1991	1518
31-Oct-1991	1529
3-Nov-1991	1510
5-Jul-1992	1520
12-Jul-1992	1522
19-Jul-1992	1514
26-Jul-1992	1495
2-Aug-1992	1503
9-Aug-1992	1501
16-Aug-1992	1492
19-Aug-1992	1493
23-Aug-1992	1506
27-Aug-1992	1506
30-Aug-1992	1509
6-Sep-1992	1501
9-Sep-1992	1503
13-Sep-1992	1516
16-Sep-1992	1515
20-Sep-1992	1504
27-Sep-1992	1501
30-Sep-1992	1493
4-Oct-1992	1481
7-Oct-1992	1484
11-Oct-1992	1488
14-Oct-1992	1488
18-Oct-1992	1480
21-Oct-1992	1474
24-Oct-1992	1462
1-Nov-1992	1456
24-Jan-1993	1457
31-Jan-1993	1457
7-Feb-1993	1440
10-Feb-1993	1452
14-Feb-1993	1453
17-Feb-1993	1463
21-Feb-1993	1465
28-Feb-1993	1485
3-Mar-1993	1478
7-Mar-1993	1490
10-Mar-1993	1475
14-Mar-1993	1476
17-Mar-1993	1478
21-Mar-1993	1487
24-Mar-1993	1487
28-Mar-1993	1489
31-Mar-1993	1507
4-Apr-1993	1499
7-Apr-1993	1497
11-Apr-1993	1474
14-Apr-1993	1477
18-Apr-1993	1470
25-Apr-1993	1474
28-Apr-1993	1490
2-May-1993	1501
9-May-1993	1511
8-Feb-1997	1519
16-Feb-1997	1532
19-Feb-1997	1523
23-Feb-1997	1519
26-Feb-1997	1521
2-Mar-1997	1540
6-Mar-1997	1535
9-Mar-1997	1525
16-Mar-1997	1518
19-Mar-1997	1519
23-Mar-1997	1517
30-Mar-1997	1516
6-Apr-1997	1522
9-Apr-1997	1515
13-Apr-1997	1508
20-Apr-1997	1512
24-Apr-1997	1538
26-Apr-1997	1530
1-May-1997	1519
4-May-1997	1534
11-May-1997	1540
14-May-1997	1533
18-May-1997	1536
18-Jan-1998	1547
20-Jan-1998	1542
24-Jan-1998	1556
