date	rating
16-Mar-1930	1499
23-Mar-1930	1518
30-Mar-1930	1524
6-Apr-1930	1522
13-Apr-1930	1536
20-Apr-1930	1553
3-May-1930	1561
11-May-1930	1563
17-May-1930	1563
25-May-1930	1559
1-Jun-1930	1570
8-Jun-1930	1575
17-Jun-1930	1591
31-Aug-1930	1602
7-Sep-1930	1611
14-Sep-1930	1627
21-Sep-1930	1631
28-Sep-1930	1625
5-Oct-1930	1636
12-Oct-1930	1647
23-Nov-1930	1648
30-Nov-1930	1662
7-Dec-1930	1666
14-Dec-1930	1678
21-Dec-1930	1681
28-Dec-1930	1684
29-Mar-1931	1684
12-Apr-1931	1689
1-May-1931	1683
10-May-1931	1679
16-May-1931	1683
24-May-1931	1687
31-May-1931	1694
7-Jun-1931	1697
14-Jun-1931	1692
21-Jun-1931	1699
28-Jun-1931	1701
20-Sep-1931	1712
27-Sep-1931	1718
18-Oct-1931	1721
25-Oct-1931	1737
31-Oct-1931	1742
8-Nov-1931	1746
15-Nov-1931	1754
22-Nov-1931	1761
29-Nov-1931	1756
6-Dec-1931	1778
13-Dec-1931	1785
20-Dec-1931	1776
27-Dec-1931	1779
3-Jan-1932	1783
10-Jan-1932	1797
1-May-1932	1804
8-May-1932	1794
15-May-1932	1775
29-May-1932	1791
5-Jun-1932	1797
19-Jun-1932	1806
26-Jun-1932	1798
3-Jul-1932	1802
20-Nov-1932	1805
4-Dec-1932	1811
18-Dec-1932	1812
14-May-1933	1804
21-May-1933	1807
28-May-1933	1810
11-Jun-1933	1805
29-Jun-1933	1810
9-Jul-1933	1820
23-Jul-1933	1829
27-Aug-1933	1833
10-Sep-1933	1844
24-Sep-1933	1851
1-Oct-1933	1852
22-Oct-1933	1862
12-Nov-1933	1852
15-Nov-1933	1854
1-Apr-1934	1857
15-Apr-1934	1851
29-Apr-1934	1856
6-May-1934	1858
27-May-1934	1865
3-Jun-1934	1852
17-Jun-1934	1855
24-Jun-1934	1856
8-Jul-1934	1851
22-Jul-1934	1853
29-Jul-1934	1858
5-Aug-1934	1860
26-Aug-1934	1854
2-Sep-1934	1866
