date	rating
26-Sep-1979	1485
30-Sep-1979	1498
3-Oct-1979	1500
7-Oct-1979	1487
10-Oct-1979	1500
21-Oct-1979	1518
24-Oct-1979	1504
28-Oct-1979	1503
4-Nov-1979	1513
7-Nov-1979	1513
11-Nov-1979	1509
14-Nov-1979	1497
18-Nov-1979	1511
22-Nov-1979	1509
25-Nov-1979	1511
28-Nov-1979	1489
24-Feb-1980	1503
2-Mar-1980	1502
5-Mar-1980	1479
9-Mar-1980	1470
12-Mar-1980	1471
16-Mar-1980	1460
19-Mar-1980	1448
23-Mar-1980	1459
30-Mar-1980	1456
28-Feb-1982	1476
7-Mar-1982	1462
11-Mar-1982	1447
14-Mar-1982	1454
17-Mar-1982	1458
25-Mar-1982	1453
