date	rating
9-Sep-1962	1500
11-Sep-1962	1500
13-Sep-1962	1487
18-Jul-1965	1465
1-Aug-1965	1485
3-Aug-1965	1485
4-Aug-1968	1473
11-Aug-1968	1473
18-Aug-1968	1479
25-Aug-1968	1468
10-Sep-1972	1451
13-Sep-1972	1447
17-Sep-1972	1457
20-Sep-1972	1463
24-Sep-1972	1455
27-Sep-1972	1442
1-Oct-1972	1438
4-Oct-1972	1447
8-Oct-1972	1441
11-Oct-1972	1437
15-Oct-1972	1423
18-Oct-1972	1411
22-Oct-1972	1398
25-Oct-1972	1393
29-Oct-1972	1388
1-Nov-1972	1422
5-Nov-1972	1416
8-Nov-1972	1411
12-Nov-1972	1416
16-Nov-1972	1441
19-Nov-1972	1435
22-Nov-1972	1430
26-Nov-1972	1435
29-Nov-1972	1428
3-Dec-1972	1424
26-Aug-1973	1407
29-Aug-1973	1402
2-Sep-1973	1388
5-Sep-1973	1375
9-Sep-1973	1395
12-Sep-1973	1391
16-Sep-1973	1382
23-Sep-1973	1376
26-Sep-1973	1374
30-Sep-1973	1367
3-Oct-1973	1362
7-Oct-1973	1380
14-Oct-1973	1391
17-Oct-1973	1398
21-Oct-1973	1381
24-Oct-1973	1410
27-Oct-1973	1416
31-Oct-1973	1406
4-Nov-1973	1412
11-Nov-1973	1430
14-Nov-1973	1421
18-Nov-1973	1427
25-Nov-1973	1414
28-Nov-1973	1404
2-Dec-1973	1393
8-Dec-1973	1384
12-Dec-1973	1379
16-Dec-1973	1366
20-Aug-1975	1377
24-Aug-1975	1372
27-Aug-1975	1366
3-Sep-1975	1364
10-Sep-1975	1372
14-Sep-1975	1375
17-Sep-1975	1372
21-Sep-1975	1376
24-Sep-1975	1369
28-Sep-1975	1385
1-Oct-1975	1375
19-Oct-1975	1368
22-Oct-1975	1363
26-Oct-1975	1384
29-Oct-1975	1376
1-Nov-1975	1370
16-Oct-1977	1385
19-Oct-1977	1371
23-Oct-1977	1369
30-Oct-1977	1367
2-Nov-1977	1357
6-Nov-1977	1351
10-Nov-1977	1332
16-Nov-1977	1328
20-Nov-1977	1347
27-Nov-1977	1342
1-Dec-1977	1344
4-Dec-1977	1335
10-Dec-1977	1329
14-Dec-1977	1334
18-Dec-1977	1326
26-Mar-1978	1331
30-Mar-1978	1323
2-Apr-1978	1320
6-Apr-1978	1317
12-Apr-1978	1314
16-Apr-1978	1324
20-Apr-1978	1340
23-Apr-1978	1330
30-Apr-1978	1336
11-May-1978	1333
14-May-1978	1323
21-May-1978	1315
28-May-1978	1307
30-May-1978	1294
13-Jun-1978	1287
17-Jun-1978	1277
23-Sep-1979	1267
26-Sep-1979	1272
6-Oct-1979	1279
14-Oct-1979	1288
17-Oct-1979	1280
21-Oct-1979	1307
24-Oct-1979	1334
28-Oct-1979	1340
4-Nov-1979	1359
22-Jan-1983	1363
26-Jan-1983	1379
2-Feb-1983	1411
6-Feb-1983	1421
9-Feb-1983	1403
23-Feb-1983	1395
26-Feb-1983	1391
6-Mar-1983	1413
10-Mar-1983	1406
13-Mar-1983	1399
16-Mar-1983	1432
19-Mar-1983	1423
30-Mar-1983	1419
3-Apr-1983	1410
27-Jan-1985	1422
30-Jan-1985	1411
3-Feb-1985	1409
6-Feb-1985	1409
10-Feb-1985	1400
13-Feb-1985	1393
24-Feb-1985	1386
27-Feb-1985	1401
3-Mar-1985	1390
6-Mar-1985	1377
10-Mar-1985	1368
17-Mar-1985	1345
20-Mar-1985	1335
24-Mar-1985	1360
27-Mar-1985	1362
31-Mar-1985	1368
3-Apr-1985	1374
7-Apr-1985	1371
10-Apr-1985	1354
14-Apr-1985	1350
18-Apr-1985	1341
21-Apr-1985	1334
31-Aug-1986	1325
2-Sep-1986	1345
11-Sep-1986	1341
14-Sep-1986	1335
17-Sep-1986	1333
22-Sep-1986	1351
25-Sep-1986	1361
29-Sep-1986	1369
3-Oct-1986	1386
5-Oct-1986	1378
22-Jun-1990	1386
27-Jun-1990	1395
21-Jul-1992	1389
18-Aug-1992	1418
4-Sep-1992	1415
16-Oct-1992	1424
6-Apr-1993	1434
13-Apr-1993	1432
22-Feb-1994	1436
5-Apr-1994	1440
14-Feb-1995	1450
10-Mar-1995	1445
28-Feb-1996	1441
20-Feb-1997	1434
18-Feb-1999	1463
24-Feb-1999	1450
22-Mar-2000	1467
29-Mar-2000	1470
12-Apr-2000	1463
19-Apr-2000	1482
14-Mar-2001	1476
21-Mar-2001	1470
13-Feb-2002	1480
20-Feb-2002	1477
4-Feb-2004	1465
2-Feb-2005	1458
16-Feb-2005	1444
15-Feb-2006	1452
22-Feb-2006	1444
12-Mar-2014	1458
9-Apr-2014	1447
