date	rating
23-Mar-1979	1487
29-Mar-1979	1464
2-Apr-1979	1475
5-Apr-1979	1464
11-Apr-1979	1473
15-Apr-1979	1478
21-Mar-1980	1496
25-Mar-1980	1471
11-Apr-1980	1486
16-Apr-1980	1489
22-Apr-1980	1467
25-Apr-1980	1468
14-Mar-1982	1476
27-Mar-1982	1503
31-Mar-1982	1488
4-Apr-1982	1495
14-Apr-1982	1508
21-Apr-1982	1487
15-Mar-1987	1479
5-Apr-1987	1500
8-Apr-1987	1485
14-Apr-1987	1493
20-May-1987	1479
24-May-1987	1463
23-Feb-1989	1469
28-Feb-1989	1454
3-Mar-1989	1449
7-Mar-1989	1470
20-Mar-1989	1481
30-Mar-1989	1501
5-Apr-1989	1525
12-Apr-1989	1492
19-Apr-1989	1476
26-Apr-1989	1482
4-Mar-1992	1468
18-Mar-1992	1477
21-Mar-1992	1491
25-Mar-1992	1478
31-Mar-1992	1466
9-Apr-1992	1467
