date	rating
16-Jan-2010	1495
20-Jan-2010	1507
24-Jan-2010	1492
27-Jan-2010	1487
30-Jan-2010	1473
3-Feb-2010	1464
7-Feb-2010	1447
10-Feb-2010	1453
24-Feb-2010	1446
28-Feb-2010	1437
4-Mar-2010	1432
7-Mar-2010	1423
14-Mar-2010	1434
21-Mar-2010	1457
24-Mar-2010	1455
27-Mar-2010	1446
4-Apr-2010	1435
1-Feb-2015	1437
4-Feb-2015	1439
8-Feb-2015	1446
11-Feb-2015	1433
18-Feb-2015	1420
22-Feb-2015	1420
28-Feb-2015	1413
8-Mar-2015	1426
11-Mar-2015	1417
14-Mar-2015	1414
21-Mar-2015	1421
26-Mar-2015	1425
29-Mar-2015	1417
4-Apr-2015	1418
8-Apr-2015	1419
30-Jan-2016	1407
4-Feb-2016	1397
10-Feb-2016	1389
14-Feb-2016	1382
20-Feb-2016	1379
24-Feb-2016	1382
27-Feb-2016	1370
6-Mar-2016	1384
13-Mar-2016	1397
19-Mar-2016	1398
26-Mar-2016	1410
31-Mar-2016	1408
3-Apr-2016	1421
10-Apr-2016	1414
16-Apr-2016	1403
