date	rating
26-Aug-1973	1507
29-Aug-1973	1514
2-Sep-1973	1526
5-Sep-1973	1544
9-Sep-1973	1551
12-Sep-1973	1555
16-Sep-1973	1573
22-Sep-1973	1572
26-Sep-1973	1568
30-Sep-1973	1553
3-Oct-1973	1571
7-Oct-1973	1562
14-Oct-1973	1555
17-Oct-1973	1542
21-Oct-1973	1543
24-Oct-1973	1534
27-Oct-1973	1526
4-Nov-1973	1543
7-Nov-1973	1554
11-Nov-1973	1566
14-Nov-1973	1567
18-Nov-1973	1578
25-Nov-1973	1580
28-Nov-1973	1565
2-Dec-1973	1575
8-Dec-1973	1578
12-Dec-1973	1590
16-Dec-1973	1572
13-Jan-1974	1594
16-Jan-1974	1596
20-Jan-1974	1583
23-Jan-1974	1577
27-Jan-1974	1564
30-Jan-1974	1567
3-Feb-1974	1559
6-Feb-1974	1545
10-Feb-1974	1551
10-Mar-1974	1567
13-Mar-1974	1554
17-Mar-1974	1557
23-Mar-1974	1541
27-Mar-1974	1562
30-Mar-1974	1554
6-Apr-1974	1546
14-Apr-1974	1573
20-Apr-1974	1571
27-Apr-1974	1556
4-May-1974	1573
8-May-1974	1569
11-May-1974	1566
15-May-1974	1558
18-May-1974	1548
25-May-1974	1552
2-Jun-1974	1573
9-Jun-1974	1587
13-Jun-1974	1595
20-Aug-1975	1593
24-Aug-1975	1580
31-Aug-1975	1596
3-Sep-1975	1599
7-Sep-1975	1609
10-Sep-1975	1595
21-Sep-1975	1586
24-Sep-1975	1577
1-Oct-1975	1594
5-Oct-1975	1611
9-Oct-1975	1617
12-Oct-1975	1595
15-Oct-1975	1587
19-Oct-1975	1568
22-Oct-1975	1571
26-Oct-1975	1565
29-Oct-1975	1584
1-Nov-1975	1586
6-Nov-1975	1578
9-Nov-1975	1589
23-Sep-1979	1583
27-Sep-1979	1580
3-Oct-1979	1561
6-Oct-1979	1559
14-Oct-1979	1549
20-Oct-1979	1559
25-Oct-1979	1529
28-Oct-1979	1509
3-Nov-1979	1490
23-Jan-1983	1470
30-Jan-1983	1493
2-Feb-1983	1510
6-Feb-1983	1508
9-Feb-1983	1499
19-Feb-1983	1484
27-Feb-1983	1504
6-Mar-1983	1518
13-Mar-1983	1512
16-Mar-1983	1511
19-Mar-1983	1502
23-Mar-1983	1495
26-Mar-1983	1483
30-Mar-1983	1474
