date	rating
23-Aug-1959	1518
30-Aug-1959	1497
1-Sep-1959	1510
13-Sep-1959	1511
20-Sep-1959	1494
22-Sep-1979	1509
25-Sep-1979	1509
6-Oct-1979	1481
13-Oct-1979	1467
17-Oct-1979	1451
20-Oct-1979	1472
24-Oct-1979	1462
27-Oct-1979	1475
3-Nov-1979	1461
29-Jan-1984	1460
1-Feb-1984	1459
8-Feb-1984	1465
12-Feb-1984	1475
19-Feb-1984	1459
22-Feb-1984	1453
26-Feb-1984	1466
29-Feb-1984	1477
2-Mar-1984	1463
31-Aug-1986	1453
2-Sep-1986	1444
6-Sep-1986	1474
10-Sep-1986	1465
14-Sep-1986	1465
18-Sep-1986	1455
24-Sep-1986	1444
2-Oct-1986	1433
5-Oct-1986	1423
9-Oct-1986	1435
7-Jul-1992	1451
4-Aug-1992	1431
19-Feb-2003	1439
12-Mar-2003	1435
4-Feb-2004	1428
13-Feb-2008	1435
27-Feb-2008	1422
