date	rating
1-Sep-1976	1504
7-Sep-1976	1493
12-Sep-1976	1510
18-Sep-1976	1497
23-Sep-1976	1488
26-Sep-1976	1498
29-Sep-1976	1486
3-Oct-1976	1486
9-Oct-1976	1478
13-Oct-1976	1491
16-Oct-1976	1488
20-Oct-1976	1501
16-Oct-1977	1521
20-Oct-1977	1500
23-Oct-1977	1487
27-Oct-1977	1491
30-Oct-1977	1484
2-Nov-1977	1494
16-Nov-1977	1507
20-Nov-1977	1516
27-Nov-1977	1545
4-Dec-1977	1561
10-Dec-1977	1546
14-Dec-1977	1544
18-Dec-1977	1554
26-Mar-1978	1569
29-Mar-1978	1571
2-Apr-1978	1555
5-Apr-1978	1555
8-Apr-1978	1536
13-Apr-1978	1534
16-Apr-1978	1529
23-Apr-1978	1523
26-Apr-1978	1516
4-May-1978	1494
6-May-1978	1483
11-May-1978	1493
21-May-1978	1491
27-May-1978	1491
4-Jun-1978	1489
13-Jun-1978	1485
17-Jun-1978	1472
24-Jun-1978	1485
27-Sep-1979	1503
30-Sep-1979	1512
4-Oct-1979	1524
6-Oct-1979	1538
14-Oct-1979	1556
17-Oct-1979	1527
21-Oct-1979	1515
28-Oct-1979	1534
4-Nov-1979	1545
7-Nov-1979	1532
11-Nov-1979	1545
15-Nov-1979	1544
18-Nov-1979	1532
21-Nov-1979	1541
25-Nov-1979	1556
28-Nov-1979	1567
7-Mar-1981	1569
11-Mar-1981	1578
15-Mar-1981	1583
21-Mar-1981	1586
1-Apr-1981	1578
4-Apr-1981	1568
13-Mar-1983	1559
16-Mar-1983	1551
19-Mar-1983	1550
26-Mar-1983	1542
30-Mar-1983	1564
2-Apr-1983	1556
