date	rating
26-Mar-1978	1481
29-Mar-1978	1481
2-Apr-1978	1497
6-Apr-1978	1486
12-Apr-1978	1484
20-Apr-1978	1497
23-Apr-1978	1501
27-Apr-1978	1494
1-May-1978	1468
3-May-1978	1452
7-May-1978	1441
10-May-1978	1430
21-May-1978	1433
24-May-1978	1457
27-May-1978	1443
4-Jun-1978	1444
17-Jun-1978	1434
20-Jun-1978	1432
23-Sep-1979	1434
26-Sep-1979	1437
30-Sep-1979	1430
6-Oct-1979	1417
11-Oct-1979	1434
14-Oct-1979	1445
25-Oct-1979	1476
28-Oct-1979	1460
1-Nov-1979	1479
11-Nov-1979	1459
15-Nov-1979	1472
18-Nov-1979	1487
21-Nov-1979	1500
23-Nov-1979	1520
25-Nov-1979	1528
29-Nov-1979	1529
4-Dec-1979	1519
6-Dec-1979	1512
8-Dec-1979	1526
7-Apr-1984	1532
11-Apr-1984	1543
15-Apr-1984	1535
18-Apr-1984	1551
22-Apr-1984	1555
25-Apr-1984	1548
27-Jan-1985	1547
30-Jan-1985	1530
3-Feb-1985	1517
6-Feb-1985	1511
10-Feb-1985	1508
13-Feb-1985	1527
24-Feb-1985	1543
27-Feb-1985	1523
3-Mar-1985	1522
6-Mar-1985	1503
10-Mar-1985	1509
17-Mar-1985	1497
20-Mar-1985	1489
24-Mar-1985	1476
27-Mar-1985	1467
31-Mar-1985	1455
3-Apr-1985	1475
7-Apr-1985	1461
10-Apr-1985	1486
14-Apr-1985	1512
17-Apr-1985	1527
21-Apr-1985	1532
18-Feb-2004	1519
