date	rating
28-Feb-1988	1505
6-Mar-1988	1496
9-Mar-1988	1498
13-Mar-1988	1493
20-Mar-1988	1513
23-Mar-1988	1502
27-Mar-1988	1494
30-Mar-1988	1514
3-Apr-1988	1515
10-Apr-1988	1516
4-May-1988	1507
8-May-1988	1503
11-May-1988	1495
15-May-1988	1483
18-May-1988	1486
22-May-1988	1506
25-May-1988	1494
29-May-1988	1490
5-Jun-1988	1484
12-Jun-1988	1472
19-Feb-1989	1478
26-Feb-1989	1492
1-Mar-1989	1497
5-Mar-1989	1497
12-Mar-1989	1488
22-Mar-1989	1494
26-Mar-1989	1509
29-Mar-1989	1505
2-Apr-1989	1498
5-Apr-1989	1489
9-Apr-1989	1493
16-Apr-1989	1505
19-Apr-1989	1505
23-Apr-1989	1506
30-Apr-1989	1523
3-May-1989	1537
7-May-1989	1547
14-May-1989	1547
17-May-1989	1547
21-May-1989	1546
28-May-1989	1547
31-May-1989	1539
8-Jun-1989	1554
11-Jun-1989	1548
15-Jun-1989	1540
28-Jan-1990	1540
4-Feb-1990	1556
7-Feb-1990	1570
11-Feb-1990	1570
18-Feb-1990	1571
21-Feb-1990	1559
4-Mar-1990	1569
7-Mar-1990	1577
11-Mar-1990	1576
14-Mar-1990	1577
18-Mar-1990	1585
21-Mar-1990	1585
25-Mar-1990	1575
1-Apr-1990	1579
8-Apr-1990	1569
15-Apr-1990	1571
18-Apr-1990	1559
22-Apr-1990	1578
25-Apr-1990	1574
29-Apr-1990	1578
2-May-1990	1590
6-May-1990	1581
12-May-1990	1575
20-May-1990	1583
23-May-1990	1593
27-May-1990	1602
30-May-1990	1603
3-Jun-1990	1604
6-Jun-1990	1591
9-Jun-1990	1587
13-Jun-1990	1584
17-Jun-1990	1595
21-Jun-1990	1582
24-Jul-1991	1580
28-Jul-1991	1578
31-Jul-1991	1575
4-Aug-1991	1580
7-Aug-1991	1568
11-Aug-1991	1568
14-Aug-1991	1558
18-Aug-1991	1569
25-Aug-1991	1556
27-Aug-1991	1552
1-Sep-1991	1543
4-Sep-1991	1543
8-Sep-1991	1527
15-Sep-1991	1529
18-Sep-1991	1540
22-Sep-1991	1521
29-Sep-1991	1542
5-Oct-1991	1556
9-Oct-1991	1553
12-Oct-1991	1563
16-Oct-1991	1562
19-Oct-1991	1560
23-Oct-1991	1559
27-Oct-1991	1547
31-Oct-1991	1554
2-Nov-1991	1550
5-Jul-1992	1539
12-Jul-1992	1550
19-Jul-1992	1550
26-Jul-1992	1541
2-Aug-1992	1541
13-Aug-1992	1543
16-Aug-1992	1551
19-Aug-1992	1559
23-Aug-1992	1557
30-Aug-1992	1558
2-Sep-1992	1557
6-Sep-1992	1575
9-Sep-1992	1581
13-Sep-1992	1591
16-Sep-1992	1601
20-Sep-1992	1582
24-Sep-1992	1583
26-Sep-1992	1585
30-Sep-1992	1592
4-Oct-1992	1579
7-Oct-1992	1592
11-Oct-1992	1601
18-Oct-1992	1607
21-Oct-1992	1606
24-Oct-1992	1613
1-Nov-1992	1600
27-Jan-1993	1600
31-Jan-1993	1590
3-Feb-1993	1593
6-Feb-1993	1610
10-Feb-1993	1626
14-Feb-1993	1611
17-Feb-1993	1614
21-Feb-1993	1612
25-Feb-1993	1617
28-Feb-1993	1632
3-Mar-1993	1650
7-Mar-1993	1637
10-Mar-1993	1649
14-Mar-1993	1663
17-Mar-1993	1666
21-Mar-1993	1667
24-Mar-1993	1675
28-Mar-1993	1699
31-Mar-1993	1695
4-Apr-1993	1692
7-Apr-1993	1697
11-Apr-1993	1706
14-Apr-1993	1696
18-Apr-1993	1675
22-Apr-1993	1679
25-Apr-1993	1685
28-Apr-1993	1672
2-May-1993	1673
6-May-1993	1666
9-May-1993	1675
4-Sep-1993	1696
11-Sep-1993	1708
15-Sep-1993	1706
18-Sep-1993	1730
22-Sep-1993	1709
26-Sep-1993	1719
29-Sep-1993	1714
6-Oct-1993	1697
9-Oct-1993	1684
13-Oct-1993	1701
16-Oct-1993	1700
20-Oct-1993	1708
24-Oct-1993	1702
27-Oct-1993	1686
23-Jan-1994	1694
26-Jan-1994	1712
30-Jan-1994	1710
3-Feb-1994	1724
6-Feb-1994	1710
10-Feb-1994	1716
12-Feb-1994	1703
16-Feb-1994	1688
20-Feb-1994	1686
23-Feb-1994	1688
27-Feb-1994	1700
2-Mar-1994	1695
6-Mar-1994	1694
9-Mar-1994	1695
13-Mar-1994	1684
20-Mar-1994	1666
24-Mar-1994	1658
27-Mar-1994	1667
31-Mar-1994	1657
5-Apr-1994	1651
10-Apr-1994	1649
12-Apr-1994	1655
17-Apr-1994	1675
20-Apr-1994	1676
24-Apr-1994	1660
27-Apr-1994	1670
1-May-1994	1682
9-May-1994	1681
11-May-1994	1684
15-May-1994	1684
14-Aug-1994	1666
17-Aug-1994	1680
21-Aug-1994	1688
24-Aug-1994	1678
28-Aug-1994	1663
4-Sep-1994	1648
7-Sep-1994	1644
15-Sep-1994	1640
18-Sep-1994	1643
24-Sep-1994	1668
5-Oct-1994	1644
9-Oct-1994	1631
15-Oct-1994	1633
20-Oct-1994	1653
23-Oct-1994	1662
28-Oct-1994	1649
30-Oct-1994	1646
3-Nov-1994	1644
6-Nov-1994	1654
9-Nov-1994	1654
16-Nov-1994	1655
20-Nov-1994	1641
23-Nov-1994	1622
27-Nov-1994	1645
29-Jan-1995	1637
5-Feb-1995	1653
9-Feb-1995	1645
12-Feb-1995	1659
23-Feb-1995	1648
5-Mar-1995	1648
8-Mar-1995	1651
12-Mar-1995	1635
15-Mar-1995	1628
19-Mar-1995	1635
26-Mar-1995	1625
30-Mar-1995	1649
2-Apr-1995	1649
5-Apr-1995	1666
8-Apr-1995	1663
15-Apr-1995	1663
19-Apr-1995	1659
23-Apr-1995	1680
26-Apr-1995	1687
30-Apr-1995	1700
7-May-1995	1688
10-May-1995	1697
14-May-1995	1690
17-May-1995	1688
21-May-1995	1685
24-May-1995	1666
28-May-1995	1670
3-Jun-1995	1660
7-Jun-1995	1650
10-Jun-1995	1663
18-Jun-1995	1652
25-Jun-1995	1643
1-Jul-1995	1637
9-Jul-1995	1629
15-Jul-1995	1633
23-Jul-1995	1648
27-Aug-1995	1637
30-Aug-1995	1628
3-Sep-1995	1617
7-Sep-1995	1606
10-Sep-1995	1583
13-Sep-1995	1569
17-Sep-1995	1572
20-Sep-1995	1602
24-Sep-1995	1594
26-Sep-1995	1584
8-Oct-1995	1575
11-Oct-1995	1567
14-Oct-1995	1556
22-Oct-1995	1575
29-Oct-1995	1575
5-Nov-1995	1564
9-Nov-1995	1556
12-Nov-1995	1548
18-Nov-1995	1541
24-Nov-1995	1536
26-Nov-1995	1518
2-Dec-1995	1509
9-Dec-1995	1516
28-Jan-1996	1513
1-Feb-1996	1517
4-Feb-1996	1510
8-Feb-1996	1518
11-Feb-1996	1519
17-Feb-1996	1539
25-Feb-1996	1532
2-Mar-1996	1539
7-Mar-1996	1545
10-Mar-1996	1565
13-Mar-1996	1592
17-Mar-1996	1602
20-Mar-1996	1594
24-Mar-1996	1604
31-Mar-1996	1610
6-Apr-1996	1595
10-Apr-1996	1595
14-Apr-1996	1596
18-Apr-1996	1592
20-Apr-1996	1581
28-Apr-1996	1568
1-May-1996	1570
5-May-1996	1568
8-May-1996	1559
12-May-1996	1559
15-May-1996	1562
18-May-1996	1564
25-May-1996	1569
2-Jun-1996	1580
6-Jun-1996	1576
9-Feb-1997	1587
15-Feb-1997	1580
19-Feb-1997	1566
23-Feb-1997	1585
26-Feb-1997	1575
1-Mar-1997	1570
6-Mar-1997	1566
9-Mar-1997	1572
16-Mar-1997	1573
20-Mar-1997	1577
23-Mar-1997	1588
29-Mar-1997	1604
5-Apr-1997	1612
9-Apr-1997	1619
13-Apr-1997	1613
20-Apr-1997	1632
23-Apr-1997	1614
26-Apr-1997	1617
1-May-1997	1626
4-May-1997	1605
10-May-1997	1630
14-May-1997	1638
18-May-1997	1631
6-Jul-1997	1620
9-Jul-1997	1606
13-Jul-1997	1611
16-Jul-1997	1585
20-Jul-1997	1592
27-Jul-1997	1586
2-Aug-1997	1602
10-Aug-1997	1604
16-Aug-1997	1606
