date	rating
26-Jun-1963	1485
17-Jul-1963	1512
24-Jul-1963	1494
31-Jul-1963	1481
13-Feb-1965	1472
22-Feb-1965	1458
26-Feb-1965	1455
10-Mar-1965	1485
2-Mar-1966	1486
5-Mar-1966	1471
8-Mar-1966	1495
11-Mar-1966	1494
16-Mar-1966	1471
20-Mar-1966	1473
11-Feb-1968	1457
18-Feb-1968	1438
21-Feb-1968	1427
24-Feb-1968	1428
27-Feb-1968	1447
2-Mar-1968	1437
15-Feb-1970	1420
18-Feb-1970	1423
22-Feb-1970	1427
25-Feb-1970	1420
1-Mar-1970	1435
15-Mar-1970	1466
24-Mar-1970	1479
26-Mar-1970	1507
29-Mar-1970	1525
5-Apr-1970	1529
15-Apr-1970	1569
25-Apr-1970	1554
28-Apr-1970	1575
8-May-1970	1597
12-May-1970	1581
14-May-1970	1587
25-Feb-1972	1569
1-Mar-1972	1547
7-Mar-1972	1561
15-Mar-1972	1573
24-Mar-1972	1583
26-Mar-1972	1566
1-Apr-1977	1539
6-Apr-1977	1551
9-Apr-1977	1567
20-Apr-1977	1580
26-Apr-1977	1547
29-Apr-1977	1532
18-Mar-1981	1531
24-Mar-1981	1512
27-Mar-1981	1526
7-Apr-1981	1510
10-Apr-1981	1509
14-Apr-1981	1529
10-Feb-1995	1569
7-Mar-1995	1556
10-Mar-1995	1546
15-Mar-1995	1549
24-Mar-1995	1568
7-Apr-1995	1571
12-Apr-1995	1550
13-Mar-1996	1580
22-Mar-1996	1604
3-Apr-1996	1604
12-Apr-1996	1625
16-Apr-1996	1613
19-Apr-1996	1599
30-Apr-1996	1611
9-May-1996	1592
15-May-1996	1614
22-May-1996	1612
5-Jun-1996	1617
12-Jun-1996	1607
23-Feb-2000	1641
1-Mar-2000	1623
8-Mar-2000	1620
16-Mar-2000	1595
6-Apr-2000	1601
20-Apr-2000	1615
8-Feb-2001	1592
27-Feb-2001	1600
8-Mar-2001	1590
10-Apr-2001	1563
18-Apr-2001	1555
2-May-2001	1545
22-Feb-2005	1558
9-Mar-2005	1551
15-Mar-2005	1563
13-Apr-2005	1560
21-Apr-2005	1570
11-May-2005	1566
19-May-2005	1591
25-May-2005	1580
28-Jan-2009	1593
4-Feb-2009	1575
25-Feb-2009	1582
4-Mar-2009	1596
18-Mar-2009	1564
8-Apr-2009	1589
15-Apr-2009	1578
28-Apr-2009	1585
7-May-2009	1576
14-May-2009	1568
18-Feb-2010	1583
9-Mar-2010	1583
17-Mar-2010	1608
8-Apr-2010	1616
13-Apr-2010	1634
21-Apr-2010	1633
29-Apr-2010	1641
6-May-2010	1634
12-May-2010	1655
20-May-2010	1645
27-Jul-2010	1645
3-Aug-2010	1622
15-Feb-2012	1599
22-Feb-2012	1621
6-Mar-2012	1618
27-Mar-2012	1630
4-Apr-2012	1640
19-Apr-2012	1656
12-Feb-2013	1665
19-Feb-2013	1632
5-Mar-2013	1646
12-Mar-2013	1621
4-Apr-2013	1606
11-Apr-2013	1613
