date	rating
14-Mar-1976	1514
17-Mar-1976	1522
21-Mar-1976	1533
31-Mar-1976	1529
4-Apr-1976	1527
11-Apr-1976	1518
14-Apr-1976	1511
18-Apr-1976	1507
21-Apr-1976	1497
25-Apr-1976	1495
1-May-1976	1502
8-May-1976	1500
12-May-1976	1480
15-May-1976	1487
20-Jun-1976	1483
23-Jun-1976	1480
26-Jun-1976	1476
4-Jul-1976	1473
11-Jul-1976	1485
14-Jul-1976	1490
18-Jul-1976	1489
25-Jul-1976	1489
27-Jul-1976	1485
1-Aug-1976	1490
4-Aug-1976	1484
8-Aug-1976	1483
11-Aug-1976	1476
15-Aug-1976	1467
1-Sep-1976	1469
4-Sep-1976	1469
8-Sep-1976	1487
12-Sep-1976	1507
15-Sep-1976	1510
19-Sep-1976	1509
22-Sep-1976	1500
30-Sep-1976	1493
10-Oct-1976	1493
14-Oct-1976	1496
17-Oct-1976	1506
20-Oct-1976	1482
27-Mar-1977	1478
3-Apr-1977	1469
7-Apr-1977	1456
10-Apr-1977	1467
13-Apr-1977	1462
17-Apr-1977	1446
24-Apr-1977	1436
1-May-1977	1433
4-May-1977	1449
11-May-1977	1455
15-May-1977	1453
22-May-1977	1441
26-May-1977	1437
29-May-1977	1435
17-Jul-1977	1431
24-Jul-1977	1430
31-Jul-1977	1419
7-Aug-1977	1413
14-Aug-1977	1414
17-Aug-1977	1414
21-Aug-1977	1411
27-Aug-1977	1422
31-Aug-1977	1421
7-Sep-1977	1431
11-Sep-1977	1426
18-Sep-1977	1434
21-Sep-1977	1448
25-Sep-1977	1434
16-Oct-1977	1460
19-Oct-1977	1457
23-Oct-1977	1450
27-Oct-1977	1435
30-Oct-1977	1439
2-Nov-1977	1449
12-Nov-1977	1460
17-Nov-1977	1467
20-Nov-1977	1465
23-Nov-1977	1450
1-Dec-1977	1470
4-Dec-1977	1478
7-Dec-1977	1479
11-Dec-1977	1463
14-Dec-1977	1463
29-Mar-1978	1445
2-Apr-1978	1444
9-Apr-1978	1441
12-Apr-1978	1435
16-Apr-1978	1437
20-Apr-1978	1421
23-Apr-1978	1422
26-Apr-1978	1413
30-Apr-1978	1410
10-May-1978	1441
14-May-1978	1432
21-May-1978	1445
28-May-1978	1452
31-May-1978	1433
4-Jun-1978	1457
17-Jun-1978	1473
2-Jul-1978	1481
5-Jul-1978	1475
9-Jul-1978	1474
13-Jul-1978	1465
16-Jul-1978	1455
20-Jul-1978	1450
23-Jul-1978	1445
4-Feb-1979	1439
9-Feb-1979	1435
11-Feb-1979	1443
18-Feb-1979	1458
21-Feb-1979	1454
4-Mar-1979	1446
11-Mar-1979	1437
14-Mar-1979	1456
18-Mar-1979	1441
28-Mar-1979	1436
1-Apr-1979	1447
5-Apr-1979	1464
8-Apr-1979	1462
11-Apr-1979	1466
14-Apr-1979	1475
18-Apr-1979	1472
22-Apr-1979	1485
25-Apr-1979	1483
13-May-1979	1480
17-May-1979	1470
20-May-1979	1481
23-May-1979	1470
27-May-1979	1471
3-Jun-1979	1460
7-Jun-1979	1457
9-Jun-1979	1455
14-Jun-1979	1452
17-Jun-1979	1464
24-Jun-1979	1467
27-Jun-1979	1480
1-Jul-1979	1463
8-Jul-1979	1459
11-Jul-1979	1444
14-Jul-1979	1427
21-Jul-1979	1444
12-Aug-1979	1444
19-Aug-1979	1452
25-Aug-1979	1450
1-Sep-1979	1438
7-Sep-1979	1418
15-Sep-1979	1404
23-Sep-1979	1413
10-Sep-1980	1428
11-Sep-1980	1418
18-Sep-1980	1426
21-Sep-1980	1437
24-Sep-1980	1436
28-Sep-1980	1423
1-Oct-1980	1431
5-Oct-1980	1438
8-Oct-1980	1420
12-Oct-1980	1408
15-Oct-1980	1419
19-Oct-1980	1419
22-Oct-1980	1416
26-Oct-1980	1404
2-Nov-1980	1396
5-Nov-1980	1393
9-Nov-1980	1391
12-Nov-1980	1389
13-Nov-1980	1383
16-Nov-1980	1404
20-Nov-1980	1424
27-Nov-1980	1423
24-May-1981	1435
31-May-1981	1443
7-Jun-1981	1442
11-Jun-1981	1438
14-Jun-1981	1451
18-Jun-1981	1442
21-Jun-1981	1448
24-Jun-1981	1446
27-Jun-1981	1437
1-Jul-1981	1442
11-Jul-1981	1424
26-Jul-1981	1422
2-Aug-1981	1430
9-Aug-1981	1442
23-Aug-1981	1441
30-Aug-1981	1444
2-Sep-1981	1439
6-Sep-1981	1434
