date	rating
31-Aug-1952	1492
7-Sep-1952	1487
14-Sep-1952	1497
21-Sep-1952	1490
28-Sep-1952	1477
1-Oct-1952	1462
4-Oct-1952	1455
8-Oct-1952	1486
12-Oct-1952	1486
15-Oct-1952	1475
26-Oct-1952	1483
1-Nov-1952	1496
9-Nov-1952	1507
16-Nov-1952	1517
19-Nov-1952	1511
23-Nov-1952	1501
30-Nov-1952	1518
3-Dec-1952	1515
7-Dec-1952	1512
10-Dec-1952	1496
14-Dec-1952	1512
21-Dec-1952	1506
28-Dec-1952	1514
31-Dec-1952	1496
4-Jan-1953	1509
7-Jan-1953	1520
11-Jan-1953	1515
17-Jan-1953	1504
25-Jan-1953	1531
1-Feb-1953	1552
19-Jul-1953	1560
26-Jul-1953	1552
2-Aug-1953	1539
9-Aug-1953	1547
15-Aug-1953	1551
19-Aug-1953	1540
23-Aug-1953	1537
30-Aug-1953	1534
6-Sep-1953	1545
16-Sep-1953	1529
20-Sep-1953	1543
27-Sep-1953	1541
3-Oct-1953	1532
10-Oct-1953	1512
1-Nov-1953	1526
8-Nov-1953	1505
15-Nov-1953	1498
29-Nov-1953	1487
6-Dec-1953	1502
13-Dec-1953	1509
20-Dec-1953	1507
23-Dec-1953	1503
27-Dec-1953	1513
3-Jan-1954	1525
10-Jan-1954	1541
17-Jan-1954	1532
24-Jan-1954	1549
31-Jan-1954	1531
15-Aug-1954	1516
22-Aug-1954	1506
29-Aug-1954	1503
5-Sep-1954	1520
12-Sep-1954	1527
19-Sep-1954	1526
26-Sep-1954	1551
2-Oct-1954	1535
17-Oct-1954	1516
24-Oct-1954	1533
27-Oct-1954	1523
31-Oct-1954	1531
7-Nov-1954	1542
21-Nov-1954	1554
28-Nov-1954	1562
8-Dec-1954	1552
12-Dec-1954	1559
19-Dec-1954	1552
23-Dec-1954	1565
2-Jan-1955	1561
9-Jan-1955	1545
16-Jan-1955	1570
23-Jan-1955	1568
30-Jan-1955	1555
6-Feb-1955	1581
13-Feb-1955	1563
31-Jul-1955	1559
7-Aug-1955	1571
14-Aug-1955	1559
28-Aug-1955	1555
4-Sep-1955	1556
7-Sep-1955	1564
11-Sep-1955	1555
18-Sep-1955	1554
25-Sep-1955	1553
2-Oct-1955	1544
9-Oct-1955	1544
16-Oct-1955	1541
19-Oct-1955	1547
22-Oct-1955	1541
30-Oct-1955	1539
6-Nov-1955	1568
13-Nov-1955	1579
20-Nov-1955	1577
27-Nov-1955	1565
30-Nov-1955	1564
4-Dec-1955	1581
11-Dec-1955	1570
