date	rating
5-Jun-1949	1489
12-Jun-1949	1486
26-Jun-1949	1484
3-Jul-1949	1479
10-Jul-1949	1472
17-Jul-1949	1480
24-Jul-1949	1464
14-Aug-1949	1451
21-Aug-1949	1447
28-Aug-1949	1453
4-Sep-1949	1481
11-Sep-1949	1495
17-Sep-1949	1502
25-Sep-1949	1529
2-Oct-1949	1521
16-Oct-1949	1526
30-Oct-1949	1517
6-Nov-1949	1522
13-Nov-1949	1503
19-Nov-1949	1524
27-Nov-1949	1537
11-Dec-1949	1557
20-Aug-1950	1566
3-Sep-1950	1580
10-Sep-1950	1566
17-Sep-1950	1558
24-Sep-1950	1565
1-Oct-1950	1558
8-Oct-1950	1566
14-Oct-1950	1550
22-Oct-1950	1534
29-Oct-1950	1548
4-Nov-1950	1543
19-Nov-1950	1537
26-Nov-1950	1541
3-Dec-1950	1526
9-Dec-1950	1522
17-Dec-1950	1510
23-Dec-1950	1514
30-Dec-1950	1534
7-Jan-1951	1544
14-Jan-1951	1538
21-Jan-1951	1529
28-Jan-1951	1524
3-Jun-1951	1540
10-Jun-1951	1531
17-Jun-1951	1523
29-Jul-1951	1533
5-Aug-1951	1543
12-Aug-1951	1543
18-Aug-1951	1537
25-Aug-1951	1532
2-Sep-1951	1520
9-Sep-1951	1526
16-Sep-1951	1536
23-Sep-1951	1536
30-Sep-1951	1535
7-Oct-1951	1542
20-Oct-1951	1530
28-Oct-1951	1525
4-Nov-1951	1522
18-Nov-1951	1532
24-Nov-1951	1510
2-Dec-1951	1519
9-Dec-1951	1524
16-Dec-1951	1519
23-Dec-1951	1508
30-Dec-1951	1495
5-Jan-1952	1477
13-Jan-1952	1467
19-Jan-1952	1461
25-Jan-1952	1455
31-Aug-1952	1444
7-Sep-1952	1455
14-Sep-1952	1462
17-Sep-1952	1455
20-Sep-1952	1443
28-Sep-1952	1454
5-Oct-1952	1461
12-Oct-1952	1462
19-Oct-1952	1477
26-Oct-1952	1496
1-Nov-1952	1496
5-Nov-1952	1504
9-Nov-1952	1483
16-Nov-1952	1508
19-Nov-1952	1500
23-Nov-1952	1511
26-Nov-1952	1502
30-Nov-1952	1499
7-Dec-1952	1493
10-Dec-1952	1509
14-Dec-1952	1521
17-Dec-1952	1513
21-Dec-1952	1518
28-Dec-1952	1535
4-Jan-1953	1532
11-Jan-1953	1545
18-Jan-1953	1558
21-Jan-1953	1547
25-Jan-1953	1534
31-Jan-1953	1512
19-Jul-1953	1502
26-Jul-1953	1507
2-Aug-1953	1513
16-Aug-1953	1511
19-Aug-1953	1522
23-Aug-1953	1535
30-Aug-1953	1533
2-Sep-1953	1547
6-Sep-1953	1539
13-Sep-1953	1537
20-Sep-1953	1544
27-Sep-1953	1558
4-Oct-1953	1562
10-Oct-1953	1550
1-Nov-1953	1538
8-Nov-1953	1534
29-Nov-1953	1555
6-Dec-1953	1557
13-Dec-1953	1569
20-Dec-1953	1564
27-Dec-1953	1560
