date,rating
10-set-1972,1500
13-set-1972,1477
17-set-1972,1464
20-set-1972,1464
24-set-1972,1452
27-set-1972,1457
1-out-1972,1443
4-out-1972,1447
8-out-1972,1451
11-out-1972,1464
15-out-1972,1451
18-out-1972,1463
22-out-1972,1447
25-out-1972,1436
29-out-1972,1450
1-nov-1972,1437
5-nov-1972,1425
8-nov-1972,1412
12-nov-1972,1439
16-nov-1972,1425
19-nov-1972,1427
22-nov-1972,1412
26-nov-1972,1402
29-nov-1972,1391
3-dez-1972,1401
29-ago-1976,1391
1-set-1976,1382
4-set-1976,1387
7-set-1976,1369
12-set-1976,1375
19-set-1976,1367
22-set-1976,1371
26-set-1976,1370
10-out-1976,1359
13-out-1976,1335
17-out-1976,1326
23-out-1976,1367
16-out-1977,1383
20-out-1977,1403
27-out-1977,1411
30-out-1977,1440
2-nov-1977,1426
5-nov-1977,1421
9-nov-1977,1418
20-nov-1977,1450
24-nov-1977,1447
27-nov-1977,1432
1-dez-1977,1452
11-dez-1977,1460
14-dez-1977,1437
17-dez-1977,1433
29-mar-1978,1442
2-abr-1978,1438
6-abr-1978,1442
10-abr-1978,1426
13-abr-1978,1429
16-abr-1978,1422
23-abr-1978,1423
26-abr-1978,1443
30-abr-1978,1453
4-mai-1978,1436
10-mai-1978,1450
14-mai-1978,1441
21-mai-1978,1443
27-mai-1978,1442
30-mai-1978,1438
4-jun-1978,1454
17-jun-1978,1466
22-jun-1978,1466
25-set-1979,1490
30-set-1979,1504
3-out-1979,1503
6-out-1979,1516
14-out-1979,1512
17-out-1979,1494
21-out-1979,1478
28-out-1979,1507
4-nov-1979,1482
11-nov-1979,1467
15-nov-1979,1454
18-nov-1979,1450
21-nov-1979,1437
25-nov-1979,1431
29-jan-1984,1446
5-fev-1984,1439
8-fev-1984,1431
12-fev-1984,1452
15-fev-1984,1444
19-fev-1984,1438
22-fev-1984,1431
26-fev-1984,1441
11-mar-1984,1422
14-mar-1984,1432
18-mar-1984,1418
21-mar-1984,1413
25-mar-1984,1400
1-abr-1984,1424
27-jan-1985,1423
30-jan-1985,1442
3-fev-1985,1442
6-fev-1985,1407
10-fev-1985,1414
14-fev-1985,1404
24-fev-1985,1392
27-fev-1985,1375
3-mar-1985,1411
6-mar-1985,1422
10-mar-1985,1404
17-mar-1985,1420
21-mar-1985,1405
24-mar-1985,1439
27-mar-1985,1415
31-mar-1985,1404
3-abr-1985,1396
7-abr-1985,1401
10-abr-1985,1422
14-abr-1985,1424
17-abr-1985,1402
21-abr-1985,1383
