date,rating
7-ago-1971,1500
14-ago-1971,1499
18-ago-1971,1501
25-ago-1971,1486
29-ago-1971,1485
2-set-1971,1485
5-set-1971,1483
9-set-1971,1459
12-set-1971,1442
19-set-1971,1430
26-set-1971,1418
2-out-1971,1406
6-out-1971,1390
9-out-1971,1394
13-out-1971,1425
24-out-1971,1430
27-out-1971,1433
7-nov-1971,1452
13-nov-1971,1437
9-set-1972,1440
13-set-1972,1445
17-set-1972,1445
21-set-1972,1449
24-set-1972,1450
27-set-1972,1472
1-out-1972,1447
4-out-1972,1430
8-out-1972,1406
11-out-1972,1393
15-out-1972,1400
19-out-1972,1404
22-out-1972,1395
25-out-1972,1398
29-out-1972,1404
1-nov-1972,1412
5-nov-1972,1401
8-nov-1972,1384
11-nov-1972,1416
16-nov-1972,1407
19-nov-1972,1401
22-nov-1972,1389
26-nov-1972,1388
29-nov-1972,1395
3-dez-1972,1426
25-ago-1973,1437
29-ago-1973,1461
1-set-1973,1478
6-set-1973,1463
9-set-1973,1452
12-set-1973,1444
16-set-1973,1443
22-set-1973,1448
30-set-1973,1481
3-out-1973,1484
6-out-1973,1486
10-out-1973,1491
14-out-1973,1491
17-out-1973,1475
20-out-1973,1480
25-out-1973,1487
27-out-1973,1499
31-out-1973,1513
4-nov-1973,1512
10-nov-1973,1514
14-nov-1973,1532
17-nov-1973,1528
24-nov-1973,1542
28-nov-1973,1539
2-dez-1973,1539
8-dez-1973,1553
12-dez-1973,1572
15-dez-1973,1585
13-jan-1974,1599
16-jan-1974,1618
20-jan-1974,1635
23-jan-1974,1617
26-jan-1974,1599
30-jan-1974,1612
3-fev-1974,1598
6-fev-1974,1582
10-fev-1974,1579
10-mar-1974,1550
17-mar-1974,1534
20-mar-1974,1550
24-mar-1974,1530
27-mar-1974,1540
30-mar-1974,1541
3-abr-1974,1555
16-abr-1974,1554
24-abr-1974,1534
27-abr-1974,1516
4-mai-1974,1523
8-mai-1974,1507
11-mai-1974,1503
16-mai-1974,1495
18-mai-1974,1501
29-mai-1974,1474
2-jun-1974,1479
8-jun-1974,1497
13-jun-1974,1505
20-ago-1975,1486
31-ago-1975,1479
4-set-1975,1484
6-set-1975,1507
13-set-1975,1507
17-set-1975,1507
21-set-1975,1483
24-set-1975,1492
28-set-1975,1493
5-out-1975,1496
23-out-1975,1509
26-out-1975,1491
2-nov-1975,1475
9-nov-1975,1477
29-ago-1976,1510
1-set-1976,1497
5-set-1976,1486
12-set-1976,1458
18-set-1976,1441
22-set-1976,1449
26-set-1976,1452
29-set-1976,1442
10-out-1976,1411
13-out-1976,1395
21-out-1976,1385
24-out-1976,1402
19-out-1977,1391
30-out-1977,1402
5-nov-1977,1428
9-nov-1977,1436
13-nov-1977,1430
16-nov-1977,1416
20-nov-1977,1409
24-nov-1977,1394
27-nov-1977,1370
1-dez-1977,1398
7-dez-1977,1412
10-dez-1977,1432
14-dez-1977,1409
26-mar-1978,1394
29-mar-1978,1397
2-abr-1978,1386
8-abr-1978,1421
12-abr-1978,1417
15-abr-1978,1412
20-abr-1978,1395
23-abr-1978,1379
26-abr-1978,1359
29-abr-1978,1344
3-mai-1978,1336
9-mai-1978,1332
27-mai-1978,1351
30-mai-1978,1355
4-jun-1978,1358
8-jun-1978,1339
20-jun-1978,1342
22-jun-1978,1326
25-set-1979,1353
30-set-1979,1344
3-out-1979,1361
10-out-1979,1381
17-out-1979,1387
20-out-1979,1418
25-out-1979,1432
27-out-1979,1417
4-nov-1979,1432
8-nov-1979,1450
11-nov-1979,1452
14-nov-1979,1454
18-nov-1979,1443
21-nov-1979,1455
24-nov-1979,1480
28-nov-1979,1480
4-set-1993,1504
12-set-1993,1507
15-set-1993,1528
18-set-1993,1531
22-set-1993,1506
26-set-1993,1487
29-set-1993,1507
6-out-1993,1509
10-out-1993,1482
13-out-1993,1520
16-out-1993,1508
20-out-1993,1508
24-out-1993,1512
27-out-1993,1507
26-jul-1998,1499
2-ago-1998,1499
5-ago-1998,1490
9-ago-1998,1512
12-ago-1998,1540
16-ago-1998,1532
22-ago-1998,1522
25-ago-1998,1512
29-ago-1998,1518
2-set-1998,1536
6-set-1998,1553
13-set-1998,1559
20-set-1998,1544
24-set-1998,1528
27-set-1998,1518
30-set-1998,1508
3-out-1998,1494
10-out-1998,1486
15-out-1998,1497
18-out-1998,1522
24-out-1998,1543
1-nov-1998,1530
12-nov-1998,1540
30-jul-2000,1526
2-ago-2000,1515
16-ago-2000,1502
19-ago-2000,1506
23-ago-2000,1513
2-set-2000,1533
6-set-2000,1567
9-set-2000,1549
14-set-2000,1535
17-set-2000,1550
20-set-2000,1536
23-set-2000,1541
27-set-2000,1531
30-set-2000,1561
4-out-2000,1563
7-out-2000,1572
11-out-2000,1576
18-out-2000,1594
22-out-2000,1578
28-out-2000,1568
4-nov-2000,1587
9-nov-2000,1575
16-nov-2000,1565
19-nov-2000,1579
1-ago-2001,1581
4-ago-2001,1582
9-ago-2001,1569
12-ago-2001,1558
15-ago-2001,1599
18-ago-2001,1581
26-ago-2001,1563
29-ago-2001,1568
2-set-2001,1567
9-set-2001,1569
16-set-2001,1550
20-set-2001,1572
23-set-2001,1557
29-set-2001,1542
2-out-2001,1563
6-out-2001,1547
9-out-2001,1570
13-out-2001,1563
20-out-2001,1563
28-out-2001,1553
3-nov-2001,1541
7-nov-2001,1566
11-nov-2001,1594
15-nov-2001,1573
18-nov-2001,1563
25-nov-2001,1545
2-dez-2001,1547
22-mai-2011,1561
29-mai-2011,1541
5-jun-2011,1527
11-jun-2011,1528
18-jun-2011,1535
29-jun-2011,1527
2-jul-2011,1517
7-jul-2011,1524
10-jul-2011,1505
17-jul-2011,1484
23-jul-2011,1490
27-jul-2011,1499
31-jul-2011,1485
3-ago-2011,1482
7-ago-2011,1524
13-ago-2011,1513
18-ago-2011,1522
21-ago-2011,1527
27-ago-2011,1518
1-set-2011,1520
4-set-2011,1560
7-set-2011,1545
10-set-2011,1545
18-set-2011,1550
21-set-2011,1541
24-set-2011,1530
1-out-2011,1536
8-out-2011,1537
12-out-2011,1568
15-out-2011,1558
22-out-2011,1563
30-out-2011,1548
6-nov-2011,1571
12-nov-2011,1592
16-nov-2011,1611
19-nov-2011,1592
27-nov-2011,1608
4-dez-2011,1582
15-mai-2016,1568
22-mai-2016,1547
25-mai-2016,1547
28-mai-2016,1552
2-jun-2016,1540
5-jun-2016,1558
11-jun-2016,1546
15-jun-2016,1521
18-jun-2016,1540
21-jun-2016,1527
26-jun-2016,1520
29-jun-2016,1512
2-jul-2016,1503
10-jul-2016,1488
17-jul-2016,1463
25-jul-2016,1455
31-jul-2016,1465
3-ago-2016,1474
7-ago-2016,1500
14-ago-2016,1491
19-ago-2016,1481
28-ago-2016,1470
8-set-2016,1458
11-set-2016,1466
14-set-2016,1471
19-set-2016,1491
24-set-2016,1513
3-out-2016,1497
9-out-2016,1489
13-out-2016,1480
16-out-2016,1469
24-out-2016,1493
31-out-2016,1515
6-nov-2016,1496
16-nov-2016,1491
20-nov-2016,1475
26-nov-2016,1481
11-dez-2016,1477
