date,rating
24-ago-1975,1521
27-ago-1975,1508
31-ago-1975,1519
3-set-1975,1507
7-set-1975,1521
10-set-1975,1505
14-set-1975,1473
17-set-1975,1448
28-set-1975,1426
2-out-1975,1416
5-out-1975,1404
25-out-1975,1393
28-out-1975,1381
1-nov-1975,1408
5-nov-1975,1420
9-nov-1975,1389
1-set-1976,1380
5-set-1976,1400
8-set-1976,1392
15-set-1976,1401
18-set-1976,1419
22-set-1976,1424
25-set-1976,1424
29-set-1976,1413
10-out-1976,1392
17-out-1976,1378
21-out-1976,1413
24-out-1976,1397
16-out-1977,1404
26-out-1977,1423
30-out-1977,1426
2-nov-1977,1443
9-nov-1977,1428
13-nov-1977,1428
20-nov-1977,1407
23-nov-1977,1388
27-nov-1977,1410
7-dez-1977,1420
10-dez-1977,1404
14-dez-1977,1391
18-dez-1977,1387
26-mar-1978,1379
29-mar-1978,1389
8-abr-1978,1407
12-abr-1978,1407
16-abr-1978,1416
20-abr-1978,1411
23-abr-1978,1419
3-mai-1978,1413
7-mai-1978,1438
10-mai-1978,1446
14-mai-1978,1445
21-mai-1978,1445
25-mai-1978,1462
27-mai-1978,1459
31-mai-1978,1472
17-jun-1978,1494
2-jul-1978,1475
5-jul-1978,1460
9-jul-1978,1452
13-jul-1978,1446
16-jul-1978,1474
20-jul-1978,1483
23-jul-1978,1498
8-nov-1979,1498
11-nov-1979,1487
15-nov-1979,1487
18-nov-1979,1503
21-nov-1979,1487
24-nov-1979,1502
28-nov-1979,1484
6-abr-1980,1471
13-abr-1980,1479
16-abr-1980,1470
21-abr-1980,1473
27-abr-1980,1496
3-mai-1980,1485
13-mar-1983,1494
16-mar-1983,1492
21-mar-1983,1482
26-mar-1983,1495
30-mar-1983,1505
2-abr-1983,1514
