date,rating
7-ago-1971,1500
11-ago-1971,1479
14-ago-1971,1480
22-ago-1971,1482
26-ago-1971,1482
1-set-1971,1504
5-set-1971,1526
8-set-1971,1551
12-set-1971,1531
19-set-1971,1527
25-set-1971,1550
29-set-1971,1565
2-out-1971,1539
10-out-1971,1523
17-out-1971,1523
24-out-1971,1533
30-out-1971,1556
7-nov-1971,1535
14-nov-1971,1531
21-nov-1971,1532
24-nov-1971,1518
27-nov-1971,1505
1-dez-1971,1531
5-dez-1971,1532
7-dez-1971,1533
10-set-1972,1531
13-set-1972,1530
17-set-1972,1528
20-set-1972,1500
24-set-1972,1498
27-set-1972,1512
1-out-1972,1534
4-out-1972,1560
7-out-1972,1573
11-out-1972,1570
14-out-1972,1550
19-out-1972,1527
22-out-1972,1530
25-out-1972,1541
29-out-1972,1537
1-nov-1972,1553
5-nov-1972,1532
8-nov-1972,1548
12-nov-1972,1546
16-nov-1972,1529
19-nov-1972,1508
22-nov-1972,1517
26-nov-1972,1492
30-nov-1972,1493
3-dez-1972,1497
10-dez-1972,1486
13-dez-1972,1473
16-dez-1972,1495
25-ago-1973,1498
29-ago-1973,1499
2-set-1973,1496
6-set-1973,1510
9-set-1973,1507
12-set-1973,1508
16-set-1973,1488
22-set-1973,1474
26-set-1973,1460
30-set-1973,1465
3-out-1973,1451
7-out-1973,1436
13-out-1973,1459
17-out-1973,1440
21-out-1973,1431
24-out-1973,1445
27-out-1973,1424
31-out-1973,1432
4-nov-1973,1433
11-nov-1973,1421
15-nov-1973,1439
18-nov-1973,1425
25-nov-1973,1458
28-nov-1973,1462
1-dez-1973,1451
7-dez-1973,1432
12-dez-1973,1422
15-dez-1973,1410
10-mar-1974,1413
13-mar-1974,1431
17-mar-1974,1418
21-mar-1974,1407
23-mar-1974,1435
27-mar-1974,1459
30-mar-1974,1481
6-abr-1974,1471
13-abr-1974,1491
21-abr-1974,1512
27-abr-1974,1515
4-mai-1974,1507
11-mai-1974,1490
18-mai-1974,1528
26-mai-1974,1545
2-jun-1974,1555
5-jun-1974,1572
8-jun-1974,1588
13-jun-1974,1602
29-jun-1974,1570
3-jul-1974,1553
7-jul-1974,1530
10-jul-1974,1522
17-jul-1974,1523
20-ago-1975,1509
27-ago-1975,1530
31-ago-1975,1513
3-set-1975,1507
7-set-1975,1503
10-set-1975,1512
13-set-1975,1542
21-set-1975,1565
27-set-1975,1537
4-out-1975,1563
8-out-1975,1541
12-out-1975,1546
15-out-1975,1552
19-out-1975,1534
22-out-1975,1536
26-out-1975,1558
29-out-1975,1580
1-nov-1975,1592
5-nov-1975,1609
8-nov-1975,1583
12-nov-1975,1583
15-nov-1975,1598
20-nov-1975,1593
23-nov-1975,1573
27-nov-1975,1591
30-nov-1975,1611
4-dez-1975,1616
5-set-1976,1612
8-set-1976,1622
11-set-1976,1635
15-set-1976,1626
19-set-1976,1646
22-set-1976,1638
26-set-1976,1619
29-set-1976,1630
9-out-1976,1630
13-out-1976,1651
17-out-1976,1637
21-out-1976,1639
24-out-1976,1607
20-out-1977,1602
23-out-1977,1612
30-out-1977,1632
2-nov-1977,1640
6-nov-1977,1645
10-nov-1977,1621
13-nov-1977,1618
16-nov-1977,1621
19-nov-1977,1614
24-nov-1977,1620
1-dez-1977,1630
7-dez-1977,1638
15-dez-1977,1642
18-dez-1977,1644
29-jan-1978,1644
12-fev-1978,1622
15-fev-1978,1621
18-fev-1978,1600
23-fev-1978,1592
26-mar-1978,1574
29-mar-1978,1592
6-abr-1978,1598
9-abr-1978,1577
16-abr-1978,1598
20-abr-1978,1595
23-abr-1978,1587
30-abr-1978,1555
3-mai-1978,1565
7-mai-1978,1593
10-mai-1978,1587
21-mai-1978,1573
24-mai-1978,1592
28-mai-1978,1613
30-mai-1978,1591
4-jun-1978,1588
10-jun-1978,1590
17-jun-1978,1621
20-jun-1978,1620
2-jul-1978,1598
6-jul-1978,1586
9-jul-1978,1604
13-jul-1978,1595
15-jul-1978,1614
19-jul-1978,1633
23-jul-1978,1632
6-out-1979,1658
10-out-1979,1666
14-out-1979,1697
17-out-1979,1703
21-out-1979,1709
25-out-1979,1695
28-out-1979,1711
31-out-1979,1674
3-nov-1979,1695
7-nov-1979,1672
12-nov-1979,1648
15-nov-1979,1665
18-nov-1979,1656
22-nov-1979,1672
25-nov-1979,1658
28-nov-1979,1656
23-fev-1980,1648
27-fev-1980,1655
1-mar-1980,1638
6-mar-1980,1630
9-mar-1980,1617
15-mar-1980,1613
19-mar-1980,1593
23-mar-1980,1603
30-mar-1980,1591
6-abr-1980,1591
13-abr-1980,1610
20-abr-1980,1627
23-abr-1980,1606
27-abr-1980,1592
4-mai-1980,1591
28-fev-1982,1583
6-mar-1982,1603
11-mar-1982,1592
14-mar-1982,1602
17-mar-1982,1612
25-mar-1982,1599
23-jan-1983,1618
26-jan-1983,1629
2-fev-1983,1643
5-fev-1983,1654
19-fev-1983,1667
23-fev-1983,1626
27-fev-1983,1629
6-mar-1983,1639
13-mar-1983,1666
16-mar-1983,1627
22-mar-1983,1625
26-mar-1983,1637
30-mar-1983,1643
3-abr-1983,1644
10-abr-1983,1627
13-abr-1983,1608
16-abr-1983,1586
20-abr-1983,1585
23-abr-1983,1574
30-abr-1983,1605
29-jan-1984,1619
1-fev-1984,1633
5-fev-1984,1627
12-fev-1984,1604
16-fev-1984,1600
19-fev-1984,1614
26-fev-1984,1608
29-fev-1984,1618
11-mar-1984,1604
14-mar-1984,1620
18-mar-1984,1620
21-mar-1984,1636
24-mar-1984,1650
1-abr-1984,1633
7-abr-1984,1615
12-abr-1984,1621
15-abr-1984,1598
18-abr-1984,1606
22-abr-1984,1608
25-abr-1984,1599
27-jan-1985,1573
30-jan-1985,1576
3-fev-1985,1552
7-fev-1985,1554
10-fev-1985,1547
13-fev-1985,1573
24-fev-1985,1566
27-fev-1985,1551
3-mar-1985,1577
6-mar-1985,1568
10-mar-1985,1558
13-mar-1985,1564
17-mar-1985,1581
20-mar-1985,1555
23-mar-1985,1549
27-mar-1985,1553
30-mar-1985,1547
6-abr-1985,1539
10-abr-1985,1542
14-abr-1985,1564
31-ago-1986,1574
2-set-1986,1548
7-set-1986,1537
11-set-1986,1543
17-set-1986,1556
21-set-1986,1584
24-set-1986,1584
27-set-1986,1569
1-out-1986,1544
5-out-1986,1576
12-out-1986,1598
15-out-1986,1587
22-out-1986,1591
26-out-1986,1600
29-out-1986,1580
2-nov-1986,1591
12-nov-1986,1605
19-nov-1986,1581
23-nov-1986,1600
26-nov-1986,1605
29-nov-1986,1612
4-dez-1986,1610
7-dez-1986,1611
10-dez-1986,1612
25-jan-1987,1630
28-jan-1987,1623
2-set-1988,1623
7-set-1988,1614
11-set-1988,1594
17-set-1988,1582
24-set-1988,1574
2-out-1988,1581
8-out-1988,1580
16-out-1988,1565
23-out-1988,1559
30-out-1988,1550
6-nov-1988,1529
9-nov-1988,1550
13-nov-1988,1559
17-nov-1988,1547
20-nov-1988,1538
23-nov-1988,1522
27-nov-1988,1523
1-dez-1988,1513
4-dez-1988,1531
7-dez-1988,1534
11-dez-1988,1525
15-dez-1988,1519
18-dez-1988,1512
