date,rating
26-mar-1978,1508
29-mar-1978,1504
2-abr-1978,1509
6-abr-1978,1491
9-abr-1978,1471
16-abr-1978,1452
20-abr-1978,1438
30-abr-1978,1427
3-mai-1978,1429
7-mai-1978,1444
14-mai-1978,1449
21-mai-1978,1419
28-mai-1978,1403
17-jun-1978,1428
20-jun-1978,1425
24-jun-1978,1427
23-set-1979,1437
25-set-1979,1452
30-set-1979,1432
3-out-1979,1420
10-out-1979,1440
14-out-1979,1425
24-out-1979,1413
28-out-1979,1426
4-nov-1979,1447
8-nov-1979,1426
11-nov-1979,1414
15-nov-1979,1396
18-nov-1979,1409
22-nov-1979,1413
25-nov-1979,1402
28-nov-1979,1419
17-jan-1982,1422
24-jan-1982,1450
28-jan-1982,1454
31-jan-1982,1471
3-fev-1982,1458
7-fev-1982,1484
10-fev-1982,1506
14-fev-1982,1520
28-fev-1982,1499
7-mar-1982,1529
10-mar-1982,1546
13-mar-1982,1520
17-mar-1982,1537
24-mar-1982,1549
29-jan-1984,1546
1-fev-1984,1524
5-fev-1984,1517
12-fev-1984,1531
15-fev-1984,1536
23-fev-1984,1534
26-fev-1984,1498
29-fev-1984,1507
